Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Much loved present,As you know Bros T recently stayed with you. Much love to you all and thank you so much for the beautiful leather Pouffier. Don’t think I will get much chance to use it as it has already been claimed by Sabrina. Hopefully we will see you next year xx,November 2021,Traveled with family,,wrote a review Nov 2021,,"['15 contributions', '4 helpful votes']",50,[]
Hell on Earth!!,"We stayed TWICE 2015-2016 for at total of 70 days. This place is TRASH. The owner and her son are a JOKE. I guess it was nice back in the day but not now. They BLACK LISTED my phone from  the WIFI after I complained about  the RAT in my room! Had to take a bath in a bucket! Can you say DIRTY, DIRTY, DIRTY,!! The Owner's son who is the GM gets drunk and has crying and shouting spells in the middle the night! Don't know why we went back a second time. I thought the devil you knew was better than the devil you don't know. But in this case I was wrong. This was a horrible experience ! No I would never recommend  this place. Try Sugarland Apartments in Ikeja, they are NICE!!!!",July 2016,Traveled as a couple,There are no good rooms . They are all dirty and old.,wrote a review Jun 2017,"Ohio City, Ohio","['12 contributions', '35 helpful votes']",10,"['Rooms bubble_10', 'Cleanliness bubble_10', 'Service bubble_10']"
"Absolutely loved this place, homely and quiet.  Hoping to return in 2017 cannot wait.!","Quiet area picturesque.  Lovely gardens and trees.  Not to far to walk into town (first thing in the morning otherwise too Hot!. Bar next door has big screen TV and is cool and sheltered.  Loved the Bar owner Mama Risi, hope to return soon.",October 2016,Traveled with family,Executive Suite,wrote a review Jan 2017,,"['15 contributions', '4 helpful votes']",50,"['Value bubble_50', 'Location bubble_50', 'Service bubble_50']"
"Quiet, secure, quaint","The African Garden Lodge is in a secure, quiet neighborhood within Ikeja, situated halfway between the airport and the island. The property is small, with only a few rooms. It has a homey feel, filled with artwork. The garden bar is a nice place to sit, and to meet. On the downside, as with many places in Nigeria, the service is less-than-responsive, the rooms aren't particularly clean, and there are issues with construction such as semi-functional showers. The laundry service lost (temporarily) half my laundry, but it was finally recovered. Wifi was unusually good, so that's another point on the plus side.",December 2016,Traveled on business,,wrote a review Dec 2016,,"['11 contributions', '6 helpful votes']",30,"['Location bubble_40', 'Cleanliness bubble_20', 'Service bubble_20']"
"Lovely Hotel, Great Price, Close to everything...","The hotel is tucked away in a quiet corner of Omole Phase I. From the outside it looks a little worn but once inside you are transported to an African themed oasis. Lovely rooms and great service. The bar area is a nice retreat. The room service is a bit slow and sometimes they got the orders wrong, but the friendly service makes up for it. A few losses of power but overall we had power 24/7. I stayed for a full week and would return in a heartbeat. I loved it.",March 2015,Traveled as a couple,,wrote a review Nov 2015,"Saint Paul, Minnesota","['6 contributions', '1 helpful vote']",40,"['Location bubble_40', 'Service bubble_30', 'Sleep Quality bubble_50']"
Lovely hotel in the heart of Lagos mainland,"I stayed at this hotel for a few nights after arriving in Lagos. It is distinctly hidden away in Omole phase one. The location is central so you can get to anywhere in Lagos pretty much within an hour (if travelling at off-peak times) so very good for local attractions like the fela shrine and so on.  Staff were courteous, friendly and assisted me with my luggage upon arrival. The room was clean, spacious, and the bedding was comfortable. It had all the basic amenities that any guest would need. Theres an outdoor bar/lounge area which is to relax in, there's also a catfish pond. For anyone who loves African art and sculpture this hotel is for you.... I was really impressed with some of the interior pieces. The hotel is somewhat similar to bogobiri house in Ikoyi but a small",December 2014,Traveled solo,,wrote a review Aug 2015,"London, United Kingdom","['154 contributions', '40 helpful votes']",40,"['Location bubble_40', 'Service bubble_40', 'Sleep Quality bubble_40']"
Beautifully themed African themed dreamland; Surpassed expectations,"THE BASICS: This is lodge has a resort feel. I stayed in the standard room which was great. It has American must-haves such as power generator, hot shower from the tap (doesn't require turning on a point of use water heater and waiting), fan (this is to keep the air circulating), and air conditioner. The shower is located in a traditional, separate bathroom with sink and toilet.  Now for the ambiance..... I loved this place. It is located in what one may view as a gated community so security was top notch. Once inside the lodge, the beauty of bamboo, large clay pots, palm trees, greenery, and African traditional masks await.  It is truly a beautiful place. There is both an onsite restaurant and bar.  The restaurant offers both African and continental food. I stayed with the",July 2015,Traveled as a couple,"the clerk will offer the guess to choose a room. While this may seem awkward, accept and choose...",wrote a review Jul 2015,"Crestview, Florida","['1 contribution', '3 helpful votes']",50,"['Rooms bubble_50', 'Cleanliness bubble_40', 'Service bubble_40']"
"Good people, competitive pricing for the city","Finding a hotel (or hostel, had there been one) in Lagos that I could afford was challenging but I'm so glad I booked here. Airport pickup was reasonably priced (although if you've not been to Lagos before, be warned that it can be hard to find people!) and, like most things in Lagos, rates were negotiable. My bed had clearly suffered from some damp but the room was clean and everything worked. The hotel bar and restaurant was beautiful and everyone working there was friendly and chatty (which was welcome to a solo female traveller!). Ikeja is also the area of Lagos where Fela Kuti's The Shrine was located (and where Femi Kuti's New Afrika Shrine still is), which was unplanned - well worth going to hang out and have a drink! So glad I didn't stay in the much more expensive, much",September 2013,Traveled solo,,wrote a review May 2014,"London, United Kingdom","['1 contribution', '4 helpful votes']",40,"['Value bubble_50', 'Rooms bubble_30', 'Location bubble_50', 'Cleanliness bubble_40', 'Service bubble_50', 'Sleep Quality bubble_40']"
Jens P.  Germany ......feel like you are home,i have been there for almost two weeks and i have been treated not as a costumer but like a family member.The stuff was friendly and helpful at any time of the day or night. when i left it was as i leaving home and i look forward to come back again.If you expect luxus then are u wrong here but if u want to feel like home and well treated then is this the right place to be...,June 2013,Traveled on business,,wrote a review May 2014,"London, England, United Kingdom","['2 contributions', '4 helpful votes']",50,"['Value bubble_50', 'Rooms bubble_30', 'Location bubble_50', 'Cleanliness bubble_50', 'Service bubble_50', 'Sleep Quality bubble_50']"
Excellent service but.......,"Visited my favourite Lagos lodging after about 13 months and had to write a review. On arrival, I still got the sense of being in a secure home, the staff were welcoming and very efficient. One of the best features of the lodge is the feeling of being a welcome guest in a home.  Paid N11,000 (I think) for my Queen room and my luggage were carried in.   The room is in desperate need of maintenance, the ceiling was stained and falling off and the whole room, although clean, was very tired and begging for refurbishment. The shower room is small and the wardrobe is in the shower room which isn't clever. The water pressure is not strong but there is hot water on demand.   Ordered my dinner and as usual it was delicious and brought to me quickly. I had a pleasant night sleep and woke",February 2013,Traveled solo,Rooms in the main building are larger.,wrote a review Mar 2013,"Calabar, Nigeria","['34 contributions', '34 helpful votes']",30,"['Value bubble_40', 'Rooms bubble_20', 'Location bubble_40', 'Cleanliness bubble_40', 'Service bubble_40', 'Sleep Quality bubble_50']"
