Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
"Amber, not exceptionally Amber","The rooms are big, but not dope. The bath is still old century - bath tub, without a standing shower.  The breakfast is average, and the new policy of charging guests to bring their food ordered to their rooms reeks of extortion.  Very friendly staff.",August 2023,Traveled on business,,wrote a review Aug 2023,,['4 contributions'],30,"['Value bubble_40', 'Location bubble_50', 'Service bubble_40']"
"Safe and clean hotel in a central location. 24/7 electricity, rooms are clean with comfortable beds and clean sheets.","Lovely hotel, 24/7 electricity, rooms are clean with comfortable beds, the manager Amarachi Kalu is a very pleasant lady, wifi is very erratic, so if you are planning to work, bring your own dongle to avoid the stress, be prepared for the Nigerian nuances such as one towel in bathroom for 2 guests!, (you will need to ask for extras daily),key cards deactivating each time either of us left the rooms!, breakfast is only for one guest- the other pays!, I was there  with my husband for two weeks and we changed rooms 4 times due to issues that could have been avoided by proper checks. The staff are very pleasant and trustworthy, our belongings were always left where we put them, nothing went missing. The food was average, I think more variety is needed. Tea /coffee and kettle",June 2023,Traveled with family,"If you are very particular, you have to be a bit patient as things are done differently in...",wrote a review Jun 2023,"London, United Kingdom","['5 contributions', '4 helpful votes']",40,[]
Staff members are so nice,We hosted a meeting in this hotel and we stayed here. The staff members were very nice and I felt welcome. The internet was fast enough to watch YouTube when connected. I often had to login to keep online. The shower water pressure and temperature were good. There was a hole in the bathroom and I was afraid some bugs/insects could crawl in but nothing happened. I will come back if we host a meeting here again. It was an affordable option compare to other choices in the region.,May 2023,Traveled on business,,wrote a review May 2023,"Vienna, Austria","['875 contributions', '169 helpful votes']",30,[]
Weekend getaway,"Visited Amber Residence for a weekend getaway with the family.   I had called to make a reservation during the week but it could not be located when i checked in, it took quite sometime for that to be sorted but the front desk staff was polite and professional. I got a Standard Double on the 2nd floor.   The room was spacious, neat and cozy, i didnt get a room with a view which was rather disappointing. At night the Airconditioning was quite loud and kept sounding like it was raining which was also discomforting. Water Pressure in the bath  was better than most hotels in Nigeria with the heating consistent throughout.   Breakfast was a bit lackluster and the low-point of my stay, the menu was not robust to choose from. We also had differing information on the cost for extra",August 2021,,,wrote a review Aug 2021,"Lagos, Nigeria","['63 contributions', '40 helpful votes']",30,"['Rooms bubble_40', 'Service bubble_30', 'Sleep Quality bubble_30']"
Quite decent,"Very serene environment away from all the hustle and bustle: this is the biggest plus. It's ideal for business meetings. It actually looks more like a nice house on the outside. Menu is quite Nigerian - good options but for those who aren't used to very spicy Nigerian-style food this may be a challenge, unless of course you are adventurous. Overall, quite decent.",February 2019,Traveled on business,,wrote a review Apr 2019,"Lagos, Nigeria","['179 contributions', '32 helpful votes']",40,[]
Wonderful stay at Amber Residence,"Recently stayed here for a week, enjoyed very good ambiance of this hotel, neat and clean, very polite staff and very good speed internet that’s also free Food was really good, room services were very prompt Although Swimming pool was under repair but started working on Saturday  Had a great party !!!",March 2019,Traveled solo,All rooms are good and quite,wrote a review Mar 2019,,['4 contributions'],50,"['Location bubble_50', 'Cleanliness bubble_50', 'Service bubble_50']"
Fluctuates between very good and terrible!,"Stayed two different nights here, had two completely different experiences: First yime was small humid room with bathroom the size of an airplane WC and water temperature and pressure varied between boiling and cold, no in-between. Worst bit was finding an insect crawling on me in the middle of the night. Took staff almost an hour to bring me a hairdryer! Breakfast was adequate but unappeteising for a Western palate, the Nigerian dish I tried was lukewarm, which was off-putting.  My second stay I had a room twice the size of the previous one, with a spacious bathroom. However, I was exhausted and in need of a shower after all-day travel, so a bit disconcerted that they needed to do plumbing for over an hour after I arrived. Room also smelled very strongly of something synthetic",November 2018,Traveled on business,first floor rooms (200 on) are better but not past 214 as those are smaller.,wrote a review Nov 2018,"Johannesburg, South Africa","['105 contributions', '73 helpful votes']",30,"['Location bubble_30', 'Service bubble_30', 'Sleep Quality bubble_40']"
Terrible on key issues,"Overall I would rate my stay poor but different factors were all over the spectrum from terrible to excellent.  Stayed here for 5-6 weeks while working in GRA, Ikeja. Was a business trip so my company organised all the administration. Think it is important to note that I am a South African so that my comments about the menu options can be taken relatively.  Positives: - Staff are very friendly and helpful - Management extremely attentive and really did try to fix the issues - Pool area was very comfortable to relax in after work - Grounds well kept and spacious providing a relaxing atmosphere to come back to in the evenings - Room very spacious  Negatives: - Fitness centre is very poor; equipment not functioning at all, weights fell apart in my hands - Internet was very poor;",June 2018,Traveled on business,,wrote a review Aug 2018,"Durbanville, South Africa",['6 contributions'],20,"['Value bubble_30', 'Service bubble_40', 'Sleep Quality bubble_40']"
Nice and comfortable,"Nice and modern rooms with wifi, but with not so many amenities (no hairdryer, fridge with one small bottle of water per day). The toilet seat in my room was leaving to the floor occasionally. The staff at the reception were not very welcoming or helpful. Food at the restaurant ok if you chose the buffet, but a la carte not recommended.",June 2018,Traveled on business,,wrote a review Jun 2018,"Lahti, Finland","['34 contributions', '26 helpful votes']",40,[]
Between good and very good!,"Rooms are clean, spacious, and properly lit. The bed was comfortable, toilet clean however the temperature of the water fluctuates. You are bathing with warm water and suddenly it becomes very hot without adjusting it yourself. The food is good (not fantastic). Front desk staff are courteous but not the restaurant staff (waiters). Only very few of them are outstanding.",May 2018,Traveled on business,,wrote a review Jun 2018,"Ibadan, Nigeria","['33 contributions', '2 helpful votes']",40,"['Value bubble_40', 'Service bubble_30', 'Sleep Quality bubble_40']"
