Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Business meeting,"I really enjoyed and appreciate the staff's of the hotel in terms of delivery,performing,and swift response to customer complaints most especially the IT teams kudos to the guys..I really enjoyed it..",September 2023,Traveled on business,,wrote a review Oct 2023,,['1 contribution'],50,[]
Good place but needs an upgrade.,This hotel seems to have been better in the past. From the poorly motivated staff to seemingly increasing maintenance issues. The rest rooms appear rather small for a public place. It also has some parking space and conference rooms but furniture are not ergonomic. Audiovisuals maily a projector. Their food is good but the environment needs an upgrade.,May 2023,Traveled on business,,wrote a review May 2023,"Abuja, Nigeria","['27 contributions', '4 helpful votes']",20,[]
Accommodation,"BWC Hotels, Lagos provides you the opportunity of living a combined dream of a home and a perfect getaway vacation. From the robust choices of meals, exquisite lounges, ever-curteous team of staff, in-house spa & a functional gym centre and a marvellous outdoor bar over-looking the atlantic on the rooftop, BWC stays at a vantage point for holiday lovers in Lagos.",March 2021,Traveled on business,,wrote a review Mar 2021,,['9 contributions'],50,[]
Lovely Visiting Experience,"Wonderful, friendly and professional staff. The staff went out of their way to render wonderful service. The meals were truly wonderful The rooms were not only spacious but also lovely. I truly had a wonderful experience here and look forward to spending more time here",February 2021,Traveled on business,,wrote a review Feb 2021,,['1 contribution'],50,[]
Mr,"Great service upon check-in. Thelma and Anita were exceptionally lovely and helpful. Super Christmas promo. Got breakfast lunch and dinner, FREE!  The room is really lovely and spacious. Lovely swimming pool.   GREAT STUFF!",December 2020,Traveled on business,,wrote a review Dec 2020,,['3 contributions'],50,[]
My covid 19 experience,My experience with best western during the covid 19 pandemic lockdown will always linger for years to come from hospitality to the quality of food to excellent service delivery just name it they claim it.,October 2020,Traveled on business,,wrote a review Oct 2020,,['1 contribution'],50,[]
Lonkdown work,"My colleagues and I stayed here for three months plus because of the coronavirus and it was home to us. Everyone knew us by name, the food was good,the services too. I liked that we all became a family. There were activities to keep us busy. Like tennis,swimming, and board games. But most importantly,I liked that they were very health conscious by putting in place safety measures to help stop the spread of coronavirus.",August 2020,Traveled on business,,wrote a review Oct 2020,,"['1 contribution', '1 helpful vote']",50,[]
Review,BwC Is a good hotel. Had a nice time during my brief business trip to the hotel. The staff are quite welcoming and nice. I recommend for anyone that has any business within the VI locale in Lagos.  So if you need an affordable place to stay BwC is your play.,January 2020,Traveled on business,,wrote a review Jan 2020,,['1 contribution'],50,[]
Great stay,Accommodating staff. Friendly environment.  I enjoyed the fruits. The GRO especially went out of her way to help me get cash when I was cash stranded.  I met new people and it was a good experience. I will come back cause I will remember the people.,November 2019,Traveled on business,,wrote a review Nov 2019,,['2 contributions'],50,[]
NEOLIFE... Network marketing,"Wow.. my stay in Best Western Victoria Island, was the best LIFESTYLE I've ever tasted.. for now... There hospitality is world class.... The food system, Recreation, etc. are wonderful... Thank you BWC....",November 2019,Traveled on business,,wrote a review Nov 2019,,['2 contributions'],50,[]
Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Feel good experience,"It was my first time here, thanks to NEO LIFE. I enjoyed the food, playing table tennis and learning about leadership. Meeting people from other states, sharing ideas in a comfy environment. Thank you for the experience.",November 2019,,,wrote a review Nov 2019,,['2 contributions'],50,[]
LEADERSHIP SCHOOL,"The hospitality was awesome and the facilities are great. The staffs are cool,foods were delicious,internet facilities is Great all through the day  and cleanliness is next to none and Its my pleasure coming here. Looking forward to being here again",November 2019,,,wrote a review Nov 2019,,['2 contributions'],50,[]
Training,The service is superb and the  staffs are eliquents .they are service is prompt and effecient;steady service provider and customer friendly and safety care provider;  hoping to always service with the hotel in the nearest future.,October 2019,,,wrote a review Oct 2019,,['1 contribution'],50,[]
