Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
"Nice, quiet and artsy spot","Bogobiri is a nice place for those seeking a touch of culture , art and / or the African vibe. Good food (including local delicacies), nice cultural environment and the occasional live band make this a very nice chill out spot.",August 2020,Traveled as a couple,,wrote a review Aug 2020,"Lagos, Nigeria","['747 contributions', '117 helpful votes']",40,[]
Money stolen from room,"Generally, I enjoyed staying in this small hotel / guest house. Unfortunately, my experience was spoiled shortly before leaving when I discovered that a significant amount of money had been stolen from my room (there are no safes either at reception or in the room). The owner was helpful in assisting me report the incident to the police, but ultimately did not take responsibility for the theft, presumably by a staff member who had access to the room in my absence. Beware of Room 8, in which the toilet and shower are on a raised platform in the bedroom (i.e. not in a separate en suite room).",September 2019,Traveled on business,Avoid Room 8 - toilet/shower in same room as bed,wrote a review Oct 2019,,"['3 contributions', '8 helpful votes']",10,[]
"Fun atmosphere, good live music, potentially good restaurant","This is indeed a quirky spot combining bar, shop, boutique hotel and restaurant.  The bar has a fun laid back atmosphere and the band talented and friendly.   Perhaps a bit loud for any conversation but that could be my age. The small restaurant has an interesting menu but on our Friday night visit, the Nigerian kitchen had ""closed"" at 6pm (?) which was a shame as I hoped to try some local dishes.  Still, the food was decent and reasonably priced.  I would definitely recommend a visit to this spot.",May 2019,Traveled with friends,Call ahead to ensure Nigerian cuisine is available,wrote a review May 2019,"Johannesburg, South Africa","['71 contributions', '57 helpful votes']",40,"['Value bubble_40', 'Service bubble_40']"
"Nice, but felt a little empty","Room was nice, but it felt a little dark. If I opened the curtains I was just looking at other buildings so that was no help. The art around was cool, but it wasn't displayed very nicely, giving the guest house a sort of store-room feel. I didn't try the bar/restaurant downstairs, but it looked cool. Again, though, it was a bit dark. I'm not sure if I would stay here again, but it seems like a good value for the money.",January 2019,Traveled solo,,wrote a review Mar 2019,"Penang, Malaysia","['42 contributions', '47 helpful votes']",30,"['Location bubble_40', 'Service bubble_50', 'Sleep Quality bubble_50']"
Lovely place,"I'd give this place six stars if I could. I stayed at Bogobiri my first couple of nights in Nigeria in early November. It's got live music; a comfortable, unique, artistic feel; and great food. But as importantly -- because I am a woman traveling alone in Nigeria for the first time -- the wonderful people at Bogobiri matter the most. Bogobiri sent a driver to pick me up personally at the airport, and I recommend the driver too (Rafiu). The staff made me feel at home and advised with transport, SIM card, changing money, etc. Within the first 24 hours I had fallen outside and hurt my leg. Someone from Bogobiri walked me to a clinic and then came back mid-way through my appointment to make sure everything was okay. Later, the owner (maybe?) made my day by chatting with me over",November 2018,Traveled solo,"If you want something, ask for it on email. They reply fast.",wrote a review Nov 2018,"San Francisco, California","['8 contributions', '6 helpful votes']",50,"['Rooms bubble_50', 'Cleanliness bubble_50', 'Service bubble_50']"
Your first trip to Nigeria? Stay at Bogobiri!,"The Bogobiri is not perfect. Sometimes the WiFi does not work the way it should, sometimes you have to wait too long for the food, sometimes it is very noisy. But I still love it!!!! The staff is great! They are extremely friendly and will help you with everything. The food is delicious and well prepared. Even as a European I never had a problem with my digestive system. The rooms are clean and very big. Nearby you will find a supermarket, ATM's of different banks and a Domino's Pizza as well as a Cold Stone Creamery (in case you get tired of the delicious Nigerian cuisine after some time).  And the Bogobiri House offers much more: There are many live music events with great singers! There is also an art gallery attached to the hotel. You will get in touch with the Nigerian",July 2018,Traveled on business,,wrote a review Oct 2018,"Zurich, Switzerland","['52 contributions', '28 helpful votes']",50,"['Rooms bubble_40', 'Cleanliness bubble_50', 'Service bubble_50']"
"Culture, Regeneration, Leisure (and a little business)","We came to Bogobiri for the first time, and we stayed for several nights and days with our three kids. And we loved it!, although for one member of the family there was too much of art pieces allover, creating some nightmare at night. However, personelle is so friendly, food is alright, and you must expect always some surprises, some artistic or just social happenings. Yes, and otherwise, it is just a nice place to relax. (Or to have even a small business meeting.)",August 2018,Traveled with family,"Do not go for the smallest, and visit the room before entering. (Sorry, but sometimes they might...",wrote a review Sep 2018,"Abuja, Nigeria","['21 contributions', '8 helpful votes']",40,"['Rooms bubble_40', 'Location bubble_50', 'Service bubble_40']"
Bogobiri..,"I love the live band, the food was on point. Service wasn't as prompt but the waiter was a nice and patient guy. It's better to visit when the evening is young so you can get a good spot to sit and your orders will come on time. The live band gets better and livelier from 8pm.",July 2018,Traveled with friends,,wrote a review Sep 2018,,"['19 contributions', '11 helpful votes']",40,[]
Great performances!,"I went to Bogobiri with a co-worker while on a biz trip to Lagos. It lived up to my expectations for a lively and soulful and fun time, with some firecracker singers and guitarists. The back up/house band was stupendous and the live mic folks had me so regretting I had to leave by 22h30.  Go and experience the ice cold beer ( and more!) and catch some great Nigerian crooners. My my!!",August 2018,Traveled with friends,,wrote a review Sep 2018,"Berkeley, California","['20 contributions', '25 helpful votes']",50,[]
Different!,"Not your flashy restaurant/ bar but everything about the look & feel is very artistic. The sculptures outside, the traditional-looking wooden chairs and tables, the art gallery upstairs, paintings of Wole Soyinka as you climb up the stairs to the gallery, and the piano. I couldn't resist tinkling the ivories. Most of all I loved the veteran band - some really good reggae music.   The fish pepper soup was a bit too spicy for me though; although it tasted good I was very disappointed they couldn't make it milder although we gave specific instructions the second we ordered. Service was a bit slow as well.",August 2018,Traveled with friends,,wrote a review Sep 2018,"Lagos, Nigeria","['179 contributions', '32 helpful votes']",40,[]
