Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Awesome,Was received with happiness.  Food great. Slept like a baby.  The bed was comfortable and warm.  The shower was hot and the pressure was OKAY.  Would recommend this place of stay to anyone travelling from Gauteng to Cape Town,June 2020,,,wrote a review Jul 2020,"Cape Town Central, South Africa","['1 contribution', '2 helpful votes']",50,"['Value bubble_50', 'Rooms bubble_50', 'Location bubble_50', 'Cleanliness bubble_50', 'Service bubble_50', 'Sleep Quality bubble_50']"
Great food & pleasant staff,"Chesney was the first hotel I visited in Lagos & I must say I was very impressed from the door all the way to the rooms. Clean environment, very respectful, helpful & happy staff. The food was a plus especially the fried rice. Perfect wifi no business center coupon stuff like in other places!!!! Call it “service with a smile” see you again Cheney",August 2019,Traveled as a couple,,wrote a review Aug 2019,,"['5 contributions', '2 helpful votes']",50,[]
Great place,"I stayed here in late November. The room was really nice, and the staff were super helpful. They allowed me to check in early, gave me a big, quiet room, advised me on transport, places to see, etc. They let me use their VIP lounge when I needed to make a business call and required high-speed internet. Also, the breakfast is huge and terrific. The location in Victoria Island is very convenient. You're close to the beach, to a pharmacy, grocery store, etc. Highly recommend it.",November 2018,,,wrote a review Nov 2018,"San Francisco, California","['8 contributions', '6 helpful votes']",50,[]
Still my best place in Lagos,"I will always go back to Chesney. Nice and neat place, wide variety of breakfast offering. Though the central AC was misbehaving in my room (the thermostat kept changing from what I chose to a lower temperature), so I had to switch it off, and I didn’t enjoy my sleep. Interestingly, I will still go back there when next in Lagos.",November 2018,Traveled on business,,wrote a review Nov 2018,"Ibadan, Nigeria","['39 contributions', '37 helpful votes']",40,[]
Kay,I felt so chilled and relaxed here. The staff were amazing - so friendly and welcoming! The food was delicious and the rooms super clean and comfy. I would definitely recommend it! I can't wait till my next visit.,April 2018,Traveled solo,,wrote a review Sep 2018,"London, United Kingdom","['5 contributions', '2 helpful votes']",50,[]
Wendy,Very nice hotel with great service and yeah the foods are wonderful... even when I was pregnant I still had to go eat there again.. lol..  The room I stayed it’s so cozy and the bed so soft... it was such a great experience.  And the staffs so friendly and pleased to talk to... you guys should really keep it up  A very good location for you to drive around Lagos...,September 2018,Traveled with friends,,wrote a review Sep 2018,"Lagos, Nigeria","['1 contribution', '1 helpful vote']",50,[]
Lovely,Cozy and perfect if you are looking for that comforting homely feeling home brings. Nice bed and a pretty view. One of my favorite places. Oh. I must commend the food too. Taste is great and so is the delivery time. Just how I like,September 2018,Traveled solo,,wrote a review Sep 2018,,['1 contribution'],50,[]
Too local,The key card I was given had seen better days and had to be held together to fit into the slot on the door because it was splitting. Why they would let it get to this level and still hand it out to a guest beats me. The kitchen was noisy like a market place. There's no form of entertainment at all. Had to put my suitcase on the floor because there was no suitcase holder in the room. There was only one hanger in my room. Drinks at the restaurant are not chilled sufficiently and service takes too long. No bar! Buffet served daily for dinner but very local with not much choice if you're not into local cuisine. Ordered lamb chops. Was told they'll take 45 minutes. Went to my room to wait. Got a call 15 minutes later that lamb chops were out of stock. Got a pepper steak instead that,December 2017,Traveled on business,,wrote a review Dec 2017,"Nairobi, Kenya","['226 contributions', '43 helpful votes']",30,[]
"Lovely Boutique in the heart of Victoria Island, Lagos","It's a lovely boutique hotel in the heart of Victoria Island. Had a nice time when I was in Lagos for business. Friendly staff, hotel is cosy, the room is clean and the food is very good. Highly recommended!",March 2016,Traveled on business,,wrote a review Oct 2016,"London, United Kingdom","['164 contributions', '13 helpful votes']",40,[]
Just Perfect,"By now, we all know how I love and appreciate a good bed. This one was superb. So comfortable, so soft, so warm, so Mmmmm.  It's situated at the quiet end of Saka Tinubu. They've got excellent service, great food, the place is beautiful. I didn't even expect to find such a peaceful place around there. It's a bit more expensive though but it was worth it.  The next time you are looking for a place around Victoria Island, try it.",July 2016,Traveled on business,,wrote a review Jul 2016,,"['57 contributions', '11 helpful votes']",50,[]
