Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Citilodge is just fair maybe,"Citilodge is budget-friendly (5star rating for price & location) However, quality of food isnt great @all + my items got missing. I reported but never got them back. Also, roaches here &there.  So 1. Buy food elsewhere. 2. Keep 2 extra eyes on all your stuff. 3. Bring insecticide",February 2020,Traveled as a couple,,wrote a review Mar 2020,,"['3 contributions', '8 helpful votes']",20,[]
Segun,"Citilodge hotel is situated near many essential amenities. Stayed in this hotel for two weeks and enjoyed my stay. The hotel is safe and secured with friendly and courteous staff. The staff will do their ultimate best to help. The hotel managers are very helpful and made my stay enjoyable. Loved their  buffet breakfast, especially  the spaghetti ,yam and egg .The two managers will always asked if all is well on daily basis. I had an issue with one of the staff there, and the hotel manager diffuse the negative situation to positive. On my arrival the bathroom light wasn’t working and this was quickly fixed.However I would like the  hotel to look into their internet service as this wasn’t working in the rooms.it took  over a week to fix the TV channels that wasn’t working in my",September 2019,Traveled with family,,wrote a review Sep 2019,"Wickford, United Kingdom","['16 contributions', '9 helpful votes']",40,[]
Staff Tries,My stay started good because of staff. They really try; arec courtious and friendly. But there was allot of noise throughout my stay + roaches in my room. Food was good and location is fine. This hotel is not for foreigners but rather locals.Recommend staying in Ikeja at the sister property (Citiheight).,September 2019,Traveled on business,,wrote a review Sep 2019,"Bangkok, Thailand","['19 contributions', '7 helpful votes']",30,[]
Turned back at midnight after booking online with proof of payment,"I had made a booking online in which my card was charged before getting on a late flight to lagos. On getting to the hotel which was about 11.30pm, i was told by the manager Mrs Stella that i should pay again and go sort out the card payment with the bank. After which i was turned back at the reception, this was after showing them the confirmation of the booking and also the proof of payment.   This i believe is a very horrible way to treat a customer that got into the hotel in the middle of the night with proof of the booking and payment, when whatever the mix up was could have been cleared up in the morning.   I would never advise anyone to visit this place as they have very horrible customer service.",January 2019,Traveled solo,,wrote a review Jan 2019,,['1 contribution'],10,"['Value bubble_10', 'Rooms bubble_10', 'Service bubble_10']"
"Great Service , Lovely Workers","Loving my stay at the city lodge hotel , am staying for 6days and I love my stay already , Great service from the reception to the bar & pool + Room service - everything is superb , I love that fact that the hotel is close to the bus stop as well , easy to find rides & taxis ...",November 2018,Traveled on business,,wrote a review Nov 2018,,['1 contribution'],40,[]
"I was at the hotel for 3 weeks, I enjoyed the service","The staff is very qualified, friendly and hospitable. The environment was peaceful even though the Lekki-Epe Expressway is close, the power supply was constant.  The hotel is very well situated, Elegushi beach, cinemas/shopping malls are not far from its location.  There is free wifi available for as long as you stay. The pool area is also nice, when you need to refresh yourself and relax.  I really recommend this hotel and hope to come back soon.",August 2017,Traveled solo,Room 203 or room 204,wrote a review Aug 2017,,"['1 contribution', '1 helpful vote']",50,"['Location bubble_50', 'Cleanliness bubble_40', 'Service bubble_50']"
Great service,"I stayed in this hotel with my girlfriend for four nights in April. The best thing for me about the hotel was how helpful the staff were. Among other things, we had a problem with our booking which was not their fault, but they were great about helping us resolve this. In addition, the staff were all polite and friendly and gave helpful suggestions for what to see/do in the area. The food was lovely as well (particularly the fish with ginger sauce!), and the room was nice and comfortable. Perhaps the AC could have been a bit quieter, but it didn't bother us too much.  I would say however (and this was not a fault of the hotel staff) that if you use the airport shuttle make sure the driver goes to the right terminal. I told him several times that we needed to go to the domestic",April 2016,Traveled as a couple,"If you are bothered by noise easily, then you probably would want to avoid rooms near the pool if...",wrote a review Apr 2016,"London, United Kingdom","['12 contributions', '1 helpful vote']",50,"['Location bubble_50', 'Service bubble_50', 'Sleep Quality bubble_40']"
I love this hotel !,"I stayed at this hotel for 2 weeks with my family!I love the customer service, the food is great and rooms are big, relaxing and modern.The kids love the pool side and the live band.. The entire staff and management are welcoming with great ethical value and hospitality.I will give it a 5 star and recommend it over and over again . ""I love Citilodge""!",December 2015,Traveled on business,,wrote a review Mar 2016,"Washington DC, District of Columbia",['1 contribution'],50,[]
The lost service and experience,"I stayed at citilodge on 24th Feb 2016 for a night on a recommendation from my cousin whom his driver made the reservation. I checked in about 7pm that night with my cousin's driver, the receptionist did not make an attempt to welcome me as I walked into the hotel and proceeded to the room allocated to me with the driver who had the key. on entry the room, I was welcome with a bad smell and I asked if they could spray the room with an airfreshner and they did. On settled down into the room and went into the bathroom to have a shower, discovered the shower was not working and tried to call the reception to reports the faulty shower and the non-working bedside lambs and plugs and fuses in the room but couldn't get through to the reception as the line was engaged.  So, I had to",February 2016,Traveled with family,,wrote a review Mar 2016,"London, United Kingdom","['1 contribution', '1 helpful vote']",10,"['Location bubble_40', 'Service bubble_10', 'Sleep Quality bubble_30']"
"""Exceptional Service""","I wish to commend the management and entire staff of Citilodge Hotel for an exceptional services we enjoyed in the month of July during our strategy session in Lagos. The receptionists were very polite in their approach and customer friendly.  ""I personally enjoyed the GYM facilities"", worthythe great improvement and excellent service at the restaurant despite the low prices. Please, keep this up!  You will always enjoy my patronage.",July 2015,Traveled on business,,wrote a review Sep 2015,"Abuja, Nigeria",['3 contributions'],50,"['Service bubble_50', 'Sleep Quality bubble_50']"
Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
"citilodge hotel-""a home away from home""","my second visit to the hotel was between august 5th and 8th, 2015. i was given a warm  reception as usual. i could also notice the staff demonstrated a high level of professionalism and hospitality. citilodge is a home away from home!",August 2015,,,wrote a review Sep 2015,"Abuja, Nigeria",['2 contributions'],50,[]
Amazing experience @ citilodge hotel,"I visited citilodge hotel @ 1st for a training organize by KPMG, we were all amaze by the high standard of hospitality given we stayed for 5days power was never interrupted the food is  very good both the African and continental dishes were awesome, after 1 week we got a special text to invite our family to share the wonderful experience @ a discounted rate we had 1 on 1 interaction with staff and the management. We wake up to a complementary breakfast, my son never forget citilodge he always remind daddy all the time, keep it up wonderful management and staff.",August 2015,,,wrote a review Sep 2015,,['2 contributions'],50,[]
Extraordinary Experience!!,"Citilodge is amazing. This was our first visit but it never be the last. From day 1 the staff and management was absolutely impressive. We have been to the best of hotels like Four Point by Sheraton and  Protea Hotel V.I. The accommodation and courtesy sets Citilodge Hotel on a different level, a higher level. I would like to especially thank Lovely Stella for her hospitality and professionalism. I thank Wonderful Desmond (part of management staff) for his intelligence, inspiring words, and professionalism. I also have kind Helen to thank for a wonderful stay at Citilodge. Her kindness, patience and consistent happy attitude will never be forgotten. The other staff members were also very kind and accommodating as well (David, Ella and the cleaning/maintenance crew). Thank you",June 2015,,,wrote a review Jun 2015,,"['4 contributions', '1 helpful vote']",50,[]
