Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Clear Essence Review,"I have stayed here for 25 days. Stay was wonderful. Staff is very good and supportive. The facilities are really good and the food did not disappoint, I have enjoyed the stay at this hotel . Thank you @Bhanu  and hotel staff.",May 2022,Traveled on business,,wrote a review Jul 2022,,"['1 contribution', '1 helpful vote']",50,['Service bubble_50']
A dishonest place,"An awful hotel, certainly not 5 star. The services are below par and the rooms are not cleaned properly. We stayed here for 3 days we were due to stay for 7 but it was too much like torture. The sound proofing is poor, the food is mediocre and the overall sense is a money grabbing operation with disinterested owners/ managers. The only plus is the gardens. The 5 star rating is a joke, This place is ran by dishonest people, additional charges taken, wrong orders given delays in food service, low quality and overpriced. Breakfast was like a case study in how not to present food - totally underwhelming.  Be prepared for outrageous responses from Managers who cannot accept their place is sub par so they lie. Not a place for discerning customers.",April 2021,Traveled on business,,wrote a review Sep 2021,,"['7 contributions', '8 helpful votes']",10,"['Rooms bubble_10', 'Cleanliness bubble_10', 'Service bubble_10']"
Our Couples Getaway Hotel,"Beautiful Hotel. this is our Anniversary Hotel! Peaceful Oasis at the Ikoyi - Lekki Phase 1 Boarder. The spa is fantastic, courteous and attentive staff. Top stars all round   The rooms are big and calmly lit. Takes away the City strain everytime.",May 2021,Traveled as a couple,,wrote a review May 2021,"Lagos, Nigeria","['3 contributions', '1 helpful vote']",50,[]
Worst hotel ever in Lagos,"No no no I not advise anyone to live there. it is just a building. no lift no swimming pool. what type of hotel is this? People at hotel are very rude. Asks money every time.  After cleaning my room one of staff asked in very low sound - anything for me? Later I gave him $10. Room was quite big in size but night was horrible. It was not sound proof. I heard sex moaning all the night. I felt next door couple took viagra. No breakfast buffet at all. I waited for Spanish omelet for around 30 minutes. When I tried to call the manager. No manager. Worst hospitality in Lagos. Do not know how and why people said it top class hotel or five star rating place. I and my hubby extremely disappointed with this hotel. Full of mosquitos, restaurant was empty and service was very late. We got",February 2021,Traveled on business,,wrote a review Mar 2021,,"['1 contribution', '6 helpful votes']",10,"['Value bubble_10', 'Cleanliness bubble_10', 'Service bubble_10']"
Couple's Getaway!,"This hotel is a decent and a serene boutique hotel that shuts out the usual bustle of Lagos. We came here to unwind for a nights stay and were well received. Nelson is a great guy who attended to us very professionally and courteously. We enjoyed the dinner options, the seafood platter was just it!  The great meal, full body massage and a warm bath in the jacuzzi all made for a perfect night stay!",November 2020,,,wrote a review Nov 2020,"Lagos, Nigeria","['97 contributions', '39 helpful votes']",40,"['Rooms bubble_40', 'Service bubble_50', 'Sleep Quality bubble_50']"
Very substandard,"We stayed here based on convenience and took on board the reviews which seemed acceptable at face value.  Unfortunately it was a horrible experience, the place lacked in so many areas.   The room had giant ants. The bathroom had no blind or curtains, the room was dark and depressing. It is set in natural beautiful gardens which are pleasant but that’s the only redeeming feature. The food was abysmal very poorly cooked with zero taste and it was expensive.   Staff were cold and lacked that professionalism which you’d expect in a hotel. This is nowhere near 5 stars.",March 2020,,,wrote a review Apr 2020,"London, United Kingdom","['239 contributions', '124 helpful votes']",20,[]
Wonderful oasis of peace and tranquility in Lagos,"The location of this boutique hotel was chosen for us by Nigerian friends who had invited us to a Nigerian traditional wedding in that neighbourhood.  The facilities and amenities, the gardens, spa and staff were just exceptional.",February 2020,,,wrote a review Mar 2020,"Nairobi, Kenya","['72 contributions', '8 helpful votes']",50,[]
Lovely serenity,"If your looking for a place that will make you forget the stress filled hustle and bustle of Lagos, then this is the place.  The nature artifacts around makes it even more better and relaxing.  I recommend to everyone",November 2019,Traveled with family,,wrote a review Mar 2020,"Lagos, Nigeria","['10 contributions', '2 helpful votes']",30,[]
Fantastic for retreats - Personal or Couple,"The room was okay. The bed was comfortable. There was a jacuzzi in the bathroom which made for extra relaxation. There was also a lot of space in the bathroom so you could actually sit there and think or read, or have a personal time if there's someone else in the room.  The fragrance in the facility was really soothing and relaxing. There are sit-outs (little huts) surrounded by plants and equipped with fans so it stays cool and keeps you feeling quite in touch with nature.   The environment  just aids your creativity.  The trees, the water works (little spring replicas) footpaths, and garden effect help you almost forget the hustle and bustle of Lagos.",December 2019,,Ask for a room with a bath / jacuzzi. Be certain about the size of the bed in your room.,wrote a review Jan 2020,,"['9 contributions', '4 helpful votes']",40,"['Value bubble_40', 'Service bubble_50', 'Sleep Quality bubble_40']"
Serene Ambience in the Heart of the City,"If what you need is to drown out the noise, drain out the stress and download some sanity back into mind, then this is the place to visit. We spent 2 nights here and it was sufficient to rest, reset and revitalize. The facilities are really good and the food did not disappoint. The only downside was the room we stayed had a rather small bed that didn't fit the King Size bed description for that room on their site, so the room was just ok. Otherwise it was a really good experience and we look forward to doing this again.",December 2019,,,wrote a review Dec 2019,"Lagos, Nigeria","['29 contributions', '34 helpful votes']",30,[]
