Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Great brunch,Stayed one night only en route Uk. Staff could benefit from more training. Newish hotel.  Rooms were fine but did not get adequate toiletries. Part of the toiletries had been used by previous guest and not checked. Exec lounge had suya (African barbecued chilli meat strips) which was great and the staff there were attentive. They had a nice but small pool   Which too me was probably too small to swim in.,January 2018,Traveled with family,,wrote a review May 2018,"London, United Kingdom","['388 contributions', '74 helpful votes']",20,[]
Worst place since years,"Location is good, few meters from the shopping malls, check in and doorbell staff is good, the rest is miserable. You can sit at the restaurant for hrs just waiting for someone to decide to bring you a menu and disappear. Avoid the restaurant unless you wish to spend a considerable amount of time waiting. Rooms are spacious and not very clean. Some of them install old wall AC with no remote control or thermostat.",December 2017,Traveled on business,,wrote a review Dec 2017,"Cape Town, South Africa","['181 contributions', '74 helpful votes']",10,[]
An embarrassment to the hospitality industry in Lagos,"This hotel could be a remarkable place to stay (due to its location) but at the current state due to our experience I wouldn’t recommend it to anyone as it is quite an embarrassment to the hospitality industry with very poor customer service even from the hotel manager (Sumil or Kumil) cannot remember his name.   We wouldn’t have been able to stay more than one night at the hotel due to the exceptionally poor service we received and when brought to the attention of the manager, his handling of the situation was below expectation.   When asked why the key to the Safe from another room could also unlock the safe in our room (as  we observed due to checking into 2 rooms in our case), there was no credible explanation.  The house keeping staff tend to access your room when you are",October 2017,Traveled with family,,wrote a review Oct 2017,"Burbage, United Kingdom","['21 contributions', '26 helpful votes']",10,[]
Second stay here this year,"Location is Prime. Without that, nothing spectacular. From the outside, beautiful. Lobby, beautiful. But--Rock hard mattress. Killed my back. Shower large, so thats a plus. However; they don't even have free coffee in the room. Raspberry tea and hot chocolate. My husband went down for cream for MY coffee that I just happened to have with me. They said they were sending room service. They brought everything except cream. We stayed in a mini suite with a small noisy air conditioner. Couldn't enjoy a swim in the pool for all the partying. Bongs everywhere. Aparantly a private party with very loud music. Ok.....but my hotel that was $30 cheaper a night had a great pool and free coffee __ creamer included.... This is 2017....who doesn't have coffee with cream in every room?",October 2017,Traveled as a couple,,wrote a review Oct 2017,,"['31 contributions', '12 helpful votes']",40,[]
Cool hotel for business travelling,"Its a very nice hotel, located close to the Ikeja mall (walking distance) and the state Secretariat. A good hotel for business travelling. The rooms are furnished nicely. And the breakfast is standard English breakfast. Also if you can enjoy a Nigerian breakfast too. The amenities are good. Pool and bar",August 2017,Traveled with family,The higher the better the view around the area surrounding the hotel,wrote a review Aug 2017,"Port Harcourt, Rivers, Nigeria","['179 contributions', '92 helpful votes']",30,"['Cleanliness bubble_30', 'Service bubble_30', 'Sleep Quality bubble_30']"
Excellent location does not make up for the poor service,"I am staying here right now and will be looking for another place to stay. Sure the location is good (right next to Ikeja mall) but that is not worth it. The service has been terrible.  1) This is a basic hospitality feature, but every hotel in a developing country should have free bottled water in the room. There was none when I arrived in the room.  2) I'm still waiting for my room service dinner that I ordered TWO hours ago. Absolutely unacceptable.  3) When I ordered an item, the staff said he wasn't familiar with the new menu. A new menu is no excuse for you not to know it. When you make a new menu, it is your job to make sure every staff member knows the menu! 4) They have just continental breakfast (toast, coffee and fruits). If you want more, you have to order from the",May 2017,Traveled on business,,wrote a review May 2017,"Buenos Aires, Argentina","['26 contributions', '26 helpful votes']",10,"['Value bubble_10', 'Cleanliness bubble_40', 'Service bubble_10']"
"Excellent Stay, Very Friendly STAFF!!!!!","I selected this property to stay due to its amazing location. My stay was very comfortable, all staffs were very friendly.  Rooms had better view of city with basic amenities. WiFi is free with good speed.",December 2016,Traveled on business,Select front-row rooms for better city view,wrote a review Jan 2017,"Kerala, India","['1 contribution', '1 helpful vote']",50,"['Value bubble_50', 'Cleanliness bubble_50', 'Service bubble_50']"
Average hotel but surely not an 4 start range compared to other hotels in Lagos,"I stayed here almost 3 months from July to October 2016. location is the key factor for this hotel. it is very near to Ikeja mall. Hotel staffs and Managers are friendly.   rooms are old. problems in the bathroom doors, old refrigerator which setting cannot be adjusted, dirty pool. No channels available to watch in the TV.  WIFI is so poor, only available in ground and first floor, I always used mobile data. even in the hotel without any star rating gives at least 2 bath towels and one face towel but here only one bath towel in a room.  No free tea or coffee in the room. later free water is also stopped.  restaurant food is poor.  Definitely improvement is needed on the above said points.   I have no choice to move to another hotel because of the location of this hotel is",July 2016,Traveled on business,,wrote a review Nov 2016,,"['11 contributions', '5 helpful votes']",30,"['Cleanliness bubble_30', 'Service bubble_30', 'Sleep Quality bubble_30']"
LOVELY,"Reinnesaince hotel is a lovely place to be with easy access to the famous shoprite supermarket,Page restaurant and other amenities around ikeja/agidingbi area.  Neat,Ideal and accessible,but would rate as a two and a half star.",October 2016,Traveled solo,,wrote a review Nov 2016,"London, United Kingdom","['9 contributions', '5 helpful votes']",40,[]
"Rude, unprofessional staff. Rooms were sub-par, event hall was disappointing","We booked their large Banquet room, and a bedroom for one day and what a disappointing situation it was. In typical Nigerian style, they changed price on you. Firstly, I have to say that MARIS, their hotel manager was absolutely unprofessional. She ignores emails, and on day of the event, she claimed that we agreed on paying an additional 40k just for cleaning. We had 20 staff there to do cleaning and had never agreed with this unprofessional woman to pay 40k. Secondly, one of our Directors kept demanding that they do the right thing, when he went out to ask for desks they had promised to deliver, Maris made a very racist comment and said ""That White man complains too much"".  She didn't realize that he was standing right behind her.  The hall had construction going on, something",September 2016,Traveled on business,Horrible hotel but good location. Stay elsewhere.,wrote a review Oct 2016,"Orlando, Florida","['8 contributions', '3 helpful votes']",10,"['Location bubble_50', 'Cleanliness bubble_10', 'Service bubble_10']"
