Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
experience at de santos hotel,"Wow! i am opportuned to stay in this hotel, i was there in may and july, i had my wedding photo shoot there and i also had my wedding in their hall. the place and staff was home away from home. I would like to recognize some of the staff that stood out even though all the staff stood out to be honest. i do not like giving review especially when i feel the stay was horrible but this place stood out after being away for years i still had a good experience there. I would first like to recognize the GM which i learned is new Richardo (italian man, married to akwa ibom) i complained about the breakfast because it was chicken sauce and i do not eat chicken and right away they made fish sauce for me, we complained about the rooms that had cockroaches and right away they took care of",May 2021,,,wrote a review Aug 2021,,['1 contribution'],50,"['Value bubble_40', 'Cleanliness bubble_40', 'Service bubble_50']"
Lagos Visit,I checked in late as I was flying out the following day. The hotel is centrally located and close to the airport. I received normal hospitality welcome on my arrival. I checked in and had a very pleasant meal.,February 2020,Traveled on business,,wrote a review Feb 2020,,['3 contributions'],30,"['Location bubble_30', 'Service bubble_30', 'Sleep Quality bubble_30']"
Mr Mustapha Yahaya,"De Santo hotel is a nice place to visit and have your secured holiday or business trip without any fear,they got tight security I ever wondered 2 mopol on duty each day.The manager Mr Olu and staff at deck Miriam with prince will they are all wonderful and got good customer service that will make me come bk to the hotel",September 2019,Traveled on business,,wrote a review Sep 2019,,"['1 contribution', '1 helpful vote']",50,[]
Comment,"The hotel is one of the best in Lagos..... I really enjoyed my stay with my families from aboard and home,I will like you guys to also enjoy a visit to the hotel to know how beautiful standard and nice the hotel is,swimming pool,bar,suitable environment etc",July 2019,Traveled with family,,wrote a review Jul 2019,,['2 contributions'],40,[]
My Two Nights.,"I came to view the hotel including the rooms as I was planning on using it for my wedding in December but I was not allowed to view the rooms which I found strange. However I decided to lodge here for 2 nights to have a first hand experience of the hotel and its room. I would say it's an amazing hotel and Miriam at the reception was simply one of the best receptionist I have ever experienced, she was full of smiles and so helpful. She is a big credit to this hotel. The rooms were very clean, and smelt very nice. The only negatives were the bathroom hot water was not coming out, and also the TV didnt have as much stations as I thought it will but all the same, I'd definitely stay at this hotel again and will be making a big reservation for my wedding in December. Thanks to all",July 2019,Traveled solo,,wrote a review Jul 2019,"London, United Kingdom",['3 contributions'],50,[]
De santos hotel,The hotel services are splendid.my grand parents spent a week there without issues or complains.I also appreciate the wonderful receptionist MARIAM who always attended to us promptly.Thank you MARIAM.we would visit another time,July 2019,Traveled with family,,wrote a review Jul 2019,,['1 contribution'],50,[]
My 14 nights at De Santos hotel,"My husband & me spent 2 weeks at this hotel. The travel agency recommended this hotel to me for ""Oyinbos"" in Lagos. I've got to say that since the very beginning the recepcionists: Miriam & Charity were pretty nice to us. Porters were very kind too: Samuel and Sundary. About the hotel room was cleaned every single day, it's true I have to tell to use insecticide to prevent from mosquitoes, but they did it for sure: Michael, Kingslery, Ucho and Begi. They changed our towels & sheets too. Staff at the restaurant was quite nice as well, my special thanks to: Ifeany and Wisdom. She always adviced me what to eat and was polite, he always tried to do his best while the room service & was patient. Excellent and plenty buffet breakfast, as well as the special dinners on the weekends.",May 2019,Traveled as a couple,,wrote a review Jun 2019,"Madrid, Spain","['31 contributions', '18 helpful votes']",50,[]
my week end stay at the santos hotel lagos,"the hotel in terms of structure is one of the best in akowonjo and quite peaceful and best for young couples because of its activities , club, gym, pool, event center close to both local and international airport.",December 2017,Traveled with friends,the room at the top floors far from the reception is better for weekend stay overs because of...,wrote a review Oct 2018,"Lagos, Nigeria","['44 contributions', '15 helpful votes']",40,"['Value bubble_50', 'Location bubble_30', 'Service bubble_40']"
"Run, don't walk -- as far away from this place as you can!","Very noisy -- right in the flight path of the airplanes...yet it takes almost 1 1/2 hours to get to the airport by road.  Not safe enough to walk around anywhere, and the service (and food) at the hotel is horrible.  Everything in the bathroom was broken (there wasn't even a toilet seat).  Very uncomfortable stay.",June 2018,Traveled on business,,wrote a review Jul 2018,"Cape Town Central, South Africa","['234 contributions', '102 helpful votes']",10,"['Rooms bubble_10', 'Service bubble_10', 'Sleep Quality bubble_10']"
Good stay and excellent food,"We got the hotel recommended by a friend who stayed there too as we previously stayed at the Ibis Ikeja. De Santos is quite cheaper and in a much quieter area. We liked the big room and friendly staff. We had our best meal during our 2 weeks trip through Nigeria there. Spicy shredded chicken and jollof rice, amazing!!the pool area is cozy with a pool table",February 2018,Traveled as a couple,,wrote a review Jun 2018,"Shanghai, China","['55 contributions', '20 helpful votes']",40,[]
Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Nice hotel. Near the airport,The De Santos hotl was quite nice. I have a stomach condition and I can not eat chilli (pepper in nigeria). Bless the staff. They tried to help but they couldn't cook anything with chilli. The stay was comfortable and the staff tried to help,May 2018,,,wrote a review May 2018,"London, United Kingdom","['193 contributions', '41 helpful votes']",40,[]
Superb experience,"We held a conference in one their Hall and we took some rooms, the experience was good. I highly recommend the hotel  because they have good ambiance and well trained staff and it located close to the airport.",July 2017,,,wrote a review Aug 2017,,"['3 contributions', '1 helpful vote']",50,[]
Fascinating Experience,"My stay in this hotel will be a memorable experience for years to come. They offer excellent services ranging from the 24 hours power supply, top notch facilities, conducive and serene environment, and friendly staff. I indeed enjoyed my stay and hope to be back again pretty soon.",January 2017,,,wrote a review May 2017,"Lagos, Nigeria",['1 contribution'],50,[]
Excellent facilities,"If I am to rate De santos hotel Awka, i will give them a Four star Standard. Their rooms, paintings, Decorations, pool side, Restaurant and bar, all is superb. Very Unique and relaxing environment. So as the other branch in Dopemu Lagos very close to Local and international Airport Kudos to you guyz, will definitely see you guyz again soon.",February 2017,,,wrote a review Feb 2017,,['11 contributions'],50,[]
GOOD CUSTORMER SERVICE,"I loved the atmosphere and ambiance of the hotel and also the hotel staff were very welcoming with smiles on their faces, I had a wonderfull time with my family,and also great internet service,it was a good experience.",October 2016,,,wrote a review Jan 2017,"Lagos, Nigeria",['1 contribution'],50,[]
"Very nice place, perfect for your relax!","I stayed with my husband and my baby child in this hotel for three weeks, from the first day to the last day the staff was always courteous, well-mannered and always ready to satisfy your request. Room cleaned every day, the restaurant and bar high quality (just for me I 'am European too too much pepper I ask many times for dishes without pepper but they didn't understand the meaning no pepper so I didn't order anymore),  for breakfast the chef should prepare something else then Nigerian food, some cookies or croissant ..I eated every days bread and butter ,about this I am sorry..the pool as well was cleaned every day and all available every day. Next year when we'll come back to Lagos we will come to De Santos hotel.Thanks  to all staff!  Samuel family",October 2016,,,wrote a review Nov 2016,"La Massimina-Casal Lumbroso, Italy","['10 contributions', '3 helpful votes']",40,[]
Superb customer service/stay,"I have stayed in de santos on and off over the past two/three years since I came across it and have never been disappointed by their standards. I initially thought they might have trouble maintaining their standard over the years but my last stay proved me wrong. I think they are here to stay and deliver the best. I was getting married and needed a first class hotel to lodge my guests as some of them would be coming from outside Nigeria and I needed to be sure of their safety and comfort without breaking the bank. They were all pleased with the service and comfort they got in Nigeria and this was largely due to the support and service rendered by De Santos. I also stayed there for a few days after the wedding with my husband and I must say, It holds a very memorable period of my",September 2016,,,wrote a review Sep 2016,"Lagos, Nigeria","['6 contributions', '1 helpful vote']",50,[]
ROACHES IN ROOM,Roaches in the room complained to the staff they said the room was sprayed roaches continue in the room was one towel asked for another as we booked the room as a couple they said it was company policy to only give one towel per room we checked out after the second night and checked into another hotel for the other 7 night stay in Lagos we will never visit De santos hotel again the bathroom was also very dirty such a dirty roach infested room.,August 2016,,,wrote a review Aug 2016,"Orlando, Florida","['1 contribution', '1 helpful vote']",10,[]
Excellent,"I really had a fab experience in this hotel sometimes last year when my team hitted our sales target and decided to celebrate in this hotel....., good foods.....good people....excellent security. Will check in again soon",,,,wrote a review Jul 2016,,['15 contributions'],50,[]
I'm very impressed.,"I’ve spent quite a few decades in the U.K. … Akowonjo is where I was born and spent my early growing up years. I could remember friends suggesting Ikeja (mainland) for classic / standard hotels whenever I am in Nigeria.  3 years ago, I was introduced to a new hotel in Akowonjo. At first, I’m a bit skeptical about it until I entered the premises and noticed a hotel of a world of its own! It’s proximity to the Airport and to my family house (where my elderly parents now reside) caught my fancy instantly. The ambience / serenity of the environment and the professional way things are being handled really impressed me.  On my second visit, I thought the excitement of this new hotel would’ve faded like most Nig hotels with problems like lack of management and maintenance, but I was",May 2016,,,wrote a review May 2016,Nigeria,['1 contribution'],50,[]
Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Bad experience!! Stay away,"Ok I got to say last time I visited this hotel it had a good service and was looking forward visiting nigeria again to stay in the same hotel, this was when the hotel newly opened. I checked in march 2016 and I have to say was not impressed at all. I was given a small standard room saying it was a deluxe room. My bathroom was outdated. With a bucket I really don't know what that was for. You get only one coffee cup and when  I asked for another they said u only get one in the room but the room was booked for two. No glasses. Staines on the duvet. No information on who to call when  need anything. The break fast was rubbish. U got only 2 choices boiled potatoes and dry sausages with baked beans.  I was to stay for a week but check out the next day. I will NEVER visit this hotel",March 2016,,,wrote a review May 2016,,['4 contributions'],20,[]
Worthwhile...,"My friends and I really enjoyed our stay here and we indeed got value for our money. The staffs are very friendly, the Rooms are really comfortable with complimentary wifi, the meals are also very nice. They have live band at the poolside with other activities to always keep you satisfied. T'was really a wonderful experience and will definitely love to come back again.",April 2016,,,wrote a review May 2016,"Lagos, Nigeria",['1 contribution'],50,[]
Wow experience,"The spacious rooms were of high standard overall. Clean, facilities good. Excellent for our purpose, the staffs are well cultured  and customer friendly, we really enjoyed the complimentary meals and the live band @ the pool site. De Santos hotel is one of the best hotel in Lagos.",March 2016,,,wrote a review Apr 2016,,['1 contribution'],40,[]
"The experience remains the same, great!","My family and I were here July last year and it was a wonderful experience. We stayed in the Suite this time and were welcomed with a basket-full of assorted fresh fruits. Rooms were large. This hotel has been a home for us anytime we're in Nigeria. Facilities are still clean, neat and well maintained. 24 hours power supply, non-stop! The gym was great for a nice work-out. I noticed upgraded services this time. Staff were very friendly as usual. As for the food, it was still ok. Complimentary breakfast buffet varies every morning. The overall services were still great, but there's always room for greater improvement to avoid being stale. For us, De Santos Hotel remains the best around the area coupled with its proximity to both the International / local airports. I can say that",March 2016,,,wrote a review Apr 2016,"Australian Capital Territory, Australia",['19 contributions'],50,[]
Wow! experience,"Wow! I really enjoyed my stay in this hotel. The environment was very clean, the room also. There's free internet and other complimentary services like the gym, the breakfast etc...There services are excellent and the staff very friendly.",April 2016,,,wrote a review Apr 2016,"Lagos State, Nigeria",['1 contribution'],50,[]
Bad services never again,I checked into this hotel 2 years ago when i was in the country and it was good so decided to try it again.  but this time i got a shock. I checked in and asked for a dexule room but was given a standard room saying all room are the same. I got to my room it was too small comared to the dexule room i tool last time. The room had insects. The duxet had staines. There was no towels no glasses and only one tea cup. When i asked for another they said they only give one tea cup per room. And when i asked for a towel they brought me one with staines after waiting for two hours. I have to tell u this hotel should be a 2 star. the only plus was the fish i had by the pool. The morning breadfast was the worst i have ever had. There was only pototes and bake beans. No eggs and some silly,March 2016,,,wrote a review Mar 2016,,['1 contribution'],10,[]
Lagos hotel with safe surroundings,"Clean room , but furnished with cheap Chinese furniture which may not last long....overall experience was good except for Internet.. Gym and the instructor is excellent. I would reccomend this hotel for a budget business traveller",January 2016,,,wrote a review Mar 2016,"Accra, Ghana",['2 contributions'],40,[]
