Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
AC,"Had difficulty adjusting the AC temperature. Could be that I did not understand how to operate it as it is a central HVAC system. I could have called the attention of personnel too, in hindsight and they might have provided clarification.",October 2023,Traveled solo,,wrote a review Oct 2023,,['1 contribution'],50,"['Value bubble_50', 'Location bubble_50', 'Service bubble_50']"
Deterioration of service and quality,"For the past 5 years ive always stayed at the Eko main hotel. Ive noticed the deterioration of services and quality. More and more items are not available on the menus, even a simple pina colada from crossroads restaurant could not be made due to lack of ingredients. The room service menu is even worse- more than 50% of items are not available. Ive requested an iron to my room and had to wait 45 min before it arrived. Food is overpriced and quality greatly reduced- since Eko caters more and more for the masses it seems. This is no longer an exclusive hotel like before. Upon checkout I requested assistance with my luggage and decided to carry the suitcases myself after waiting for more than 35 minutes. My dissapointment has increased after each visit.",September 2023,Traveled on business,"Rooms are okay yet clean. Bathrooms needs refurbishment. 
Service levels not great in general.",wrote a review Sep 2023,,"['8 contributions', '1 helpful vote']",20,[]
Great place to stay in Lagos,Great hotel with fantastic restaurants and polite staff. Made my stay in Lagos just that much better. Irish restaurant is great withing the grounds. Will return soon i hope. Breakfasts were good with a huge selection on tbe buffet. Room service both prompt and polite.,June 2023,Traveled on business,,wrote a review Jun 2023,"Saldanha, South Africa","['35 contributions', '13 helpful votes']",50,[]
Accessible Location; Good for Business Trip,"A very busy but comfortable hotel, good for business. Judging from the extent of maintenance required in certain parts of the premises, it seems to have been better in the past. Comfortable environment if you don't mind the the noise. The staff not markedly friendly but helpful. Food is average. One selling point is the poolside which looks quite captivating in the evenings.",May 2023,Traveled on business,"Go to the buffet and pick your food. It's often better than room service. 
Take note that...",wrote a review May 2023,"Abuja, Nigeria","['27 contributions', '4 helpful votes']",30,[]
Congress center more than a hotel,"This place is more a congress center than just  a hotel. It includes seminar rooms, huge conference rooms, hotel rooms and suites. Plus some other places under the same brand names, outside the main complex. We tried only a few of these facilities, when not at full capacity.  The architecture of the place seems designed to make it a versatile place. However, the result is a maze, that can turn quickly into a mess when crowded. Staff come in all shapes and froms, from the arrogant and disinterested to the genuinely concerned, competent and talented.",April 2023,Traveled on business,,wrote a review Apr 2023,"London, United Kingdom","['592 contributions', '202 helpful votes']",30,"['Value bubble_30', 'Location bubble_30', 'Service bubble_30']"
Drunk security guard assaulted my husband,"My husband and I booked Eko Hotel in November. We entered from the pedestrian gate after a walk and was demanded to provide ID to enter the grounds. For safety reasons we refused and called front desk. The front desk advised this was not protocol and this security was not acting in accordance with policy. Regardless, he refused to allow us in and proceeded to physically attack my husband after we ignored him and continued to the hotel. It was very clear he was angry and drunk while on duty. Another security said he was his supervisor and asked us not to report him. We complained to the front desk about the assault and they asked to call us back to discuss it and never did. This was the worse experience ever.  After booking the hotel across the street we enjoyed the service and",November 2022,Traveled as a couple,,wrote a review Feb 2023,,['1 contribution'],20,[]
Nigeria Lagos Busniess trip,"Very convenient hotel, friendly staff , excellent gym and very delicious food  The hotel has a several international cuisine , very popular sport bar close to the swimming pool   Very good night club and also very convenient banquet Facilities",August 2022,Traveled on business,,wrote a review Feb 2023,"Dubai, United Arab Emirates","['20 contributions', '25 helpful votes']",50,[]
Nice Hotel to Stay in Victoria Island,"Nice Place to stay but too far from Lagos Airport.  The location is about Victoria island take about one hour drive from lagos to the site.  Place and food is very good, one of the best place to stay when you visit Nigeria",December 2022,Traveled solo,,wrote a review Feb 2023,"Tangerang, Indonesia","['18 contributions', '17 helpful votes']",40,"['Value bubble_40', 'Location bubble_40', 'Service bubble_40']"
The Brothel!,"This is the worst hotel experience I’ve had in Lagos and I’ve been in a few on the mainland and island, the glaring presence of scantily clad females all around the hotel ground is unsavoury and very uncomfortable. The bar had flies everywhere. A number of items on the in room dinning menu were unavailable.The Eko gardens is more like a hostel than a hotel with the inescapable whiff of weed. I moved my room from the gardens to Eko suite which cost more, it was slightly better but tired looking with many more ladies loitering in the lobby!  Take my advise, dont stay here, it’s a waste of money!",January 2023,Traveled as a couple,,wrote a review Jan 2023,"North Finchley, United Kingdom","['2 contributions', '1 helpful vote']",10,"['Value bubble_10', 'Location bubble_20', 'Service bubble_10']"
Eko Hotel what’s happening?,"I’ve stayed here so many times before and it’s always been a pleasure able experience. I organise oil and gas events and organise the team to stay here. This trip however was the worst I’ve had at the the Eko. None of the meals were available , pepper soup, no chicken , no meat just fish. Meals took ages to come. When the drinks arrived they were harassing me to pay now and saying signing to the room isn’t possible. After swimming I’m on the seats and they are telling me to leave because they have ‘closed’ meanwhile the Europeans are not being harassed like me.  Breakfast - trying to get me to pay for an extra breakfast when I’ve paid for two rooms for me and my friend. Breakfast , we asked for items and they never brought it. I ask for late check out and they are trying to",December 2022,Traveled with friends,,wrote a review Dec 2022,"London, United Kingdom","['114 contributions', '63 helpful votes']",10,[]
