Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Nice overnight stay,"I stayed here for one night. The hotel is next to the main Eko hotel and a newer version. The ambiance is nice and hotel is located in Victoria Island of Lagos.  It is a popular hotel and also very busy.   Check in and check out was a breeze. Breakfast was ok, many options. My room was big but there wasn’t any hot water.",October 2023,Traveled solo,,wrote a review Oct 2023,"New York, New York, United States","['320 contributions', '59 helpful votes']",40,[]
Strategic location,A two-day stay: Major highlight is the strategic location of the hotel. You can explore Lagos adequately from its location. A major letdown is limited variety of breakfast buffet. Also a bit crowdy when dignitaries like traditional rulers are guests.,September 2021,Traveled with family,,wrote a review Sep 2021,"Abuja, Nigeria",['5 contributions'],40,[]
Wasted potential but with  flashes of greatness,"We visited Eko Signature  for our holiday in March 2020. Our first visit was in 2017 and we were let down by some elements but the then Manager was outstanding in his response - so we tried again. Unfortunately, the Manager had left.   The  positive things about the hotel are the layout very spacious and clean. The decor is bright and modern. The two points are for the interior designer and architectural team.   The negatives are many. The staff are almost without exception cold and unhelpful. Exceptions are Emeka, and I think another senior male, average height dark with glasses (whose name alludes me). These two members of staff were exceptionally polite, helpful and courteous. Some of the concierge are also delightful and helpful.   We ordered tea on our arrival and we were",April 2020,,,wrote a review Apr 2020,"London, United Kingdom","['239 contributions', '124 helpful votes']",20,[]
Magnificent hotel.,"A fine place to stay in Victoria Island.Good service,a lot of facilities in a nice environment.Room very comfortable and luxurious with beautiful view of the city. Food also very good. I certainly recommend it.",December 2018,,,wrote a review Nov 2019,"Athens, Greece","['12 contributions', '22 helpful votes']",50,[]
Very nice hotel,"I was in a suite for three days, lots of space and nice furnitures. Only issue to me are the one day tickets for the wifi, room service does not give lots of choice for thé food and the température of the shower (too low).  Breakfast is also too limited to me",January 2019,Traveled on business,,wrote a review Jan 2019,"Issy-les-Moulineaux, France","['196 contributions', '87 helpful votes']",40,[]
Good overall,"Eko is likely the best complex to stay at, we did almost 2 weeks and didn't really get bored of the restaurant choice etc - nice secure complex  The Signature is the top hotel in the complex and is good enough with some faults  - check in good - weekends involve lots of partying and noise until all hours, guy next to me was having a ball - breakfast good enough - wifi, daily codes really needs fixed, very annoying and not great  - beds good - laundry a bit unreliable - feels safe all round  Rob",May 2018,Traveled on business,,wrote a review Sep 2018,"Canmore, Canada","['1325 contributions', '391 helpful votes']",40,"['Rooms bubble_40', 'Location bubble_30', 'Service bubble_40']"
Fully enclosed resort complex and hotel with all the services,"This is an amazing hotel complex with a nice pool area, great gym, very nice rooms, amazing rooftop bar and multiple places to eat.  It is an oasis that you can stay in comfortably.  The room was spectacular, clean and well appointed. Service was great.",August 2018,Traveled on business,,wrote a review Sep 2018,"Calgary, Canada","['1106 contributions', '143 helpful votes']",40,"['Value bubble_40', 'Cleanliness bubble_40', 'Service bubble_50']"
...,"Beautiful large room, exquisite furniture, was thrilled to see the room phone configured to my husbands name, quite interesting. Staff have been of great service, never new a hotel room in Nigeria could be like this.",August 2018,Traveled as a couple,,wrote a review Aug 2018,Nigeria,"['3 contributions', '4 helpful votes']",40,[]
Beware 'breakfast included',"If you are travelling as a family (I.e 2 or more adults,1or more kids') breakfast is only for one person if you book as a group in one room. The rest of the group pay 7500 niara per day for breakfast.  This hotel does not give you the option on their website and not any of their partnering websites (eg booking.com expedia etc) to pay one inclusive price for breakfast for more than one guest for the duration of your stay . So prepare yourself with facing added expenses to your holiday when you get there. And on top of that the breakfast was nothing much to rave about !!!",April 2018,Traveled with family,,wrote a review Apr 2018,,['3 contributions'],30,[]
A stunning 5 star property with flaws,"The rooms in the Signature are over the top. They are huge with really good beds, a sofa with coffee table and chairs as well as a meeting table for 4 and desk space. The bathroom is also well appointed. The hotel gym is one of the best I have ever been into with plenty of equipment all in good condition. the property has numerous restaurants so you wont get bored on an extended stay. The staff are friendly and very attentive and I must give mention to Vincent in the bar as well as the general manager from Jordan whose name I cannot recall. The flaws. 1) the rain shower in the bathroom was great but couldn't be used as it flooded not only the bathroom but out into the bedroom. 2) Several Dstv channels don't work. I specifically wanted one channel and requested they sort the",February 2018,,,wrote a review Mar 2018,"Hermanus, South Africa","['334 contributions', '55 helpful votes']",40,[]
