Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Not impressive and got cheated on prices that were confirmed in writing by the hotel!!,"Stayed 6 nights at the hotel for attending a course. Good room, but the placement of the bed was just across the AC with no way to reduce the AC fan. Bathroom needed a bit of maintenance. All in all room was not bad, but the wifi was extremely poor. Had power failures a few times but the generator was switched on quite quickly. Restaurant was very poor, although the food was good it took about 2 hours to get your burger or salad. But once I found jam at the breakfast buffet that had expired over 15 months ago I was not sure what I was ordering and eating was even fresh or not. I did get stomach issues when I stayed there. The hotel overcharges for everything!!! a bottle of water costs 100 outside but 1000 in the hotel. Food is extremely overpriced and conversion rates are also",October 2023,Traveled on business,Do not rely on the gym. Take USD cash or better yet Naira to avoid outrageous rates.,wrote a review Oct 2023,,['2 contributions'],20,"['Value bubble_10', 'Location bubble_30', 'Service bubble_40']"
Bit of a mixed bag,"The rooms are spacious and clean.  Several of the bathrooms require maintenance with either broken fittings or cracked tiles, panels etc. each room has very large pieces of art on display which vary from pleasing to downright scary depending on which room you get.  The restaurant is where things really go wrong.  Items not available, food preparation taking nearly two hours, food not being served at the same time for groups and the exorbitant pricing vs quality, all add to the disappointment.  The failure of the restaurant is really a pity as it detracts from what would otherwise be a 4 star rating.",July 2023,Traveled on business,,wrote a review Sep 2023,"Lagos, Nigeria",['2 contributions'],30,[]
Quality of facility is fast waning.,"I'm currently here for three nights for a training. This facility has a lot of potentials and looks a lot like what I have seen in the Western world. However many parts of of it have been left without maintenance over the years. The gym has broken down equipment that have not been fixed over time. The wifi keeps throwing security errors, I had to make use of my personal wifi to be safe. My room kept making a beeping sound every 15 mins. Some of the staff act unprofessional and poorly trained. A little tweak here and there and they will back to 4 star. I'll pick this spot over intercontinental, Victoria Island or Sheraton, Ikeja any day.",June 2018,Traveled on business,,wrote a review Jun 2018,"Lagos, Nigeria","['11 contributions', '1 helpful vote']",30,"['Value bubble_30', 'Location bubble_30', 'Service bubble_30']"
OKAY FOR BUSINESS VISIT AND SHORT STAY,"The service at Elion house is what is always so pleasant. The staff are always wearing a smile and are ready to go the extra mile to make your stay enjoyable.  I am always happy with my stay in Elion house. The rooms are cosy and clean, their meals are okay as you will always find something good to eat on the menu or at the buffet table..  The gymn and pool are small and their design/location puts one in full view of any guests passing that way.  For the gymn I recommend they cover the glass (with curtain/paper) so the users have some privacy",September 2017,Traveled on business,,wrote a review Mar 2018,"Port Harcourt, Nigeria","['29 contributions', '7 helpful votes']",40,"['Location bubble_30', 'Cleanliness bubble_40', 'Service bubble_50']"
DELIGHTFUL STAY AT THE ELION HOUSE,"My first stay at the Elion House was in 2009 on business trip, and I was really impressed that the Hotel was able to maintain and sustain their services during my second stay in 2016 which was a family trip. The rooms are very cosy and quiet, the Internet is very fast and stable. I was offered complimentary breakfast buffet, I would definitely be returning to the Elion House Hotel. It was a ""Home away from Home"".",September 2016,Traveled as a couple,The Rooms that are reserved for their Oil Company clientel are much better.,wrote a review Sep 2016,"Lagos, Nigeria","['32 contributions', '51 helpful votes']",40,"['Value bubble_40', 'Service bubble_40', 'Sleep Quality bubble_40']"
"A bit of house, A bit of Hotel","The positive and the nagative aspects of the property can be attributed to its 'positioning'. They want to be called a hotel and a house. True to the name - the food, the interiors, the pool, the facilities were just like a house. Offering everything basic to feel like home or guesthouse. However, the charm of hotel was missing. The place is centrally located both for mainland and VI visitors but no shops around. Ok for short stays.",July 2016,Traveled on business,,wrote a review Jul 2016,"Adelaide, Australia","['182 contributions', '79 helpful votes']",30,[]
Home away from home,"Interestingly, all the staff here were very polite and friendly. Willing to go an extra mile to assist. Wonderful cooking/meals.  Secure environment, if you have business within the Ikoyi neighbourhood and want a quiet place in the city. This hotel is an excellent option as the food makes it feel like home away from home.  Though water had a bit too much chlorine.  Overall I would recommend highly.",February 2016,Traveled on business,,wrote a review Feb 2016,,"['1 contribution', '1 helpful vote']",30,[]
wonderful stay,"my stay at ellion house was awesome. wonderful location, good room service, meals were ready on time and the staff were polite and helpful. There was no problem at all during my stay here. i will recommend",December 2015,Traveled on business,,wrote a review Feb 2016,"Lagos, Nigeria",['1 contribution'],50,"['Location bubble_40', 'Service bubble_40', 'Sleep Quality bubble_40']"
Dirty bathrooms;  service slower than an arthritic tortoise.,"We stayed here for one night as it was closer to the conference venue we were visiting the next night.  Initially our impressions were that it was a beautiful venue with a great pool and friendly staff.  This impression was quickly dispersed by waiting over an hour and a half for dinner.  We had called ahead to check that the kitchens were open and were extremely disappointed to have to wait for such a long time (we ate at 11.30).  The food when it did arrive was poor and that is a charitable description.    Rooms were tired,  The bathrooms in most of our groups' rooms were covered in black mould.  My room had dirty fingerprints on the back of the pull out mirror, a feral air con that completely ignored the increasingly desperate commands from the handheld remote and a green",February 2016,Traveled on business,Find a room without mould,wrote a review Feb 2016,"South Devon, United Kingdom","['7 contributions', '6 helpful votes']",20,"['Location bubble_40', 'Cleanliness bubble_10', 'Service bubble_20']"
Rude Spa Staff,"Frist of all the Spa is a massage room! I got to the Spa door and tried to enter, thinking I would meet the receptionist and secure a spa time, i actually thought  it was a normal spa only for the staff to come out and ask me ""why i did not knock to go inside and thank God she locked the door because she was with a customer inside"".  I was shocked and confused. I said i had no idea, there was no sign like "" knock before you enter"", ""busy with a client"" etc.  She said ""still you have to knock to enter that is the right thing to do"". I said ""No people dnt knock to go into spa`s, it is like knocking before you go into a resturant or hotel!!!"" Then she goes ""I am keeping her outside, she has a client waiting for her inside, what can she do for me?"" I told her I wanted to wax my",December 2015,Traveled solo,,wrote a review Jan 2016,"Port Harcourt, Nigeria","['3 contributions', '3 helpful votes']",30,"['Rooms bubble_30', 'Location bubble_30', 'Service bubble_30']"
