Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Service Makes The Difference,"Excellent staff and service at this functional hotel in Lagos. Membership was recognized, rooms were clean and overall a fine experience.  I've read reviews saying ""not great"", but I would disagree. I felt safe and secure during my trip, and the AC worked well the whole time.",October 2023,Traveled on business,There is a pool.and workspace.,wrote a review Oct 2023,Switzerland,"['268 contributions', '159 helpful votes']",40,"['Value bubble_40', 'Location bubble_40', 'Service bubble_50']"
Extremely Disappointing Stay,"Very stressful and disappointing stay. Room was not ready when we first arrived and we had to wait until one was ready, despite checking in on the app. When I finally got into the room, it was humid and the ceiling was leaking and had to be fixed. Additionally, the air conditioning did not work and when maintenance person arrived to fix the ceiling, I pointed out the air issue and he (frustratingly) insisted it was just me not knowing how to work it, even though it clearly didn’t work even when he made the “correct adjustments” (though it ultimately was proven that the system just wouldn’t get cooler - it wasn’t me not knowing).   I asked to be moved but was asked to remain in the room for a night with a promise a new room the next day, so no sleep to say the least as someone",September 2023,Traveled on business,,wrote a review Oct 2023,,"['1 contribution', '1 helpful vote']",10,[]
"Horrible experience, should not be a Marriott Bonvoy property","Highly recommend NOT staying at this hotel. The rooms are not clean.  The air in the rooms is damp and moldy and the AC doesn't work well.  If you like a smelly room that is 25-28 degrees, this is the hotel for you.  After moving to a different room, the AC worked ok, but the bed was horrible. I did not sleep well.  I can not see how this hotel maintains the Bonvoy/Sheraton brand.  I have submitted my complaints to Bonvoy as well and have encouraged all of my colleagues that stayed there to do the same.",September 2023,Traveled on business,Avoid this hotel at all costs ,wrote a review Sep 2023,"London, United Kingdom","['10 contributions', '5 helpful votes']",10,[]
Poor maintenance. 1*,"This hotel is now a rundown 1* hotel. I stayed here a few years ago but clearly there has been no ongoing maintenance and the new management are doing a poor job.  Our room smelt like urine, no soaps, broken furniture and more. They changed our room after we complained and upgraded us to a much larger suite that was slightly cleaner but had limited light sources.  The breakfast area was old, not maintained and the food not fresh. Even the frying pans used to make eggs looked like they had not been replaced in years. Very unhygienic.    As a Marriott Elite member I was appalled and believe that the Marriott standard does not exist here.   Unfortunately, I will not be coming back.",June 2023,Traveled with family,,wrote a review Jun 2023,,"['6 contributions', '4 helpful votes']",10,[]
Sheraton?? Nope!,"I dont know why Sheraton would have their name on this hotel. Service is terrible. Have to ring mu;tipletimes EVERY time you orfer room service , have to ring multiple times EVERY time you get laundry done. Staff just dont care at all. Options are limited in Lagos but there must be better than this",April 2023,Traveled on business,,wrote a review Apr 2023,,"['4 contributions', '3 helpful votes']",20,"['Value bubble_10', 'Location bubble_20', 'Service bubble_10']"
Very average experience,"Very good room, large and well equipped. Well cleaned and good services. Only one small bar on the second floor, outside bar area is very dark, inside no tables, I would rate this very basic for a Sheraton. The restaurant is also basic, one big empty room with no atmosphere, may as well be a canteen. Breakfast is supposed to start at 6.30 am but no point in going at this time as less than half of the items are available, no chef at the egg station, toaster did not work and I struggled to get a coffee out of the coffee machine. I stayed for over a week and on a few occasions resorted to having a coffee in the coffee shop on the ground floor where the staff, especially Sarah Ukpeh were very helpful. If it was not for the friendly service at the coffee shop I may have checked out",November 2022,Traveled on business,,wrote a review Dec 2022,"High Wycombe, United Kingdom","['43 contributions', '14 helpful votes']",30,"['Location bubble_30', 'Cleanliness bubble_40', 'Service bubble_10']"
Nice hotel located conveniently with comfortable rooms,"The staff at the hotel are very friendly and service levels are very good. The rooms are spacious, clean and comfortable. Their main dining has buffet options through all meal times but the cafe has a wide range of snacks and light bites and very good coffee",September 2022,Traveled on business,Ask for renovated rooms,wrote a review Sep 2022,"Nairobi, Kenya","['239 contributions', '65 helpful votes']",40,[]
Amazing staff,"I switched from the dreadful Oriental Lagos to the Four Points for the second half of my week in Lagos and the difference was night and day. The 4 Points is what I would have expected in Nigeria but the staff outdid themselves....shout outs to Onifade Ayodeji at the front desk and Omoniye in the front office along with Bobo the chef, Favour in the restaurant, Ruth at the front desk, and Kayode and Aderonke in the bar!!",August 2022,Traveled on business,,wrote a review Sep 2022,,"['3 contributions', '1 helpful vote']",50,"['Value bubble_50', 'Location bubble_50', 'Service bubble_50']"
A Pleasurable Experience! 🤩 🏨,"Four Points By Sheraton is a hotel that I've been passing by for years, especially when heading to The Palms Mall @ Lekki. It appears to 'sit' on the border of Victoria Island and Lekki. I've always wanted to stay here, but never got the opportunity to do so until now. Booking was super easy on Booking.com, and upon arrival, the check-in process was a breeze. I'll divide this review into the 'Positives' and the 'Negatives', as I customarily do.   PROS: First of all, the entire hotel is lovely!😍 This includes the lobby, rooms, swimming pool and other environs. Except for some scaffolding/repairs, everything about the hotel appeared neat, clean and orderly. The exterior of the hotel is kempt and well-maintained. Our room was beautifully decorated. It was done in attractive pale,",August 2022,Traveled with family,"Leave time to get there, as there can sometimes be traffic on this V.I/Lekki 'Border' Hotel.",wrote a review Sep 2022,Nigeria,"['3686 contributions', '237 helpful votes']",40,[]
"Deteriorated over the years - musty, leaky, terrible","This hotel has deteriorated since my husband and I stayed there ten years ago. During this stay we ended up changing rooms three times. First, we were allegedly upgraded to a suite based on my husband’s status in the Marriott Rewards program. When we arrived at our room, it was certainly not a suite. We called down and were told they did not have any available suites but persuaded to stay in the “nice” room we were given. We agreed. Within the first day, the ceiling developed a leak, which was attributed to a faulty air conditioning duct system. Their maintenance crew could not fix it so we were moved to a second room. The minute we walked into the second room we knew we couldn’t stay there - the air smelled horribly musty and the dead bolt on the door was broken. We were then",May 2022,Traveled as a couple,,wrote a review May 2022,,['9 contributions'],10,[]
