Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
I wouldn't go back,"We stayed at this hotel because it is near the airport and I had an early flight to catch.   The staff who checked us in were friendly and the check in process was fairly quick. The room we stayed in was OK but was spoilt by the fact that room was quite dark and had very little natural light.   The food was OK but the layout of the dining room, the lack of natural light and the extremely hard to move chairs made the overall experience less pleasant.   The WI-Fi did not work and I kept on getting an error on my phone that says 'IP address cannot be found'. When I went to ask at the front desk, the man at the desk responded 'It is general', meaning everyone was experiencing the issue. When I insisted it needed to be resolved, he said he'd send and IT guy to the room to fix it. No",October 2022,Traveled as a couple,,wrote a review Oct 2022,"London, United Kingdom",['4 contributions'],20,"['Value bubble_30', 'Location bubble_30', 'Service bubble_20']"
Worst Check in ever,"I have been waiting in the lobby of this supposed 4* Hotel for the last 45 minutes. I have checked in but they only sent cleaners to clean my room when I arrived. They have asked me to wait in their lobby for almost an hour and everytime I ask when my room will be ready they tell me just a few minutes. The hotel isn't busy in the slightest and it is 8pm in the evening. Absolutely 0 excuse why my room should take almost an hour to get ready. I may end up sat here waiting for well over an hour. In the meantime they haven't even offered me a complimentary drink. I went to the bar to order a drink while I waited. They didn't have tonic, soda water or lemonade so in the end I just gave up and returned back to the lobby to carry on waiting. Shocking service so far and far below the",February 2022,Traveled solo,,wrote a review Feb 2022,,"['9 contributions', '2 helpful votes']",10,[]
Never Again!!!,"I  try to give allowances knowing how difficult it is to run a business in Nigeria however , I make no excuses for service issues . Coming from a red eye flight  my colleague and I walked into this establishment for one night because it was close to the airport and was an international brand . Check in was slow seeing we were the only ones there,The hotel showed visible signs of wear and tear  from the reception to the rooms which were paneled in laminated wood. The bedding was clean but obviously frayed and stained and the mattress was wood hard, you could jump on it and it would not budge .  We ignored these things  being weary travelers and woke up to a terrible breakfast . There were black flies hovering over the pastries and most of the food was cold . I instinctively",August 2021,Traveled on business,,wrote a review Aug 2021,"Dubai, United Arab Emirates","['145 contributions', '28 helpful votes']",20,[]
"No hot water from shower, and everytime the light went off, you had to reset the AC thermostat. Bed was hard and uncomfortable.","Not only was there continuous noise, but the staff were also rude. While going out, I was approached like one trying to leave without paying for room service, even though my luggage was still in my room and they were the ones who didn't come with a POS.",May 2021,Traveled on business,"If you want a rest, you wouldn't get it at this hotel. Hotel is just good for day stay, ahead of...",wrote a review May 2021,"Lekki, Nigeria",['2 contributions'],10,[]
Good hotel close to Airport,"This hotel is very conveniently located close t the international and domestic airports and despite its slight drab look from outside the deluxe room was spacious, well equipped and comfortable. The bed was perfect as was the air-conditioning in the room. The breakfast was excellent with a wide range of items and the hotel even provides a free drop/pick service from the airports.",February 2020,Traveled on business,,wrote a review Feb 2020,"Nairobi, Kenya","['239 contributions', '65 helpful votes']",40,[]
Accomodable room,"This hotel is probably quite nice, however, did not enjoy this hotel.  Too many things going on, and everyone wanted their own way.  They had it.  I focused on what I could manage, which again is my sleep, my eating, and my little sister and cousin, when they chose to stay in one place.   My husband could check up on me when he could, but he was limited in his movements as well.  Thankful for my family as the three of them kept me sane, and the service of the waiter Benson.  For a country that is the most populous in Africa, to have a hotel adjacent to the airport, Golden Tulip worked to the best of their ability and served the people who should be in that hotel.  When I left, I did not care how it was chosen to be run, and the ones I favored also in that hotel, I did not even",January 2020,Traveled on business,,wrote a review Jan 2020,"Harrisburg, Pennsylvania","['20 contributions', '1 helpful vote']",40,"['Value bubble_50', 'Location bubble_50', 'Service bubble_30']"
Nope,"The fact this hotel is ranked as high as it is is a shock to me. The front desk staff was the nicest thing about this property. Upon being “upgraded” to a suite. I arrived to my room 308....it only took 30 minutes to find as the elevator buttons and levels were misplaced. Guess they don’t maintain elevator inspections. My room number was missing from my room, making it very difficult to locate. Once I finally located it to I hoped how soon my stay would end.   The amount of continuous sound outside and inside this hotel makes it impossible to rest in this place. Very loud cars, music, people, street noises is heard 24/7. I wiped down all areas I would be using to discover everything I cleaned had dark black and brown soot. My room chair even had dry blood on the headrest.   The",January 2020,Traveled on business,,wrote a review Jan 2020,"Nashville, Tennessee","['48 contributions', '37 helpful votes']",20,[]
Ideal for early airport departure,"Stayed here a few weeks ago whilst awaiting flight back to UK. The approach to the hotel does inspire much confidence and neither does the check in area. However, once I have gone up to the room I was pleasantly surprised. The food in the restaurant was fine and the bar had a reasonable selection. The staff were friendly and helpful and best of all I had a good nights sleep and it was only 5 minutes or so from the airport. Recommended and good value",June 2019,Traveled on business,,wrote a review Jul 2019,"Broadway, United Kingdom","['234 contributions', '129 helpful votes']",40,"['Cleanliness bubble_40', 'Service bubble_40', 'Sleep Quality bubble_40']"
Best I used in Nigeria,Traveling asa missionary in Nigeria I stay at a lot of very bad hotels. Needed one near the airport at the end of this trip and checked in here. Very comfortable and clean. The restaurant very slow and food so so. Had some issues with staying connected to WiFi. I will be back.,June 2019,Traveled on business,,wrote a review Jun 2019,"Phoenix, Arizona","['137 contributions', '15 helpful votes']",30,[]
Average hotel,I visited there before couple of times but this time is not good experience. Wifi is too slow and disconnect in every 10 minutes. Food is good but have to wait for long time. Better go for buffey. Will get more choices.,January 2019,Traveled on business,,wrote a review Jan 2019,,"['143 contributions', '52 helpful votes']",30,[]
Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Average,"This hotel is average at best. It's advantages are the close proximity to the airport , the buffet breakfast with local food which was good and big rooms . Unfortunately the beds are hard and the noise from the main Street is very bad up to late hours of the night and when changed to another room facing away from the street I was greeted by equally loud music from the swimming pool bar area which went on till late hours of the night.  The other parts that were bad are the rudeness of some of the staff members when anything is requested from them and the fact that the staff members ate from the breakfast buffet before and during the time guests are there and finish some of the items in that buffet and not add more leaving the buffet very limited.  All round it is an average hotel",October 2018,,,wrote a review Oct 2018,"Johannesburg, South Africa","['1112 contributions', '213 helpful votes']",30,[]
Nice!,I stayed here for 2 days last week. It is a clean  and beautifully decorated hotel...definitely up to American or International standards. Reception staff  were courteous and professional. Special thanks to Mr Vincent Kalu. I would and plan to stay here again..great that its close to the airport.,February 2018,,,wrote a review Mar 2018,"Rosedale, Maryland","['5 contributions', '11 helpful votes']",50,[]
Very nice hotel,I stayed in this hotel just one night 03-04.02.2018. Lets start with the front desc: they are unbeliveble pleasant and willing to help any minute. Restaurant: i served dinner and i orderd spaghetti carbonara i was thinking “here we go this will be interesting” when food came and i tasted it it was just great. Room: clean and nice bed sheets. Free internet little bit slow but ok. Bathroom: you have everything you need for a shower.  24 hours light witch is a plus. Thank you guys for a pleasent stay. PS: i left at 6 in the morning but from the kitchen they prepared me breakfast at 5:30,February 2018,,,wrote a review Feb 2018,"Medias, , Romania","['51 contributions', '38 helpful votes']",50,[]
Best Place To Stay Close To The Airport And Town,"I was skeptical initial but thank God I listened to my guts. The place is a wonderful place filled with cheerful looking workers who are always on hand to help with any issue. Their food is excellent, the rooms I stayed in are so cozy, I stayed for 4 days and switched room twice. If you are a smoker, know that you can't smoke in the room, you will have to go down to the pool side which has a bar.  The place is the best place for corporate people. Environment is serene and calm.   To crown it all, the hotel is 5 minutes or less to the airport with drivers always on standby.",October 2017,,,wrote a review Oct 2017,"Little Switzerland, North Carolina","['3 contributions', '2 helpful votes']",50,[]
Not a bad place for non-smokers to spend the night before travelling,"This hotel is 5 minutes away from the airport, which makes it a good place to spend the night if you are afraid of being late to your flight, but be aware if you are a smoker, they don't have smoking rooms, you have to go down to the pool to smoke.  Based on the reviews I have read in here I asked for a room away from the street and they refused to give me one, they told me that all rooms on the other side are suits, and they told me that the windows are sound proof, but even though I was on the 4th floor I can still hear the cars on the street.  Overall it is not a bad place unless you are a smoker, they have a restaurant, a pool and a gym, the rooms are not bad, they have a little bit of attitude with me but I was having a bad day, and I gave them trouble so I can't really say",July 2017,,,wrote a review Sep 2017,"Amman, Jordan","['2211 contributions', '382 helpful votes']",30,[]
Close to Airport,"This hotel has been my usual stop between flights . It's exactly 5min from the airport. It's more of a mid level budget brand with the full size version located more into the centre.it provides essential service's which one would need during a layover. Room service ,pool etc are available. The condition of the rooms are average and the towels and bath related could do with replacement .overall no complaints due to its location. A special mention to the drivers at the hotel who are always proactive in picking /dropping customers around the clock. On account of flight delays,they are still active and coordinate pickups effectively .  Good place for people who want hotels very close to the airport",July 2017,,,wrote a review Jul 2017,,"['148 contributions', '10 helpful votes']",30,[]
Sleep over,"Stayed at the golden tulip for a night for early departure to the airport. Even though I picked it due to the proximity to the airport but I ended up enjoying the hospitality, the facilities, the staff and morning breakfast. Only problem was everyone in the restaurant takes turn in asking my room no!!!",February 2017,,,wrote a review Feb 2017,,"['179 contributions', '17 helpful votes']",30,[]
Excellent for purpose,"Stayed one night prior to traveling home, not wanting to miss flight with any protential traffic.  Located in a busy neighborhood but hotel safe and secure.  Also being so close to the airport slightly noisy with people checking in and out all hours.  Having said that hotel is clean, presented well, rooms to a good spec. Food good and staff only to happy to assist.  Would Defo revisit for the purpose of being so close to the airport. Laundry service excellent and fast, just ensure you state the time required by, due to 24/7 checkout.",December 2016,,,wrote a review Jan 2017,"London, United Kingdom","['5 contributions', '2 helpful votes']",40,[]
Good hotel,About 10 or 15 minutes from the airport They will send a car to pick you up Free complimentary breakfast Nice ammenities in room Hot shower and constant electricity Decently clean by Nigeria standards  Good wifi Friendly staff 50000Naira per night for the room I stayed,October 2016,,,wrote a review Oct 2016,"Calgary, Canada","['379 contributions', '50 helpful votes']",50,[]
Better than diamond-in-the-rough/Proximity to the International Airport.,"Although, it is located on the bustling Airport Road, it possesses a quite milieu at night. No night clubs or bars, except in the hotel. My standard room was small, however it felt like a  romantic get-away for us.One of it's well kept secrets is the food in the IRUKA Restaurant. Eclectic and versatile. Both breakfast and dinner buffet had different offerings. Or go into Ajao Estate annex for a quick Nigerian cuisine take out. The staff was friendly and energetic.",September 2016,,,wrote a review Sep 2016,"Lancaster, California","['2 contributions', '1 helpful vote']",40,[]
Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Wonderful hotel,"I stayed in this hotel with my family in July 2016. We stayed in the Executive suite. It was very spacious, clean and up to date. Customer service was 100%. The restaurant downstairs was superb. We had complimentary breakfast- very delicious and a mixture of Nigerian/Western cuisine. I overpaid in cash on check-in and and the excess was brought up to my room within 30 mins. Complimentary fruit basket on 2 of 3 days. Special thanks to Mr Levi O., Mr Agwu. Excellent representatives of the hotel. Definitely will be back.",July 2016,,,wrote a review Jul 2016,"North Las Vegas, Nevada","['3 contributions', '3 helpful votes']",50,[]
Fantastic,"Great hotel, stayed over the weekend from the 16th - 18th July, airport stopover, due to KLM cancelled flight. Room fantastic, the food out of this world, great shout out to the cook, please Golden Tulip hold on to her, she is worth her weight in gold, a sentiment shared by fellow stranded passenger. The duty manager over the weekend was lovely and did all she could to make us as comfortable as she could, would have given 5 stars but for a slight issue with the reception staff on checking in, I guess it's difficult to handle over 50 irate customers at 4am in the morning. Despite that loved the hotel and would definitely have that on my number 1 stopover airport hotel in Lagos",July 2016,,,wrote a review Jul 2016,"Scunthorpe, United Kingdom","['47 contributions', '17 helpful votes']",40,[]
Close to the airport,"Very situated when GOING to the airport - getting there FROM the airport takes a lot longer. I found the room clean and comfortable enough, although on the first floor facing the road, there was a lot of noise from traffic. I couldn't understand why the windows weren't double-glazed. Wifi worked well enough and the buffet dinner was reasonable, though expensive at 5,000N. Visiting the gym was a waste of time, as everything was broken. Staff were polite and helpful and overall I found this better value for a one night stay than some competitors I could name.",July 2016,,,wrote a review Jul 2016,"Ilesa, Nigeria","['4 contributions', '2 helpful votes']",30,[]
Great for the airport,"This is a really convenient hotel if you need be close to the airport in Lagos. It is ideal if you need to stopover for a flight the next day. iIt is welcoming, well appointed, clean, with a bar and a restaurant. The down sides were that the bed was very uncomfortable, being next to a busy road meant that it was noisey and the breakfast was poor.",June 2016,,,wrote a review Jul 2016,,"['57 contributions', '13 helpful votes']",30,[]
Uncomfortable,"The most uncomfortable bed I've ever had the misfortune to endure. A very noisy room facing a busy road with endless hooting. The breakfast was diabolical, could not even enjoy a drinkable coffee. Considering the price per room this hotel should be avoided.",May 2016,,,wrote a review May 2016,"Cape Town, South Africa","['8 contributions', '1 helpful vote']",10,[]
"nice hotel, not so nice services","It was my wedding in April 2016 and so I went in search of a hotel close to the venue. Without a doubt Golden Tulip was the best of the lot along that airport road. The rooms are clean and the air freshener is really nice. Their staff are friendly and make a decent effort even though it can be a whole lot better. Their management however is not so much to write home about. I'd booked a suite for my groomsmen and I and the room was empty in terms of extra perks you would expect in a suite. We had been assured of a roll in bed, but we didn't see so much as the rollers let alone the bed. My wife also had the same complain in her own suite on the floor below. The food downstairs was not great and the attitude of the staff in the dining area was not very heart warming. The only thing",April 2016,,,wrote a review May 2016,,"['123 contributions', '56 helpful votes']",30,[]
