Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
RAT,We saw the golden tulip apartments festac on trip advisor and decided to give it a try being that we were traveling with kids and preferred to stay in an apartment! Everything was going averagely then a humongous RAT !!!!!!!!!!!!!!!!! Showed up !!!! The apartments could also be much cleaner .,January 2023,,,wrote a review Jan 2023,"Festac Town, Nigeria",[],10,"['Value bubble_20', 'Location bubble_40', 'Service bubble_20']"
The Worst!,"First of all, it is no longer the Golden Tulip but rather the Festival Hotel as it has been sold. They didn't bother to tell anybody and you can still book through the Golden Tulip site. The place is dilapidated, aircon is down in entire hotel, service is poor, rooms are small, credit card machines don't work. Breakfast had a nice selection but food not fresh. Not worth the price at all. Worst hotel in Lagos!",February 2020,Traveled on business,,wrote a review Feb 2020,"Columbia, Maryland","['41 contributions', '15 helpful votes']",10,[]
Disappointing Stay,"It was a most frustrating stay at this hotel. Got in around midday. My first encounter with how inefficient the front desk was. Had made a prior book via Hotel.com and paid for a room for US$ 68, 00 for one night. I came with a group who were booked on the 4th floor and therefore asked for a room on this floor. was tole I had to pay an additional Naira 21,824.70 = US$ 24, which adds up to US$ 92! When asked why was told because of the floor and I wanted to be with the group! The hotel is huge and most of the rooms were empty! No amount of reasoning helped. No explanation given! Got to the floor, it had a dank smell which the best of air fresheners could not conceal! The air conditioning was on but the room was hot! Made a complaint as did many others on the floor, were told it",September 2019,,Hotel is surrounded by high rise buildings of the hotel rooms.,wrote a review Oct 2019,Austria,"['75 contributions', '49 helpful votes']",20,"['Location bubble_30', 'Service bubble_20', 'Sleep Quality bubble_10']"
NICE LOCATION,"Golden Tulip, Festac Town is located at Amuwo Odofin, Mile 2 Estate.  The hotel share the same premises with Festival Mall otherwise known as Shopprites. The hotel was formerly known as Dubar Hotel with nice structures and good parking lots.   Check - in at the hotel was poor and the front desk still needs constant training and  retraining.  Room was clean and neatly set, but the bathroom and toiletries needs to be highly improved  improved upon.   Breakfast was so good and the pool was also cool.   In all I will rate hotel 2.5/ 05",February 2019,Traveled solo,,wrote a review Mar 2019,"Lagos, Nigeria","['2167 contributions', '121 helpful votes']",30,[]
Family dinner and one night stay,"Nice hotel for Nigerian standards, I would say average from American perspective. Good pool area, bar, buffet restaurant and comfortable rooms. This was one of two places I saw other westerners during my 2 weeks in Nigeria.",April 2018,Traveled with friends,,wrote a review Mar 2019,"Las Vegas, Nevada","['56 contributions', '5 helpful votes']",40,[]
The golden tulip – Mainland Comfort,"This hotel is located on the mainland area of Festac, having spent virtually my whole day in traffic I was tired and was ready to hit my bed, I was greeted by the hotel supervisor who checked me in promptly, I had an extra person accompany so he upgraded us to the next standard of room with an additional bed complexly free of charge. He escorted us to the room and showed us how to use the available amenities Shower AC, Wi-Fi etc.  The room was spacious and vermin-free, I had a sound sleep… All your typical mods and cons were available, AC unit was controlled via the wall control, a refrigerator and kettle we available with tea and coffee, and two bottles of water were provided. The room contained a desk and chair, along with a sofa and table. There were enough socket spaces for",April 2018,Traveled solo,,wrote a review Jan 2019,"London, United Kingdom","['154 contributions', '40 helpful votes']",40,"['Rooms bubble_40', 'Cleanliness bubble_40', 'Service bubble_50']"
Great One-night Stay,"We came here for a short stay and thoroughly had a good time! Planning to come back sometime soon. Helpful and courteous staff, well cooked meals and very clean room and bathroom. Had a well rested night i must confess.",December 2018,Traveled with family,Pool side view is great. The higher the floors the lesser the noise and the better the view,wrote a review Dec 2018,"Lagos, Nigeria","['97 contributions', '39 helpful votes']",40,"['Location bubble_30', 'Cleanliness bubble_40', 'Service bubble_30']"
One of the worst hotels ever,"I stayed for two night for a business trip. When I arrived they gave a room that the door was broken (it couldn’t close the door). The gave another room that it seemed that some slept before. I couldn’t pay when I made the check in. I other dinner to the room, the waiter very strange gay that called me to the room at 4AM. Unacceptable.  There wasn’t a safe box to keep my passport safe. I tried to pay 5th times but there was always a problem (they told it was my credit card, wasn’t true) I made a transfer because they told me that we the receipt from the bank would be enough it wasn’t true either. The girl from the front desk wasn’t giving me any solution. As far as I can I will never come back there.",October 2018,Traveled on business,,wrote a review Oct 2018,"Barcelona, Spain","['369 contributions', '93 helpful votes']",10,[]
Just Fair,The check in was good. Very friendly lady at the desk. The room needs to be upgraded. The furniture is outdated. The rug was dirty though swept clean. The bathroom has a bath tub. It was clean. The television set need to be changed. It was very far from a flat screen. The location of the hotel is another challenge. The long hours spent on the road is a big disappointment. The hotel have a swimming pool (i did not use it). The food at breakfast was okay. Though choices were few. There is a gym and a room for massage.,September 2018,Traveled with family,,wrote a review Oct 2018,"Lagos, Nigeria","['45 contributions', '12 helpful votes']",30,"['Value bubble_30', 'Rooms bubble_30', 'Service bubble_30']"
Stay,"Worst ever hotel in Nigeria I have visited in last 12 years .... Never ever go there , no customer service , no politeness and super uncourteous staff .... Specialy the man at reception Mr Sunday ... Pathetic hotel , no class what so ever.",May 2018,Traveled on business,,wrote a review May 2018,,"['2 contributions', '2 helpful votes']",10,[]
