Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Terrible. Do not book.,"Would not recommend. Paid for 4 nights and had to leave after the first night. The hotel will not refund my money even after Expedia tried. They will deliver a terrible experience and keep your money if you decide to leave. It doesn’t matter if you have an emergency, they will keep your money which I consider a rip off. I also had a flooded bathroom and partially in the room due to water not draining in the shower and overflowing.",February 2023,Traveled solo,,wrote a review Mar 2023,"Middletown, Connecticut",['1 contribution'],10,[]
UNPROFESSIONAL / HORRIBLE HYGIENE / BAD SERVICE,This hotel is horrible  They only have pretty pictures on display.   Unprofessional Staff Disorganized Management  Horrible old broken rooms  They even inflate bills and try to extort guests.   Don’t book this hotel.  It’s completely useless,February 2022,Traveled on business,,wrote a review Feb 2022,,['1 contribution'],10,[]
Rooms are dated,"Only stayed for a night on transit in the Deluxe room and it’s only a 40% chance that I will go back.   Location was great in a quiet neighbourhood. Pool side with views to the Lagoon is nice and the best part of the hotel.   However, the hotel needs major renovation as the rooms are quite dated. Bedding are clean but in these pandemic times, I feel they should pay more attention to deep cleaning things like the intercom phones, etc.",February 2022,Traveled on business,,wrote a review Feb 2022,"London, United Kingdom","['125 contributions', '73 helpful votes']",30,[]
Solo Female,"As a solo female traveller my safety is my first concern. The area isn't the most desirable so I never felt the urge to leave the hotel to go for a walk, however. The boutique hotel itself I found clean and comfortable and safe.  My first room stank to high heaven of mosquito spray but I was Jet lagged to do anything about it. Twelve hours later at 2 in the morning I stood my ground and demanded a new room,  the men on duty didn't want to upgrade me. The new room was in a wing of the hotel that wasn't being used and was dark and eerie. I again demanded to be moved and was met by the owner who was furious that a guest had been treated so poorly. She apologized and placed my in a suite.  The dinning are was great and the food excellent. The pool area was the best, right by a",August 2020,,,wrote a review Jul 2021,"New York City, New York","['13 contributions', '5 helpful votes']",50,"['Value bubble_50', 'Location bubble_20', 'Service bubble_50']"
A let down,"Visited on business accompanied by my wife. Had stayed here a few times before. Came back after 7 years but the facility appears to have lowered their standards. Front office is not as clean and efficient as expected. The room smelled damp, bathroom had running water but the heater was not working. Room service was below par. Meals were average. Overall,the neighborhood is quiet,the facility in good state. Service quality and employee etiquette needs to be improved.  Will not return until service quality improves.",September 2020,,Rooms in the rear wing with a water view are quieter,wrote a review Sep 2020,"Abuja, Nigeria","['5 contributions', '5 helpful votes']",20,"['Location bubble_30', 'Cleanliness bubble_20', 'Service bubble_30']"
Good place to chill,"Bon Voyage is located in a quiet neighbourhood, off Ajose Adeogun and is a cosy place. Note however this review is with respect to just the pool area as I haven't lodged in the hotel before. The grounds and public areas are neatly kept and the pool area in particular is a nice place to chill and have drinks and / or a good meal",August 2020,Traveled as a couple,,wrote a review Aug 2020,"Lagos, Nigeria","['747 contributions', '117 helpful votes']",30,[]
Horrors,Dirty and always problems.Pool not allowed.Gym not allowed.Staff always ready to make You problems ore lied.The main question Who give to that hotel four star?????in toilets nothing working.AC only blow but not cooling.Fritch also not out of order.Have small boiler but no socket)))And tea from breakfast not from bottled water,July 2020,Traveled solo,,wrote a review Jul 2020,,"['2 contributions', '4 helpful votes']",10,[]
"Dont Even Bother!!! i repeat, dont even bother..","I am going to give as honest a review as i can, but if i were to round it off, my title says it all. I checked in with the hubby on a Sunday, we stayed for about 6 days. First, the room was so small, and the bed was even smaller. Typically, when i check into a hotel, i would do a random tour, just to make sure everything works optimally.   The air-conditioning had been working for about 20 minutes and was not cooling, then i went to the bathroom and the sink didnt have a blocker (meaning if a creepy crawly (found its way into the pipes somehow, we would have been riddled with either roaches, wall ghekos or worse case scenario -  snakes) -  this didnt happen though. I turned on the tap to wash my face and when i was done i noticed that the sink was clogged as the water was not",February 2020,Traveled on business,,wrote a review Feb 2020,"Lagos, Nigeria","['22 contributions', '10 helpful votes']",20,"['Location bubble_40', 'Cleanliness bubble_30', 'Service bubble_30']"
Great Hotel,"Great location, great hotel and nice staff (most but not all). Undergoing a very much needed renovation. I have been coming here for years and will continue to do so. Breakfast is excellent. Much better hotel than many others on VI. Recommend!",November 2019,Traveled on business,,wrote a review Jan 2020,"Columbia, Maryland","['41 contributions', '15 helpful votes']",40,[]
Lagos Level,Room was tidy and clean apart for the strong smell of fresh paint. I went for dinner and I waited 45min time for chicken and white rice. Service at the desk was ok as well as level of security. I suggest the hotel for short staying in Lagos.,September 2019,Traveled on business,,wrote a review Dec 2019,"Moscow, Russia","['45 contributions', '48 helpful votes']",30,[]
Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
This hotel has seen better days,"Another review stated that the outside areas is the best thing this hotel has to offer, and I should have listened...  On the plus side the room was ready when we arrived at 1, and we were able to check in early.   The rooms are runs down and in need for a modernisation. The service was poor. We almost had to beg to get more than half a roll of toilet paper, but luckily we had brought some of our own.   Tre paper thin walls made it possible to hear every single guest passing in and out of their room on a Friday night maligning it impossible to get a good night of sleep.   The breakfast is perhaps ok if you are used to traditional Nigerian food, but had nothing to offer for those who prefer the continental breakfast.   The internet solution was to modern for the hotel to handle.",November 2019,,,wrote a review Nov 2019,"Oslo, Norway","['15 contributions', '8 helpful votes']",20,[]
Worst service experienced @ a hotel,"I purchased a standard room for 2 adults and shows on receipt (hotel.com). Room was suppose to come with bathrobe and slippers but it did not. During check-in they say room is only meant for 1 person and small meaning trying to get more money but receipt said otherwise. Also stating only 1 person can have complimentary breakfast. The room only had one normal sleeping pillow and other huge pillows. Room only came with one towel. There also needs to be some maintenance fixing of the A/C unit dripping water, the electricity sockets coming out from the wall and the sink for cold nozzle was spirting out water from air being in line.That just shows little stingy things and quality of room but this review is mainly based on the type of service presented in this establishment. The",November 2019,,,wrote a review Nov 2019,,"['6 contributions', '2 helpful votes']",10,[]
Not worth it,"Our hotel room was ok for the price but it felt like it was in great need of a renovation soon. The pillows in our room was also very hard.  The service was bad. We had to ask many times before they fixed our problems. They spent many hours getting us another towel (was only 1 in our room). The wifi in our room didn't work, and they didn't manage to give us access to it before 10:00 the next day (the day we were leaving). Breakfast was not good. The hotel has a really nice outdoor area though, where you can chill by the pool. The location of the hotel is also good. However, overall I would not recommend this hotel.",November 2019,,,wrote a review Nov 2019,,"['14 contributions', '8 helpful votes']",20,[]
Clean and Friendly,"I stayed here for almost a week and the staff, food and rooms were perfect compared to other hotels I stayed at.  I felt you get more for your money here, the food was fresh prepared, the prices were fair, the staff is very helpful. The room was always clean, the only complaint is the gym was old and almost in it was broken or outdated.",September 2019,,,wrote a review Sep 2019,"Hicksville, New York","['8 contributions', '1 helpful vote']",50,[]
Great Hotel,"Rooms are great, fod is outstanding and location is awesome!  Staff is very professional but doesn't seem to smile. Didn't feel the Lagocian friendliness that I am used to. Have stayed here before and will stay again. Would be perfect if they were friendlier!",September 2019,,,wrote a review Sep 2019,"Bangkok, Thailand","['19 contributions', '7 helpful votes']",40,[]
Not worth it,"Save your money!!! The grounds of the hotel is about the most decent part of the hotel...nice Afrocentric decor, with a decent sea view; but the rooms are not much to write home about. The decor, bland; sheets, threadbare and even torn; furnishing, poor. It just wasn’t work the money, certainly won’t be coming here again",August 2019,,,wrote a review Aug 2019,"Lagos, Nigeria","['8 contributions', '16 helpful votes']",10,[]
Thread bare and worn out,"Trying to get a restful weekend but woken up by construction in the rooms all around us. Given a stale, dirty room upon checking in and when we complained were moved to a better smelling room with a window facing a wall. When complained about the threadbare and dirty towels were given better newer towels. If better rooms and better towels are available, why are they keeping them away from guests? The staff are accommodating and pleasant but the management must be unwilling to invest in even basic level service. At this room rate, guests should have clean towels, weekend quiet, and non-smelly rooms.  We won't be returning here.",July 2019,,,wrote a review Jul 2019,"Boston, Massachusetts","['7 contributions', '4 helpful votes']",20,[]
Not as good as before,"The room was Okay, but the bathroom was not there was a leakage from the shower the breakfast was poor I didnt use the pool but it was looking good the surrounding area was calm and safe and easy to access",January 2019,,,wrote a review Jan 2019,"Cairo, Egypt","['21 contributions', '6 helpful votes']",30,[]
An average hotel,It's an average hotel with a good restaurant. I stayed for 4 nights in Deluxe room and I had a good experience. The room was spacious and clean. Bed was comfortable. All their staff are pretty friendly and very helpful. Their restaurant is very good the dishes were very tasty.,January 2019,,,wrote a review Jan 2019,"Bengaluru, India","['39 contributions', '29 helpful votes']",30,[]
Great Stay!,Very friendly and helpful staff. The hotel grounds are very well kept with beautiful art work throughout the property. The room was very clean and restocked each day. The on site restaurant has amazing food!,December 2018,,,wrote a review Jan 2019,"Ocala, Florida","['15 contributions', '9 helpful votes']",40,[]
Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
