Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
JARA BEACH RESORT -THE HIDDEN GEM IN LAGOS STATE NIGERIA,"My family and I had an amazing time at Jara Beach Resort, the first of its kind, and unarguably the only all-inclusive, oceanfront getaway in Lagos. The resort is located in Museyo, next to Eleko, in the Lekki axis OF Lagos State Nigeria. It’s the perfect place to escape from the stress of Lagos and enjoy some quality time with nature and yourself. The resort is family-run, and they treat you like one of their own.  .   The resort is cozy and beautiful, with 13 rooms that have everything you need for a comfortable stay. We stayed in the villa at the resort, but I must tell you that all the other rooms are just as amazing as the villa, and you get the same top-notch service all around the resort. The bed was so soft, and the pillows were fluffy. The bathroom was clean and",October 2023,Traveled with family,The traffics there is unpredictable so plan ahead,wrote a review Nov 7,,['2 contributions'],50,"['Value bubble_50', 'Location bubble_50', 'Service bubble_50']"
Worst experience of my whole life!,"So during our stay they burnt down the entire top building of their staff rooms - then all the locals flooded the place for hours and were staring and mocking my ‘foreign’ looking children. The firemen swam & spat in the pool. They made us sleep in the dark until my husband kicked up a fuss to the girl staff who was leaning over and into him! Then weeks later they ‘found’ the money to acquire the entire land next door, developed it and doubled their business! My daughters birthday & our 1st family holiday was completely ruined, management left us and they still billed us and never even gave us the breakfast which we had paid for. They literally don’t care about people only money.",September 2022,Traveled with family,Awful and a dangerous 3 hour drive from the airport. ,wrote a review Aug 2023,,['1 contribution'],10,"['Value bubble_10', 'Location bubble_10', 'Service bubble_10']"
We found Sand & Soul ♥️,"We took a small group of people to enjoy this space, and we (all of us) were not disappointed.  From the reservations to the check in to check out, the staff was always courteous and accommodating.  Thankful for the extra things they add: like the free snacks and little notes when you arrive, and so many other things I can’t even get into, but I will always remember the feeling of being taken care of to the utmost.   Food is great, the family rooms are beautiful ( everyone wanted to stay in the bunk beds even 🥹 )   Swimming, yoga, all the games!   All in all, a great experience from arrival to departure.   Thank you Mark & team.",July 2023,Traveled with friends,Check your maps for best timing to travel to and from the resort 🤗👍🏾,wrote a review Jul 2023,"Lagos, Nigeria",['5 contributions'],50,"['Value bubble_50', 'Location bubble_50', 'Service bubble_50']"
The perfect retreat,A great escape from Lagos madness. Well trained engaging discreet staff. Great choice and quality of food and beverages. Idyllic location with rustic ambience and design. Lots of activities for all tastes but just to chill and watch the sea is enough in such a lovely place. A great experience from arrival to departure.,March 2023,Traveled with friends,,wrote a review Mar 2023,,['1 contribution'],50,"['Value bubble_50', 'Location bubble_50', 'Service bubble_50']"
wonderful resort nearby lagos with all the latest facility,"Jara Beach Resort is a very beautiful resort at Eleko beach. Mr. Mark and his team is very good, we have spent 2 days there, but we can easily spend more days because lots of activity there to do, food also good. location is very beautiful and well maintained by mark team also using renewable energy is a remarkable effort by Jara resort team. we recommend it for everybody in Lagos to visit & enjoy a peaceful and enjoyable stay here outside the Lagos traffic & sound.",January 2023,,Rooms 10 & 11 is very good,wrote a review Feb 2023,"Meerut, India",['8 contributions'],50,"['Rooms bubble_40', 'Location bubble_50', 'Service bubble_50']"
"Wonderful stay, nice food, refreshing ambience and exceptional great staff","I had a short stay there with my close family. The staff are honestly the best thing about Jara Beach resort. They are the best out of any hotel/destination in Nigeria that I have visited so far. They were extremely polite, kind, eager to help and very fast with orders and requests.  The food was amazing; I personally suggest you try the pancakes, the Jollof rice with shrimps in oyster sauce, BBQ wings, as well as the croaker fish in pepper sauce. Lovely mocktails too.  The atmosphere was great and the ocean view was extremely refreshing as the water was clean and had no rubbish in it.   There was an area for volleyball, swimming, snooker, outdoor dining and even painting. We got to take our art home.  And if you're looking for a place to take great photos this is definitely it.",February 2023,,They have a gift shop if you're interested in picking up souvenirs.,wrote a review Feb 2023,"Lagos, Nigeria",[],50,"['Value bubble_50', 'Location bubble_50', 'Service bubble_50']"
Rubbish experience,"Waste of money, and very little value for money paid. It’s annoying writing out this review because I went to Jara with the best intentions. I specifically wanted to reflect and get ready for the new year. While going in, I knew what the power schedule was going to be like. I adjusted my expectations, hoping part of their reasoning for doing this was because the breeze from the ocean helps keep you cool. WRONG. It was incredibly hot during the day and the fan barely helped. I guess what you’re thinking is, “well why don’t you go outside? After all, you’re at a resort.” Oh, we did prefer spending time outside, but guess what? THE FLIES. An entire army of flies, everywhere you turn. You cannot have a drink, snack or even eat in peace without being attacked by an army of flies. A",January 2023,,,wrote a review Jan 2023,,['3 contributions'],10,"['Value bubble_10', 'Service bubble_10', 'Sleep Quality bubble_20']"
Memorable wedding anniversary at Jara!,"Beautiful resort. Outstanding customer care and service culture. Lovely beach. Beautiful and clean cabin - we stayed in the Villa. Food was great - local and continental dishes. Excellent website for booking and picking exotic options of meals, flowers, cake, etc. Checkin and checkout was seamless. We will definitely be back.",December 2022,Traveled as a couple,Book on time...Jara gets sold out easily,wrote a review Jan 2023,,['1 contribution'],50,"['Value bubble_40', 'Location bubble_50', 'Service bubble_50']"
A great place of escape from lagos hustle and bustle.Recommended with my full chest😀,"From the point of entry to our exit from the resort, we received very impressive service from the staffs. The food was amazing, the environment was clean. Though, we stayed for a night,  we had a great time. Would definitely love to go back😁",November 2022,Traveled as a couple,,wrote a review Nov 2022,,[],50,"['Value bubble_50', 'Location bubble_40', 'Service bubble_50']"
Incredible Little Resort,"Awesome service, everyone had a smile on their faces at all times and seemed genuinely happy to serve us. From the communication while we were on our way, to the welcome drinks and snacks, to all the activities packed into the day to entertain us, we had a wonderful time. We will definitely be going back soon.",October 2022,Traveled as a couple,,wrote a review Oct 2022,,[],50,"['Value bubble_50', 'Location bubble_50', 'Service bubble_50']"
Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
