Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
A good Place for Family Relaxation,Located in the serene and quiet location in Ikoyi. We stayed in a two-bedroom suite. It has a big living room. Very clean rooms all en-suite. Very comfortable beds and pillows. Prompt response from staff in sorting out our concerns. The breakfast was modest....choices not much. Good choices for Lunch and dinner. The swimming pool was clean. My boys were thrilled about the pool. The WiFi was however nothing to write home about. We could not use it despite the effort of the staff at fixing it (We relied on the internet from our phones). The air conditioner in the living room and one of the rooms did not work all through our stay (The functional one tend to make our stay comfortable).  We were disappointed when we were told the technical man to fix it will not be available until,June 2019,Traveled with family,,wrote a review Jun 2019,"Lagos, Nigeria","['45 contributions', '12 helpful votes']",40,"['Cleanliness bubble_40', 'Service bubble_50', 'Sleep Quality bubble_50']"
Quiet Safe Clean place surronded by beautiful tropical landsacpe,"I came for two weeks on business. The on-suite room luxury apartments had a large living room with 2 sofas, TV in living & my room with Kitchenette. It is very clean & modern. It was perfect for my long stay. The front desk & waiters are very friendly & attend to your need. My first time in Lagos it felt very safe. The hotel is located in Ikoyi refer as the Beverly hills of Lagos. It is near the France & English Consulate. The price is very fair I took the breakfast & dinner plan. I will most definitely use them again.",March 2019,Traveled on business,room view facing the pool top floor,wrote a review Apr 2019,,['1 contribution'],50,"['Location bubble_50', 'Cleanliness bubble_50', 'Service bubble_50']"
"We always enjoy La Cour Boutique Hotel, Cooper Road, Ikoyi","Our company has always enjoyed the very quiet & cozy La Cour Boutique Hotel at Cooper Road. The service from all staff is so good, the food is excellent & the rooms are spacious & of a quality which is not as common as one would wish in Nigeria. Most of the time guest would meet the management, which is always on hand for a chat & open for suggestions. Some years ago breakfast needed an upgrade, this was mentioned & ever since breakfast has been something I look forward to. Dinners are also good, resident or not, & I recommend the barracuda, which is done very well here. It's cozy surrounding, easy parking & possibility for long enjoyable walks around Ikoyi is just an added feature. For me it's definitely like coming home when I enter La Cour. The conference facilities are also",September 2018,Traveled on business,,wrote a review Sep 2018,"Hojbjerg, Denmark","['77 contributions', '61 helpful votes']",50,[]
Comforable and excellent value,"This is a good hotel for longer term stays or if you want more space, peace and quiet in Ikoyi. Service was pr0mpt, the room was clean (if a little dated) and the pizza ok. The wifi service bounced around somewhat. The rates are competitive so this spot offers excellent value for money.",March 2018,Traveled on business,,wrote a review Mar 2018,"Cape Town Central, South Africa","['190 contributions', '69 helpful votes']",40,[]
A Quiet Place,"La Cour is a very nice place. I like the environment; a serene and very quiet. The food is good, courteous and friendly staff and the suites are good. Though there was an issue with the bathtub (did not drain water) however, it was fixed the following day.",January 2018,Traveled on business,"Poor network reception in the room towards the kitchen. WiFi available, signal strength average.",wrote a review Jan 2018,"Ibadan, Nigeria","['33 contributions', '2 helpful votes']",40,"['Value bubble_40', 'Cleanliness bubble_30', 'Service bubble_40']"
Outstanding,"We all had an amazing time at La Cour Hotel. The staff is really friendly. The food is nice. The hotel is very peaceful and child friendly. The place is very clean too. The manager is on top of things and is always around, mixing with the customers. It makes every stay special. My children had a great time showing off their skills i.e. Rubik cubes or jokes ....We will definitely go back.  My only concern was ""the cat"" but it was well handled whilst I was there. Thank you to the whole team.",July 2017,Traveled with family,,wrote a review Sep 2017,"London, United Kingdom",['9 contributions'],50,[]
I live in the local area and use the hotel's facilities,"I haven't stayed in the hotel but I use the restaurant often. The hotel is clean and tidy, staff are helpful. The foods great and very competitively priced.   We've used it for people coming to town for business and conferences, without complaint.",September 2017,Traveled with friends,,wrote a review Sep 2017,"East Kilbride, United Kingdom","['49 contributions', '12 helpful votes']",40,[]
Not bad,"This hotel is tucked in a residential area and they meet most of the minimum standards. The hotel's signature revolves around drawing its guests close to nature by having a lot of trees in a quadrangle & all around, including the rooms.",August 2017,Traveled on business,,wrote a review Aug 2017,"Lagos, Nigeria","['104 contributions', '54 helpful votes']",40,[]
Cozy Hide away,"There is no signage, it may be  dificult  locating the facility.  Once inside the ambiance changes. It has  significant grenry. It is a boutique hotel. It lacks the razzmatazz of a 5 star hotel howver they pay attention to details.",April 2017,Traveled with friends,,wrote a review Apr 2017,,"['84 contributions', '31 helpful votes']",40,"['Value bubble_50', 'Service bubble_50']"
green hide away,"I stayed there for 3 weeks:  Things I really liked: breakfast (good cereals, lots of fruits, choice of cheese) & pool (clean, big enough for some exercise).  Since the manager has German origins, the influence was very well reflected in the menu card, which had lots of choices. Food was by and large very good. Service team was dedicated.  The music played at the restaurant consisted of a very limited number of 80/90 chart hits from Germany. Hearing them every day was a pain in the ears.  The rooms are big, although not cosy, but I have never seen a cosy room around equatorial Africa. Some minor things to be considered: if you like it quiet, check a room away from the generator. A hot shower was not always possible.  WiFi works most of the time, but is in general not fast. It is",February 2017,Traveled on business,ask for a quiet one in distance to the generators,wrote a review Feb 2017,"Lagos, Nigeria","['98 contributions', '22 helpful votes']",40,"['Rooms bubble_30', 'Cleanliness bubble_30', 'Service bubble_40']"
