Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
"Great experience , lovely hotel","I love the hotel and the cleanliness of the room made by mr ojo the room attendant he is good in detail and I meet the floor supervisor mr izu ,he want to know how my stay have been and to know if I have any discomfort which I told him and enjoying my stay at the hotel. When next am comíng I will visit again",November 2023,Traveled with friends,,wrote a review Today,,['1 contribution'],50,[]
Wonderful experience,"Emeka Ayogu  Highly effective with great communication skills. The best.Emeka has been so wonderful and professional with his job and I recommend his performance with great quality service,I will jeep coming more often",November 2023,Traveled on business,,wrote a review Today,,['1 contribution'],50,[]
Mr,"I have a good stay here. Mr Emeka Ayogu was very nice and professional in his job, ready to render help at any time. He is very hardworking and not lazy at all. I gave kudos to him, he is the best from all the hotels have stayed in the world. More grace for him to do more",November 2023,Traveled on business,,wrote a review Yesterday,,['1 contribution'],50,[]
Super duper experience,"The comfort of the room is top notch. Cleaning and maintenance is quite standardized. I will definitely love to be here anytime. Kudos to the staffs who ensured standard is Maintained, due to their tireless efforts, especially Emeka Ayogu whom I came in contact with",November 2023,Traveled with friends,"The snooker spot is not in order, shouldn't need to buy drink before playing. Supposed to be on...",wrote a review Yesterday,,['1 contribution'],50,"['Value bubble_50', 'Location bubble_50', 'Service bubble_50']"
Good time in Lagos Continental Hotel,"Neat rooms, great sauna, spar & gym with cheerful staffs willing to help at all times. Food quality has improved from last 2 years' visit. I love the idea of soccer view room. Car parking is still a constraint especially when the hotel is full. Recognition to the Front Desk Manager Femi who is always ready to resolve challenges and not in a hurry to say ""not possible"",  and the Room Ward Yusuf Seun for his diligence and care throughout my stay.",November 2023,Traveled on business,Hotel has that welcome ambience. It is neat with cheerful and caring staffs. Parking is a problem...,wrote a review Yesterday,,['1 contribution'],40,"['Value bubble_50', 'Location bubble_50', 'Service bubble_50']"
Fantastic experience,"Mr Olatunde, Jeimo and all of the housekeepers on my floor are beyond wonderful. I’ve felt well looked after and very safe, even as a solo traveler. I’ll be using this hotel for all future trips to Lagos.",November 2023,Traveled solo,,wrote a review Yesterday,,"['8 contributions', '5 helpful votes']",50,[]
Good hotel with great breakfast,"Good hotel with everything you need. The breakfast buffet is very impressive with many local options as well. I also had a hot stone massage with Amina which was very good. The floor manager Solomon was also very professional. Only minus point is the air conditioning, which is often too cold and hard to regulate.",November 2023,Traveled on business,,wrote a review Yesterday,Belgium,['1 contribution'],40,"['Value bubble_40', 'Location bubble_40', 'Service bubble_40']"
Topnotch service / hospitality/ very respectful,"Very welcoming, respectful, topnotch services. His level of hospitality is topnotch. He ensured I was satisfied. I will recommend him over and over again for an award and promotion to a higher level.",November 2023,Traveled on business,,wrote a review Yesterday,,['1 contribution'],50,[]
Great hotel,Great place to be always. Good services. Nice food Good smelling rooms. Nice room and toilets  Nice work by Nathan.  He did clean work in my room. I enjoyed my stay. Nice hotel  The elevator was smooth.,November 2023,Traveled on business,,wrote a review Nov 16,,['1 contribution'],50,[]
It has been good and nice,Emeka Ayogu has been really good in providing comfort and making the room super nice to stay in.  He has a nack in ensuring the guests are comfortable and is always ready to attend to one’s needs based on comfort. I will say he is one of the best I have met in my various stays in the Nigerian hotels.,November 2023,Traveled as a couple,,wrote a review Nov 15,,['1 contribution'],50,[]
Clean rooms and amazing service!,"Emeka Ayogu and his supervisor, Mr Oduntan were excellent. They were very attentive and made us enjoy our stay even more! The room was cleaned every morning, and it was lovely to be welcomed with such friendly face. Thank you to them both!",November 2023,,,wrote a review Nov 14,,['1 contribution'],50,[]
Clean and very comfortable beds,The room was cleaned to a very high standard and the house staff always made sure we were comfortable. Massive shout out to Eneka Ayogu and his supervisor Mr Odubtan were excellent in making sure that the room was cleaned and mopped.,November 2023,,,wrote a review Nov 14,,['1 contribution'],50,[]
Lovely stay,My room was very comfy and tastefully furnished.  I loved  the scenery from the 11th floor. Emeka Ayogu cleaned the room excellently. He had a pleasant manner and is a beacon of good customer service .,November 2023,,,wrote a review Nov 14,,['5 contributions'],40,[]
Thanks to Emeka Ayogu and Kenneth Awuru,"Excellent housekeeping services received from EMEKA Ayogu and Kenneth Awuru. Please Do not relent on your services. Specially commending the sparkling Bathroom, perfect bed making, and General commendable services received",November 2023,,,wrote a review Nov 14,,['1 contribution'],50,[]
Nice hotel,Good service. Nice service provided by Emeka Ayogu. Very professional and helpful. The hotel is nice but the breakfast can improve with more options. The bar is nice and has a good view of the sunset,November 2023,,,wrote a review Nov 13,,['1 contribution'],50,[]
My stay was wonderful at Lagos Continental,"I’m really enjoying my stay here at Lagos Continental hotel,Emeka Ayogu has been perfect and consistent with his job and he is so confident and outstanding,he is always prompt and does his job professionally,I would love to keep coming here",November 2023,,,wrote a review Nov 12,,"['1 contribution', '1 helpful vote']",50,[]
My stay at Lagos Continental hotel VI,"Emeka Ayogu has been excellent and nice with his job, he is so professional and passionate with what he does and it’s very hard to see a wonderful staff like him,he has a good personality which makes him unique and outstanding,hopefully I get to come here more often",November 2023,,,wrote a review Nov 12,,['1 contribution'],50,[]
My nice experience here at Lagos continental,"Emeka Ayogu has been a wonderful and nice guy, he does his work professionally and with good passion,he makes me feel good here and he is so confident and outstanding with his performance,I would love to always come back here",November 2023,,,wrote a review Nov 11,,['1 contribution'],50,[]
my special experience from.a special staff Emeka Ayogu,"Emeka Ayogu he is very humble in discharging duties. and room is always clean. the towels changed,just like  a 5star hotel.i see this hotel different from other 5star hotel i have visited,here the rooms and bathtubs are alway clean both d floor,i would love to keep coming here.",November 2023,,,wrote a review Nov 11,,['1 contribution'],50,[]
Super Continental,"It’s always a humbling pleasure to be back, the experience is forever super special. I say a big thank you to the reservations team especially Chinaza, wow, what are you? An angel or a magician?  you are the best for sorting my reservation. The breakfast is the best, the omelette melts in your mouth, I can’t get enough. I think it’s the best compared to most hotels in V/I. Long story short, a big thank you to Victor and Opeoluwa with the magic wand and welcoming charm, honestly, I always have to return. We have the concierge, thank you innocent, you are the best worker, super helpful and will go an extra mile without a frown. The gym, spa and lobby, I can go on and on. This is the most relaxing, cleanest environment and the staffs are men and women of substance.  Thanks guys,",November 2023,,,wrote a review Nov 10,,['1 contribution'],50,[]
My wonderful stay at Lagos Continental,Emeka ayogu  He  very kind and helpful. He Comes on Time and does his job well. I honestly appreciate thé way he welcomes people and He also smiles when talking to people. So i would like to Come back and meet him again,November 2023,,,wrote a review Nov 8,,['1 contribution'],50,[]
My LCH Lagos Experience,I always have good whenever I’m at LCH. This Particular stay was more interesting and with the assistance of Emeka Ayogu in ensuring that the room and bathroom was always clean and tidy made it easy..,November 2023,,,wrote a review Nov 7,,['1 contribution'],50,[]
Beautiful facility. Very spacious and neatly cleaned,Impressed with the house keeping by Emeka Ayogu. Thins are properly arranged. Nice and friendly house keeper. Ever ready to assist and very adept with his duties. The experience makes me yearn to come back with my whole family to again experience the impressive Lagos Continental Hotel,November 2023,,,wrote a review Nov 7,,['1 contribution'],50,[]
Great Continental Experience,"Nice Space. Great city view. Staffs such as Emeka  Ayogu have been very helpful, ready to assist and give guidance. Polite receptionist like Goodness and the others. Would be ready to come back here.",November 2023,,,wrote a review Nov 6,,['1 contribution'],50,[]
Awesome experience,"Emeka Ayogu has made my stay at Lagos Continental memorable, he always makes my room spick and span and i have not had any complaint since my staying here. I will give kudos to him. I will love to come back here for another stay.",November 2023,,,wrote a review Nov 6,,['1 contribution'],50,[]
