Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Excellent Customer Service,"I had an enjoyable stay over the weekend.  What made it most enjoyable for me was the professionalism,  courtesy and attention to detail exhibited by Happiness at the Front Desk. She exhibited the best traits of what excellent customer service should be. I will definitely go back to stay.",November 2023,Traveled solo,,wrote a review Nov 6,"london, uk","['2 contributions', '1 helpful vote']",50,[]
MY EXPERIENCE AT MARRIOTT LAGOS,"As a regular traveler to various parts of the world, I have considerable experience with my interactions and the services provided by hotels worldwide.  My experience here at Marriott Lagos is second to none. All the staff here are highly committed, hard-working and amazing warm and very civilised  In particular, I appreciate the following staff: NENE at the 5th floor lounge,  Blessing at the reception, Adeola at the front office, lobby host. They are among the best that the hotel industry in Nigeria and anywhere in the world can afford.  They put in the totality of all the skils that they have to let the guests feel that they are home away from home. They are professional,  civilised and wonderful.",September 2023,Traveled on business,,wrote a review Sep 2023,,['4 contributions'],50,[]
Exceptional Pool Bar service!,"I stay often at this hotel for work.  Oscar, in the Pool bar, is one of the most helpful persons I have ever met.  Not only does he remember my name when I return, he remembers my order too!  Oscar is very professional and courteous.  More than once he has gone out of his way to make my experience exceptional.  He is an asset to Marriott and an exemplary employee.",August 2023,Traveled on business,,wrote a review Aug 2023,,['2 contributions'],50,[]
Excellent service,"I had the absolute pleasure of experiencing Mr. Saviour’s exceptional service at Koriko & Co Buffet Restaurant for the second time, and I must say, he truly went above and beyond to create an unforgettable dining experience for my family and me. From the moment we walked in, his warm and genuine welcome set the tone for what turned out to be an evening filled with culinary delight and impeccable service. Mr. Saviour’s attention to detail was remarkable. He anticipated our needs before we even had to ask, ensuring our glasses were always filled and our plates never empty.  What truly stood out was his personalized approach. He remembered our preferences from our previous visit and tailored his service accordingly, making us feel like valued guests.   His genuine enthusiasm for",August 2023,Traveled with family,,wrote a review Aug 2023,"Oakwood  (Montgomery County), Ohio","['2 contributions', '1 helpful vote']",50,[]
Lux Destination for Family Getaway or Staycation,"My family wanted a comfortable hotel for our Easter staycation and settled on the Lagos Marriot.   Right from the reception, which was buzzing with the comings and goings of the local and international clientele, we felt transported to any number of global destinations.   We had wanted 2 rooms with an adjoining door, but were told that these were no longer available because it was a busy period. Instead we got 2 rooms across the hallway from each other. The rooms were simultaneously sophisticated and cosy. The beds were very comfy and the bathroom clean with powerful showerheads, which the children loved.   The children were quite occupied during our stay. The pool was their favourite destination and they went swimming several times each day. This was closely-followed by",April 2023,Traveled with family,,wrote a review Aug 2023,"Lagos, Nigeria","['36 contributions', '67 helpful votes']",40,"['Value bubble_40', 'Location bubble_40', 'Service bubble_40']"
Luxury stat in Lagos,"Our stay at Lagos Marriott Hotel Ikeja was simply outstanding; a fusion of luxury, excellent hospitality, and mouth-watering cuisine. The staff, including Maureen Nwankwo at the front desk, Bridget, Joy, and Helen, showed genuine care and exceeded our expectations with their attentiveness. Porters Kenneth and George ensured smooth transitions, while Peter's superb service at Azure restaurant elevated our dining experiences. This hotel masterfully delivered on all fronts, offering an unmatched stay in Lagos that truly felt like a home away from home. We can't wait to return!",July 2023,Traveled with family,,wrote a review Aug 2023,,"['15 contributions', '8 helpful votes']",50,[]
Amazing Hotel at close proximity to the airport,"The hotel is modern and in a good location at close proximity to the airport. The staff really knows what is meant by “customer service” - all very professional, friendly and willing to help.  My only concern is the daily room rate which I believe is ‘hyped’. Attention to little details need to be improved by housekeeping, in terms of cleaning  - tiles grouts stained, mould signs showing on bathroom ceiling and stains on carpets.  We only had breakfast once. It was quite busy that morning (looks like Nigerians are early birds 😊). A lot of the dishes have run out but staff were amazing in getting more food out quickly. I wanted ‘yam’ which appeared not to be on the menu that morning … the staff quickly made sure I got a special order. The puff puff was ‘divine’!   Thanks to",July 2023,Traveled with family,Make sure you book well in advance to avoid any disappointment (the hotel is quite popular),wrote a review Jul 2023,"Stockton-on-Tees, United Kingdom","['43 contributions', '49 helpful votes']",40,[]
Love This Hotel,"A group of 30+ adults stayed over at the Protea Marriott Ikeja, in Lagos on 6/23 and then again on July 1st, 23 on our way to and from Warri.  Excellent service and wonderful food. The staff from the front desk to the manager provided excellent service.  It was my 2nd time in this hotel, but last year I failed to write a review, this year I decided I will do it immediately upon my return home to the US. I will definitely stay here again.",July 2023,Traveled with friends,,wrote a review Jul 2023,"Charlotte, North Carolina","['12 contributions', '2 helpful votes']",50,"['Value bubble_50', 'Location bubble_50', 'Service bubble_50']"
Poor customer service,"The hotel is located in a good locality, and food at restaurant is also good. But room didn’t have basic toiletries and the response from staff was very poor.  I tried to raise the issue multiple times but didn’t get the right response.  Hope the hotel works on its customer care.",June 2023,Traveled on business,,wrote a review Jun 2023,"Kolkata (Calcutta), India","['220 contributions', '36 helpful votes']",10,[]
Home away from HOME!,"Home away from HOME! The entire staff are quite oriented and awesome. . Right from Mrs Elizabeth, Catherine and the entire workforce, they sure knows the nitty gritty of this hotel management. There is no safety outside GOD but with Marriott you are Safe and Secure.",May 2023,,,wrote a review May 2023,"Frankfurt, Germany","['28 contributions', '2 helpful votes']",40,"['Value bubble_50', 'Location bubble_50', 'Service bubble_50']"
