Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
HORRIBLE EXPERIENCE AND TERRIBLE HOTEL!!!,"This hotel is rubbish. The service is absolutely hopeless. The staff don't care.  No manners.  They are all about money and have no interest in ensuring that the customer is comfortable.  We made it clear we do not want rooms with cigarette smoke smell. They took us to 3 rooms that were not smoke free.  My son and I are allergic to smoke.  When we kept complaining, they made it seem like we were fussy customers.  The food was crap.  We ordered fried chicken. It was so dry and rubbery and tasteless.  I DO NOT recommend this hotel to anyone.  You can hear what's going on next door.  Late at night we could hear their conversation.  I checked out the next day cos I could not stand the thought of being in that space another day.  Horrible experience.",October 2023,Traveled on business,The bell boys are very arrogant and the staff are not friendly.  Beware of some floors that have...,wrote a review Oct 2023,,"['6 contributions', '1 helpful vote']",10,"['Value bubble_10', 'Location bubble_50', 'Service bubble_10']"
Fun,I had a wonderful time with my friends. Cool environment with a lot of foreigner. I didn't believe it that foreigners have a specific location in my Country that looks like Las Vegas in Lagos Nigeria.,June 2022,Traveled with friends,,wrote a review Jun 2022,,"['1 contribution', '1 helpful vote']",50,[]
Worst rooms ever,"Arrived tonight at the oriental hotel Victoria Island and entered my room 1045. My my my what a complete let down!!! Absolutely disgusting. Dirty curtains, the shower room an eyesore. Two cocroaches prancing about. The pillow case had holes in them .Bare room. Dated decor. Broken furnitures. Leaking roof. The bedding used to be white I think but now dull ugly  off white. The decor dated and murky... My goodness the list is endless. Shame on the management. Complete waste of money.",June 2022,Traveled with family,,wrote a review Jun 2022,"London, United Kingdom",['2 contributions'],10,[]
Unimpressive,"For a hotel at this price range, you should expect something better. The front desk was very unwelcoming, no smile, not at all helpful. The room although big, but empty, just the bed and a table and chair in one corner. The bathroom was very clean and the towels (but never complete) was always changed on a daily basis and the room made even though I had the sign do not disturb on! They has complimentary drinks in the fridge which included beer and soft drinks all free.  Breakfast was your usual typical Nigerian food nothing to write about. The dinning room was way at the back of the hotel, if it rains you will have problems accessing it. The table cloth were all old and cheap quality for this standard, very disappointing.  Had a room facing the lagoon, nice view. Overall I score",February 2020,Traveled on business,,wrote a review Mar 2020,"Abuja, Nigeria","['215 contributions', '46 helpful votes']",30,[]
Exceeded our expectations,"My wife and I spent this year's valentines weekend here as part of what has become a little tradition for us. We would say while not mind blowing, it certainly was decent value for money. Having Oriki spa within the hotel is a huge plus too. The location is also excellent. Furniture is a little outdated but the food is good and well priced. The breakfast options are not very widespread and I'd suggest you get down there early enough or risk having even fewer options on your hands. Overall I'd say it's a decent stay. Don't expect heaven on earth and you won't be disappointed.",February 2020,Traveled as a couple,,wrote a review Mar 2020,,"['4 contributions', '10 helpful votes']",40,[]
Awful Okiri spa !!!,"Made an appointment on the phone for Massage / facial / reflexology - confirmed time As 1330 - had a very poor ceaser Salad by the small pool , dated and old Furniture slow Service not pleasurable   Went to the spa where I was told The therapist had not turned up so I would hVe to wait ! The place was nothing like the on line pictures plastic plants broken arch surrounds - nylon looking bed covers really low Rate and tacky - I left really cross As such poor attitude and service - they had my number they could have called and saved me a wasted journey - would never go back and would never stay there awful experience   Dead plants just horrible",February 2020,Traveled solo,,wrote a review Feb 2020,"Mazan, France","['52 contributions', '20 helpful votes']",10,[]
Staff running scams,"Hotel staff are running scams   Called the hotel number listed on google, got through to the hotel, but then they cut off halfway through the call and I received a Whatsapp message straightaway picking up on the booking, they knew my name etc.  Via WhatsApp was told the most efficient way for a foreigner to reserve was via paypal. Did this, left a deposit, only for it to emerge that this did not secure a room.  Feeling very stupid and am sure many would be more aware, but the lesson for me is that it’s impossible to trust the hotel staff picking up the phone.  Am sure there are many people working honestly at hotel oriental but sadly I was dealt with by someone who isn’t.",January 2020,Traveled solo,,wrote a review Jan 2020,,"['17 contributions', '2 helpful votes']",10,[]
Lagos Oriental hotel,"the environment is always Comfortable and calm. The only thing that remains is to perfect staff training and development of the staffing team. Automatically, I would like to see more of African settings and view to have a feeling that you are in African soil",January 2020,Traveled with friends,,wrote a review Jan 2020,"Ikoyi, Nigeria",['2 contributions'],50,[]
The Emmanuel's table,"If there is a place in Lagos State where you want to keep the memories of your events fresh and new, them it's ""Lagos Oriental hotel"".  The hall is well decorated and design for all kinds of event and one of its attractions is the lagoon window view...  You can view the lagoon, ships and the sun right from you sitting position and believe me, the sight is so beautiful... 💯😍",December 2019,Traveled on business,,wrote a review Jan 2020,"Lagos, Nigeria",['3 contributions'],50,[]
Few Days Stay.,"Was very impressed with this hotel. The room was comfortable and spacious with sprawling views of the city. I absolutely loved breakfast! It was my favorite part of our brief stay  There was lots of variety, with both Nigerian and intercontinental dishes on offer. Room service though was extremely disappointing. This is the sole reason why I won't give this hotel a 5 star rating, but other than that, this is a great establishment, and I would definitely suggest it to anyone when in Lagos.",January 2019,Traveled as a couple,,wrote a review Nov 2019,Nigeria,"['3686 contributions', '237 helpful votes']",40,[]
Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Lagos international maritime week,The conference hall is nice with a water view flowing from the sea to lagos lagoon. Has a large parking space both inside the complex and outside. Security is topnotch with decent staff ready to help.,September 2019,,,wrote a review Oct 2019,"Lagos, Nigeria",['1 contribution'],40,[]
Dog,"I visited this hotel with the hope of staying the night . I was shown 2 rooms , while leaving the second room we bumped into a young man with a DOG!. The dog barked and the man commented that it was excited as it didn’t see people much . I was astonished and extremely disappointed. I later found out that the young man was the GM . I booked into Eko hotel instead",October 2019,,,wrote a review Oct 2019,,"['16 contributions', '27 helpful votes']",10,[]
"Run away, run away","If you have been to China in the early 80's, you will know what I am talking about: no soul, big empty corridors with a lot of mould in the carpets, huge rooms with no furniture, except a bed and a chair from the good old communist days.  Bathrooms with cockroaches, plugs and bare wires hanging from the wall (IN A BATHROOM).  As one reviewer put it, it is like sleeping in a huge empty office.  Do not trust the pictures, as all the furniture used to make it look good is is actually locked in function rooms. I am not even mentioning the noise from the main street that goes on the whole night. After one night, we moved to a cheaper place that actually a real 4 star hotel.",September 2019,,,wrote a review Sep 2019,"Johannesburg, South Africa","['25 contributions', '19 helpful votes']",10,[]
Great View,"Oriental hotel is a great place to stay in lagos. With a great view of the Lekki expressway and wayer view from behind, it makes you feel the ambience of the Lagos metropolis. Easy to access and lovely workforce",September 2018,,,wrote a review Aug 2019,"Nairobi, Kenya","['134 contributions', '6 helpful votes']",50,[]
NOT IMPRESSED,"Oriental Hotel Lagos is one of the top class hotel in Nigeria, but the experience and service quality 10th of July 2019 was a let down.  Our team was there for a business at lunch their restaurant also meeting with some lawyers at the ground floor lobby.  On entering the restaurant no one welcomed us, we picked menu our self, after 10 min we finally got someone to wait our table. The staff was grumpy, no smile, just came and took orders and went away. we have to wave whenever we need something. I wonder if this restaurant has a manager to watch what staff are really doing. After finishing with our meal one of our team member decided to pack some food for takeaway because he joined late for lunch.  We asked for the bill and i noticed we were charged for takeaway pack without",June 2019,,,wrote a review Jul 2019,"Dubai, United Arab Emirates","['51 contributions', '27 helpful votes']",10,[]
Bland but real value for money,"This hotel offers no frills, no service and no smiles. Front desk is grumpy. Only the gents that open the doors offer a semi-smile and a greeting. The exception was one waiter in the breakfast room. That said, my room was large (very large) and the river view most pleasant bot day an night. Avoid the noisy road facing rooms. Rooms are clean and so is the linen although towels are a lottery (always clean) but seldom a full set. It's nice to have access to a bath and separate shower. A nice touch is the constantly refreshed complimemtary bar fridge which offers beer and soft  drinks.",June 2019,,,wrote a review Jul 2019,"Portimao, Portugal","['526 contributions', '177 helpful votes']",30,[]
Flummoxed,"So this was a last minute choice (special recognition goes to Mr. Jonathan who gave away our apartment, turned off his phone and left us stranded in Lagos on New Year’s Eve...but I digress) I understand that there is a hierarchy when it comes to hotel rooms. HOWEVER ... “Standard” does not mean “disgusting” which was exactly what our room was.  Direct quote from a concerned family member upon seeing the room was “O dirty die sha”   I feel as though there should be a level of cleanliness/ standard maintained regardless of the “tier” or type of room (too much to ask?) Called for the room to be cleaned, and my guy showed up with a swifter DUSTER (deadass). We sent him back down to get... anything else. Luckily I packed my sheets and pillowcases! Safe to say we checked out as soon",December 2018,,,wrote a review Feb 2019,"Abuja, Nigeria","['25 contributions', '3 helpful votes']",20,[]
Little Value for Money,"It's acceptable - no question. However, for the price one can expect a much higher standard and a more professional service. Lagos may be pricey but I would definitely recommend looking for other options; there are several hotels in the area.",December 2018,,,wrote a review Dec 2018,"Nairobi, Kenya","['14 contributions', '20 helpful votes']",20,[]
BETTER SERVICES BUT NOT THE BEST,"I have only visited the hotel once, it never came to my mind for once and it has never been in my bucket list of hotels to visit because it is a stone throw from Victoria Island so i prefer to stay or tour around Victoria Island than cross over to the west of the island. Well, i will still recommend the hotel to people who intends going there for fun and to have a nice time out. What i found most interesting about the hotel is that the scenic view is pleasing and i had a nice time on my only official visit to the hotel. Better services but still not the best in the country",December 2017,,,wrote a review Oct 2018,"Lagos, Nigeria","['16 contributions', '10 helpful votes']",40,[]
Excellent,"My friends and family stayed at The Oriental for my birthday week. The rooms were spacious and comfortable, the staff were friendly and helpful. I had my birthday dinner for 40 guests in the Chinese Resteraunt , food and service was excellent!",September 2018,,,wrote a review Oct 2018,,['5 contributions'],50,[]
Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Still good value.,The rooms are big and housekeeping is ok. The free mini bar is such a value-add. Room service food is good but a bit costly. Breakfast offers very little for a 'Westerner' because it is targeted at the Nigerian and Chinese guests who are the vast majority. Front desk service is disorganised and really bad. Be patient and forgiving. It's better than getting  frustrated. PS: There is still no signage anywhere that guides the first time guest to the breakfast room which is on the forth floor if a separate building.,July 2018,,,wrote a review Jul 2018,"Portimao, Portugal","['526 contributions', '177 helpful votes']",30,[]
TERRIBLE TERRIBLE & DISAPPOINTING,"First I want to talk about how beautiful the hotel looks like from the road, I have always wanted to stay at oriental Hotel. The disappointment started from the moment I entered I was so shocked at all the empty spaces and how old it looked inside. My suite was so big but with lots of empty spaces which made it lose its beauty, my room had a bad odor which I did not understand and the wardrobe had a funny smell almost like the smell of pee. The Furniture is old and the tv had bad picture with very few channels to watch.  On my first night I ate from the Chinese restaurant, the food was OK but the customer service was bad. The second night I ate from the Japanese restaurant, food was not nice. When I got back to My room I called room service and order a chicken sandwich with",July 2018,,,wrote a review Jul 2018,"Lagos, Nigeria","['17 contributions', '4 helpful votes']",10,[]
Sunday Buffet,"Wide variety of meal to choose from; everyone was really impressed with the choices available as we as the quality. It was made almost as delicious as a la carte. Would definitely recommend for a large group of people.  And the staff were completely helpful and civil, something you don’t get in most establishments.",June 2018,,,wrote a review Jun 2018,"Lagos, Nigeria","['46 contributions', '10 helpful votes']",40,[]
Convenient business hotel with large rooms,"I stayed at the Oriental Hotel for a week of business meetings and to attend a conference in the hotel. The room was large and clean with excellent views over the water. The conference facilities we're also very good and the staff attentive. General F&B is a little basic, but the restaurants are good.",November 2017,,,wrote a review Jun 2018,"Esher, United Kingdom","['13 contributions', '20 helpful votes']",40,[]
Worst hotel ever,"The hotel is very dirty, one of the dirtiest hotels I have ever been too in a long time. They do not clean their stair way and there were cockroaches in my room! Their room supplies are very poor and I had to call for towels. The hotel is a smoking hotel, so right from the reception  that is the smell that permeates the building and this gets worse on all the floors. Their rugs were extremely stained and dirty, reminiscent of government run hotels. They served us stale fruits washed with salt so it was not a mistake. Their pastries were also stale. They however have lots of Nigeria dishes available for breakfast which I was weary of eating because I suspected they were to freshly cooked. Their pool is lovely but there a&e no lounge chairs! All their gym equipment were broken",April 2018,,,wrote a review May 2018,,"['2 contributions', '2 helpful votes']",10,[]
"Lovely hotel, staff and great location","If you find yourself in Lagos, staying at the Oriental Hotel would be a good option. The hotel is in Lekki and is right on the main road (although once you are inside you could be worlds away from the hustle and bustle of the streets below). You will find check in and out smooth because the staff are both very helpful and friendly. Rooms are spacious and have all necessary amenities. The hotel boasts a lovely swimming pool which is free for guests to use. Meals in the hotel are nice and plenty to choose from. I have stayed in this hotel numerous times and will continue to visit in the future.",January 2018,,,wrote a review May 2018,"Portsmouth, United Kingdom","['25 contributions', '16 helpful votes']",50,[]
Dissapointing. Avoid,"Spent 3 days for work. Looks good from the outside. Bu this is deceptive.   1). Corridor carpet is filthy. Seriously the carpet looks like it holds a hundred diseases.   2). Reception made me wait for 1 extra hour beyond check-in time because non-smoking rooms which I requested ahead of time, were not yet available. When I finally got checked in, the room was smoking    3). Bed is comfortable. Room is spacious with lots of light. Water view is nice. But room is bare an devoid of any attempt at interior decoration. It's like sleeping in an office.   4). Card keys stop working each day I return. Have to wait 30minutes for someone to get a replacement. Reception is a long walk away.   5). Breakfast buffet was okay. Good. But the hot food was cold.   6). Only 3 (out of 10) floors",April 2018,,,wrote a review Apr 2018,"Dubai, United Arab Emirates","['15 contributions', '2 helpful votes']",10,[]
A Top Rank Hotel,Lagos Oriental belongs in the top league in every respect. Booking and check in were smooth because of the customer friendly staff. The food is very good and can be prepared to suit your need and test. Breakfast is served a long way away from the rooms which affords guests the opportunity to engage in early morning exercise before the first meal of the day. When I wanted a taxi to the airport after my engagements in Lagos it was ready in a jiffy and I reached the airport in good time in spite of the road construction taking place around Oshodi. I enjoyed Oriental and will not only visit again but recommend it to my friends and colleagues,March 2018,,,wrote a review Apr 2018,"Yola, Nigeria","['32 contributions', '12 helpful votes']",40,[]
