Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Excellent service,This hotel is exceptional. The level of service far exceeds most of the hotel I have stayed in the United States. It is a well secured hotel because of the private airport hanger that is attached to it. Henrietta at the front desk really went out of her way to ensure that our stay was well beyond expectations. I highly recommend this hotel.,November 2023,Traveled as a couple,You can arrange a car and driver through the hotel. ,wrote a review Nov 7,"Fort Wayne, Indiana","['2 contributions', '2 helpful votes']",50,"['Value bubble_50', 'Location bubble_50', 'Service bubble_50']"
Best staycation in Nigeria,"It was my first stay in this Amazing property and I must say they deserve a 7Star rating as it is the best ever in Nigeria. Starting from the very moment you arrive at the hotel, the staffs are very friendly and welcoming. Then to the receptionist who makes Check-in so stress free, fast,friendly and interactive in the most professional way . Thank you to Grace the supervisor and her Team, the amazing young man by the pool Mr Yakubu, Ms Gracial at the welcome desk and the two tall men who helped with the luggage and also one time help with check-in due to busy operation which shows the level of Teamwork and flexibility in this property. The breakfast buffet spread is amazing with lots of mouth watering selections of beautiful and tasty dishes and staffs were very welcoming and",August 2022,Traveled as a couple,,wrote a review Aug 2022,"Abu Samra, Qatar",['9 contributions'],50,[]
Amazing stay,"Amazing stay here with my family. Food was amazing room was amazing and my time here was unforgettable. (BONUS THERE WAS NOT A SINGLE MOSQUITO!!) happy days, I would highly recommend anyone that is looking to stay in a respectable quiet hotel",October 2023,,,wrote a review Nov 3,,"['1 contribution', '1 helpful vote']",50,"['Value bubble_50', 'Rooms bubble_50', 'Location bubble_50', 'Cleanliness bubble_50', 'Service bubble_50', 'Sleep Quality bubble_50']"
Legend by Hilton,"The property is in very close proximity to the airport which is fantastic. I met Henrietta at the front desk and she was fantastic. Henrietta was very welcoming, professional and efficient. She helped get us in ASAP knowing it was a journey from NY and she sent supplies and snacks up. The room size is   very fair and everything is clean to Hilton standard. I wish there was an executive lounge for diamond members. I just think the breakfast buffet should be less skimpy. I hope they get another property closer to town.",October 2023,Traveled with family,,wrote a review Nov 2,,"['4 contributions', '1 helpful vote']",40,[]
"Great Hotel , Great Staff","The room is well maintained and kept to the highest standard. The staff are friendly and professional. The facilities are in excellent condition, including a gym and swimming pool. It's a great place to stay while in Lagos.",October 2023,Traveled on business,,wrote a review Nov 2,,['2 contributions'],40,"['Value bubble_40', 'Location bubble_40', 'Service bubble_40']"
Always a pleasure,"From the welcome received at the front desk, to the well maintained rooms - that always feel luxurious - this is number one on my list of Lagos hotels. The staff are all very friendly and professional - I always feel like I’m coming back home 😊",October 2023,Traveled solo,,wrote a review Oct 2023,,['3 contributions'],50,"['Value bubble_40', 'Location bubble_40', 'Service bubble_50']"
Cleanliness and safety,"The staff were professional and the room is very cozy. The view from the room is amazing. Lovely experience, I will recommend this place to anyone to visit. We are happy to come back and stay here again.",October 2023,,,wrote a review Oct 2023,,"['1 contribution', '1 helpful vote']",50,"['Value bubble_40', 'Rooms bubble_50', 'Location bubble_50', 'Cleanliness bubble_50', 'Service bubble_40', 'Sleep Quality bubble_40']"
Exquisite——,"So we went to the restaurant for the first time and it happens to be their buffet Sunday, first of all the AMBIENCE, SECOND TO NONE, so as a Lagos boy I tried the egusi and semo first…OMmmmmmoooooo the assorted in the soup spoken in diverse tongues … I love the place …",October 2023,Traveled as a couple,,wrote a review Oct 2023,,['1 contribution'],50,[]
Excellent hotel,"Excellent hotel, with a rare experience anywhere in the world. The location of the hotel is super, great view of the airport and private jet hanger. The staff members are wonderful, the meals are great, and the rooms are spacious.",September 2023,Traveled on business,,wrote a review Sep 2023,,['1 contribution'],50,"['Value bubble_50', 'Rooms bubble_50', 'Location bubble_50', 'Cleanliness bubble_50', 'Service bubble_50', 'Sleep Quality bubble_50']"
"Geraldine was always there to take our orders , giving us a good reception,our gist partner.","The waiter is friendly and welcoming. Geraldine customer care service is memorable.The care and attention are second to none.The serene environment,even with the environment,the soundproof is really appreciated.",August 2023,Traveled with family,,wrote a review Aug 2023,,['1 contribution'],50,[]
