Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
IMPRESSED,"I was very impressed with Leola. I searched for top-rated hotels in Ikeja area and it came up. The name did not impress me, but the pictures did. Then what I met there impressed me further.  The place is neat. Bathroom is clean. The only minus in my shower is the white silicone at the corners of the shower. It could have been done better, or use grey cement for perfection. I like the comfort of the place.",July 2022,Traveled solo,,wrote a review Jul 2022,"Ibadan, Nigeria","['39 contributions', '37 helpful votes']",50,[]
Nice Boutique Hotel,"I was pleasantly surprised with the positive staff attitude, amenities available in the hotel and tasty meals all available at a fantastic rate. I was able to check early as t no extra cost. Rooms are large enough and location is very quiet. I will stay again. Breakfast was very good.",January 2022,Traveled on business,,wrote a review Mar 2022,"Lagos, Nigeria","['141 contributions', '83 helpful votes']",40,[]
"Great hotel, with awesome staff","Had an amazing stay. Everything worked great. Mini pool and mini gym to complement it. Breakfast was tasty with a decent variety. Although I had a nasty experience where I ordered for dinner, a spaghetti bolognese meal, where the meat was rotten :-( any cook can tell if food has gone bad but for it to have been served to me, made me question the food in store and played it safe by eating elsewhere after that experience. Aside that Wifi worked well. The frequent power cuts were not felt as a generator kicked in a few seconds after the mains went off. Overall I Enjoyed my stay but very disturbed by the food experience. May be a one-off but just be mindful",December 2019,Traveled on business,,wrote a review Dec 2019,"Lome, Togo","['3 contributions', '1 helpful vote']",40,"['Value bubble_40', 'Cleanliness bubble_40', 'Service bubble_50']"
Good place,"Friendly staff, clean room, ok beds and delicate bathroom. Small but nice pool area. Restaurant ok but breakfast bare minimum. Security guards outside and inside and guarded gate. Air con in meeting room was very variable but ok in the sleeping room. I think it depend on where the room is in the air con loop.",November 2019,Traveled on business,,wrote a review Nov 2019,Sandvika,"['188 contributions', '91 helpful votes']",40,[]
Very comfortable stay,"Very good hotel stuff and good behaviour. Room size is quite good and food is excellent!  Relatively small pool but cozy environment.  There is parking lot available, good location, gym is also well maintained.",October 2019,Traveled as a couple,,wrote a review Oct 2019,Nigeria,"['9 contributions', '2 helpful votes']",40,[]
Breakfast pastries tasted like they were made just for you,"Let me start by raving about the breakfast pastries (croissant, banana bread, scone and pain aux raisins). All wonderfully delicate and fresh. They seemed to have been prepared by someone's mom who also happens to be an expert chef, wanting to send her children into the day with a special ""I love you"".  The art in the reception area created a great environment. Definitely worthwhile to linger and admire.  The rooms were spacious and comfortable. Lots of attention to detail and they made you feel very welcome.",October 2019,,,wrote a review Oct 2019,"Antananarivo, Madagascar","['25 contributions', '28 helpful votes']",50,"['Cleanliness bubble_50', 'Service bubble_50', 'Sleep Quality bubble_50']"
"Superb Accommodation in Ikeja, Lagos","This hotel exceeded all my expectations. I have been coming to Lagos for 15 years, and for the first time felt ""at Home""! Great spacious rooms, excellent Wi-Fi, great TV Channels, awesome food. Loved the nice big towels too! And there is an ATM on the premises, which is most appreciated, and I no longer have to stand in a queue in the heat and sun  to draw money.",September 2019,Traveled on business,,wrote a review Sep 2019,"Cape Town, South Africa","['56 contributions', '32 helpful votes']",50,"['Location bubble_50', 'Cleanliness bubble_50', 'Service bubble_50']"
Very comfortable accommodation in Lagos,"I've stayed here 4 times now and very convenient for the airport. Room are spacious with excellent, quality bathrooms and all fittings work perfectly. Food and beverage very good especially the breakfast. Service very good and friendly. Very secure",September 2019,Traveled on business,Overlooking pool,wrote a review Sep 2019,"Cuckfield, United Kingdom","['308 contributions', '169 helpful votes']",50,"['Value bubble_50', 'Rooms bubble_50', 'Service bubble_50']"
Business Trip to Lagos,"I know this hotel from the old days, as it used to be a Protea Hotel. After 5 years I went back. The rooms are renovated. Some staff is still the same. The hotel is very nice, small and the new GM Jacques is doing a good job. The food is still good. We gave some inputs to enlarge the menu. I would like to see a Chenin Blanc in the wine list. We can recommend the hotel and will come back. It is a perfect place wot work out in Ikeja.",September 2019,Traveled on business,,wrote a review Sep 2019,"Volketswil, Switzerland","['157 contributions', '52 helpful votes']",50,"['Rooms bubble_50', 'Service bubble_40', 'Sleep Quality bubble_40']"
"Best Internet I have encountered in Nigeria, Amazing Food and Guaranteed good night sleep","L'eola impresses me more everytime I spend time here. The 3 nights spent here did not serve up any dull moments. The internet is so fast and reliable, I just settle in and watch my series on Netflix. The food options are also impressive and leave me looking forward to dinner time. As for sleep, the pillows are super soft and the bed so comfortable. The only concern I had was with the water pressure up on the second floor, and I like the speed with which the maintenance guy was dispatched to come and fix it. It didn't flow that much faster but at least they get points for efforts",July 2019,Traveled with friends,,wrote a review Jul 2019,"Port Harcourt, Nigeria","['724 contributions', '26 helpful votes']",40,[]
