Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Movenpick used to be Southern Sun,"Until recently, the Movenpick Lagos was known as a Southern Sun hotel because my airport pickup driver said he was from southern sun and even the GPS can switch name to southern sun when you are searching for Movenpick Lagos. The wifi and power supply are not great but this is the suppliers fault and the hotel is on the case. The hotel does have a generator that reliably kicks in within 30 seconds. Food is good. Gymnasium is good and there is a hotel pool.",November 2023,Traveled on business,Hotel used to be known as Southern Sun. Avoid room at front of hotel facing noisy main road.,wrote a review Nov 7,"Kuala Lumpur, Malaysia","['2285 contributions', '710 helpful votes']",30,[]
Good experience but major works required,"Amazing customer service but the hotel is quite old and doesn’t appear to be well maintained. Unfortunately, my room had carpet with was dirty and had a mouldy smell. The bathroom on the other hand was clean and spotless. They also have the most amazing Crocker peppersoup which I ordered three days in a row.",October 2023,Traveled on business,,wrote a review Oct 2023,,['5 contributions'],40,[]
Splendid experience,"Absolutely terrific dinner!   My first sea food dinner was really a beautiful experience and so I was excited to relish it once again  - there was a wide variety of delicious options to choose from.   Starting from the delicious Cat fish Pepper soup to a super gigantic grilled whole fish, the giant sized live on the grill prawns, calamari and white fish as well. There were even some mini pizzas to accompany it if you’re a pizza lover. They also had a great selection of sides like nutty rice, potatoes, rice, roast plantain on the grill, fresh veggies and salad to mention a few.  The Staff members who attended to me were extremely attentive and helpful. I had a swell time from 7 pm that I arrived, eating everything my stomach could take in. Oh by the way, did I forget to mention",August 2023,Traveled solo,,wrote a review Sep 2023,,['1 contribution'],50,[]
"Honoured,  blessed and Super Fabulous 👌",I have stayed at the Souther Sun for one year and 6 months.. I experienced the move over to Movenpick Hotel and I can honestly say the transition was amazing. They move from strength to strength.  The team under Miss Ubong marketing guidance was just phenomenal.,October 2022,Traveled on business,I have experience only the Best... the team n is amazing an a blessing at all times. I still...,wrote a review Sep 2023,"Paarl, South Africa","['3 contributions', '1 helpful vote']",50,"['Value bubble_50', 'Location bubble_50', 'Service bubble_50']"
Top notch!,"Clean, descent and very friendly service and top quality staff, always available to deliver.  Great spot for me anytime. Family and children friendly. Good food, clean sheet, nice seat out and quality space. I recommend anytime.",July 2023,Traveled with family,,wrote a review Sep 2023,"Lagos, Nigeria",['2 contributions'],50,[]
A Brief Stay.,"I've always wanted to stay at this particular hotel for a good many number of years. The imposing building on Alfred Rewane Road was a structure I couldn't help but notice on numerous trips to Lagos. Besides, it's right next door to one of my all time favorite Chinese Restaurants in Nigeria. This is when it was known as Southern Sun. Was surprised to see that this enduring South African Hotel Chain had 'swapped' names, and it now a part of the Swiss Mövenpick Hotel Group. Nevertheless, it would still remain on my bucket list of Lagos hotels to stay in. This year I finally got my wish and  booked a one day stay with my 2 teenage daughters on a short business trip. As I 'customarily' do, I'll divide this review into the positives and negatives based on my/our experience(s).",August 2023,Traveled with family,Perhaps the rooms on the lower floor would have aged less? Ours on the 9th floor needs...,wrote a review Sep 2023,Nigeria,"['3686 contributions', '237 helpful votes']",30,[]
Great example of  excellent hospitality,"This is the fourth time myself and my family have stayed at the Movenpick hotel Ikoyi.  Upon arrival you are always made to feel extremely welcome by the  management and all the hotel staff, The reception staff are very friendly and professional and so very helpful to answer any questions you might have. The rooms are to a high standard very clean and comfortable and have everything you need for a long or short stay.  The restaurant is excellent with so much choice of high quality products whether you order from the carvery or the main menu you won't be disappointed. We are aways very pleased with our stay and would like to say a  BIG THANKS to the management and all the staff who always make our stay a great experience. Great example of excellent hospitality.",August 2023,Traveled with family,,wrote a review Aug 2023,,['1 contribution'],50,[]
A Pleasant Experience,"The environment is a cosy and beautiful one and the services, a top notch, very interesting and satisfied with the services. The buffet I would never forget in a hurry. The staff are very cool and coordinated in their deliverables. Quite a pleasant place to be with family and friends.",June 2023,Traveled with friends,A trying will convince u,wrote a review Jul 2023,,"['1 contribution', '1 helpful vote']",50,"['Value bubble_50', 'Location bubble_50', 'Service bubble_50']"
A Well Rested Weekend,"Ambience is welcoming and very soothing. The rooms are very spacious and the bed provided comfort as it should be sparkling white and well laid. The calmness and peace can not be overstated as everything I needed was a call away by dialing 9. I mean from kitchen,housekeeping, chefs I just had to pass the information my request would be serviced promptly.  The food was also beautiful and nice presented. Indeed the buffet was buffeting..I was spoit for choice from continental to African to seafood .   I look forward to another weekend and thanks Ms.Ubong you are amazing  and a big deal.",July 2023,Traveled as a couple,,wrote a review Jul 2023,"Lagos, Nigeria","['2 contributions', '1 helpful vote']",50,[]
Friendly staff and cozy ambience. Starting from the car park area to the concierge /door man. The toilet area is cleaned,Top notch 👌🏽  Will recommend to visitor and loved ones always. The food is world class standard and prepare on time. The service matches the cost spent. The ambience especially the public areas are well maintained. Joan,June 2023,Traveled solo,,wrote a review Jul 2023,,['1 contribution'],50,"['Value bubble_40', 'Location bubble_50', 'Service bubble_40']"
