Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Food be banging and place be purring🥱😍😍,The place is filled with beautiful aesthetics. I loved how I free They made me feel and I must say the customer service is on a hundred percent. Place is very neat and free of insects. I love love every bit of my experience here🥹.,November 2023,Traveled with family,,wrote a review Nov 12,,['1 contribution'],50,"['Value bubble_50', 'Location bubble_50', 'Service bubble_50']"
Ssssssssh. Don't tell anyone.,Nordic Hotel is great. Good location in Lagos. Lovely staff - really helpful and friendly. New build from a tried and tested operator in Nigeria. So much better than what else is on offer.  Everything works. Shhhhh. Don't tell anyone!,November 2021,Traveled on business,,wrote a review Nov 2021,,"['2 contributions', '9 helpful votes']",50,[]
Highly professional and safe place!,"This is best stay for me in 2023 in that location. Staff outstanding, special thanks to the manager Agnes. The room is spacious and food is very tasty. Quiet and safe place to be.. I would recommend Nordic as a family friendly place. Worth the money!",October 2023,Traveled solo,You will never be disappointed!,wrote a review Oct 2023,"Oulu, Finland",['1 contribution'],50,"['Value bubble_50', 'Location bubble_50', 'Service bubble_50']"
Clean and comfortable stay.,"Comfortable hotel. Very clean, safe and secure. The rooms were always cleaned by the cleaners after leaving the room for the day. Soaps and cleansing products regularly refilled with really comfortable beds.",September 2023,Traveled on business,,wrote a review Sep 2023,,"['2 contributions', '3 helpful votes']",50,"['Value bubble_50', 'Location bubble_50', 'Service bubble_50']"
What is the secret?,"This hotel, on Tripadvisor, has got so far only good reviews. Let us first clear any suspicion of cheating. Most reviews showed good and sincere-looking reasons for the enthusiasm.  In this human-sized hotel in the middle of Lagos, a certain idea of design can strike at first. There has been some hard thinking from the start. Lightning is ensured in small corners everywhere, convenient to have private conversations. Bookshelves dominate the reception areas, and the books are chosen for good reasons. The works of Andersen (of 'Ugly Duckling' fame) and Kierkegaard (a Danish theologian and philosopher, into Christian love and single indivudals, for short) are well represented. There are also both a Kierkegaard and an Andersen suites, for good measure. Effectively, 'we design",August 2023,Traveled on business,,wrote a review Aug 2023,"London, United Kingdom","['592 contributions', '202 helpful votes']",50,"['Value bubble_50', 'Location bubble_50', 'Service bubble_50']"
Audrey Is Shona,Very pleasant stay at the Nordic. I have been well treated with patience and absolute hospitality. The place is very comfortable however rooms do need usb charging ports for international devices. Thank you.,July 2023,Traveled on business,,wrote a review Jul 2023,,['1 contribution'],50,[]
A quiet oasis in Lagos chaos,"I thoroughly enjoyed the entire stay, particularly the breakfast every morning. The ambience was much needed respite after a day of meetings and Lagos traffic.  Favour was super kind and helpful, as were all the staff.   Would definitely recommend.",June 2023,Traveled on business,,wrote a review Jun 2023,,"['1 contribution', '1 helpful vote']",40,[]
Cosy & Good chic place!,"Great diner, waitress Tobie very professional and attentive. Asked questions. Restaurant service in the evening really fast and well served. However, there needs to be a better breakfast proposed to the guests. That shall be the focus to make the experience exclusive as it is a boutique hotel. Cosy means great breakfast and exceptional diner as there is limited view and activities.",June 2023,Traveled solo,,wrote a review Jun 2023,,['1 contribution'],40,[]
Great stay,Tobi in the restaurant was great. The pool is lovely. The food is good. The place is highly recommended. It is on Victoria Island on a nice neighbourhood.  Very clean good aircon. Quiet in evenings and daytime.,June 2023,Traveled solo,,wrote a review Jun 2023,,['1 contribution'],50,"['Value bubble_30', 'Location bubble_50', 'Service bubble_50']"
Blown away!! 10/10!!!!,"Omg, where do I even start. From the moment we entered the premises, we were blown away! Upon entering we were greeted with refreshments from Favour which I must say, for the entire week, she made our experience so pleasurable! Aside from Favour, there was not a single staff that I can say that was unfriendly or unhelpful. I’ve decided that whenever I visit Nigeria, I MUST stay at Nordic Hotel. Honestly a 10/10 spot. Rooms and bathrooms (my biggest concern) were so clean and breakfast options were really nice too! I can’t recommend this place enough!!!! I can’t wait to be back!",May 2023,Traveled with friends,,wrote a review May 2023,,"['1 contribution', '5 helpful votes']",50,"['Value bubble_50', 'Location bubble_50', 'Service bubble_50']"
Great pool!,"I recommend this hotel! Clean rooms, WiFi & A/C work well, beautiful pool, friendly staff, good food. When our flight got cancelled late at night, we were able to call the hotel, arrange a driver, and check back in at 4am.",May 2023,,,wrote a review May 2023,,['1 contribution'],50,[]
Wonderful experience,I'm an executive and have traveled the world for business and pleasure.  This trip was a very special trip.  This was my first time in Nigeria and I was privileged to visit with my partner who is Nigerian.  The staff was welcoming and pleasant.  The hotel is well maintained and it feels like a hidden gem.  I was pleasantly surprised!,May 2023,,,wrote a review May 2023,,"['2 contributions', '1 helpful vote']",40,[]
Great experience,"Room very clean, staff very friendly.  Was a food one night stay.  Bed was comfy and it was not too noisy outside.   Complementary breakfast was a wide spread of local and international foods.   Good WiFi reception.",May 2023,,,wrote a review May 2023,,['3 contributions'],40,[]
Minimalistic & Cool,Nordic hotel is minimalistic and suited for affordable business trips/meetings.  Had a team meeting here with about 40 other colleagues. Great air conditioning.  Very courteous employees make me want to come back in spite of the minimalistic outlook.,January 2023,,,wrote a review Jan 2023,,"['1 contribution', '1 helpful vote']",40,[]
Excellent Service,"Very neat and cozy hotel, lots of nice books in the reception area, warm welcome by Favour (a pleasant staff)😊 … good breakfast which I preferred to have outdoor by the pool under lush green trees… I enjoyed my stay.",December 2022,,,wrote a review Dec 2022,,['1 contribution'],50,[]
Mrs,It was the best...the staff amazing...pool clean...food great..I slept very well. Achieved what I wanted to achieve. Very well rested... Loved the extras... Had cake to celebrate independence day. The staff also very respectful. Environment super clean. I like the 2 bottles of water idea. Makes sense,October 2022,,,wrote a review Oct 2022,"Lagos, Nigeria","['3 contributions', '2 helpful votes']",50,[]
6 night stay at the Nordic,"We arrived at the Nordic hotel in the evening and we were greeted immediately and checked in without any hassle. Staff has been incredibly friendly and lovely. There was a large choice for breakfast, the rooms were very clean and well presented. I would recommend this hotel to all my friends and family.",September 2022,,,wrote a review Sep 2022,,['1 contribution'],50,[]
Experience at Nodic Hotel Lagos,"It is a very cozy, super clean hotel. I enjoyed everything  about the hotel. From the pool side, to the restaurant, gym and room service: The staff members were very polite. I will definitely recommend this place to others and definitely coming again.",September 2022,,,wrote a review Sep 2022,,"['3 contributions', '3 helpful votes']",50,[]
Great stay at the Nordic!,Lovely hotel! Would definitely recommend 10/10. Pius is an excellent employee and took great care of us. Great food and drinks available at any hour which is great for jet-lagged middle of the night snacks. Pool area is great for relaxing and an after dinner drink.,September 2022,,,wrote a review Sep 2022,,['1 contribution'],50,[]
Proper care,Favour and Stephen really treated me nicely. I’m impressed Surely would want to visit again when I can.  The gym is awesome too so is the pool area. The 24/7 room service and quick delivery is top notch,September 2022,,,wrote a review Sep 2022,,['1 contribution'],50,[]
Always a good time at Nordic!,I’ve had cause to stay at Nordic multiple times over the past two years and it’s always a great experience. The staff are so lovely each time and the good vibes are consistent. If y’all ever open a loyalty program I’ll be first in line!,September 2022,,,wrote a review Sep 2022,,['3 contributions'],50,[]
Grand.,"Love the aesthetic and service. The book collection is pretty decent as well, there were quite a few notable reads.  Breakfast was a delight and I particularly enjoyed the speed of delivery when I ordered a midnight dinner.",September 2022,,,wrote a review Sep 2022,,['1 contribution'],50,[]
Had a wonderful time,"Stayed in Nordic for two nights with my wife for her birthday and we had a great time. The staff was polite and helpful, the hotel was very clean and we’ll designed, and the food was great.   Would highly recommend.",September 2022,,,wrote a review Sep 2022,,['1 contribution'],50,[]
Honeymoon ❤️,"I and my wife loved the hospitality. Thank you Nordic and we will certainly come back soon. From the Car pack to the room reception was very good and we love it. I’m not exaggerating, but what’s good is good.",September 2022,,,wrote a review Sep 2022,"Lagos, Nigeria",['2 contributions'],50,[]
Best hotel in Lagos,"Amazing hotel, very cozy, bedrooms are nice, and all the staff is amazing and so cheerful! The restaurant and bar are nice, and even though I came on business I took a chance for a swim and visiting the gym. The facilities are always clean.",September 2022,,,wrote a review Sep 2022,,['1 contribution'],50,[]
Sales Manager,"The most peaceful i have used in Lagos. Calm, secured, Beautiful, good food, quick internet.   Location itself is better situated easy access to transportation.   Recreational facilities (Gym, pool, Bar, restaurant) are well taken cared of. Regular cleaning.  Highly recommended to anyone visiting Lagos Nigeria",September 2022,,,wrote a review Sep 2022,,['9 contributions'],50,[]
Birthday,"I liked the ambience, awesome place but I honestly feel there should be tissue box beside the bed and also bigger duvet. Wardrobe is needed also, There should be more options in the breakfast menu e.g oat   Thank you I had a nice time and the privacy and security is TOP NOTCH.",August 2022,,,wrote a review Aug 2022,,"['1 contribution', '2 helpful votes']",50,[]
Nordic hotel,Neat room and staff are very pleasant. Food is great. Environment is very quiet and conducive for working. Restaurant was very clean and waiters very responsive whenever you needed assistance. Highly recommend to anyone coming to Lagos.,August 2022,,,wrote a review Aug 2022,,['1 contribution'],50,[]
