Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
"An average, secure and comfortable hotel....","Was on business in Lagos, Nigeria...though there are much better internationally known hotels in Lagos, this hotel was close to the business venue and traffic being what it is in Lagos it was practical to choose the Oakwood. There is security at the gated entrance and in and around the Hotel 24/7. The reception on arrival was pleasant enough nice staff and a hassle free check-in. The room was comfortable but lighting was dim, especially in the bathroom, the room had the normal amenities, coffee & tea facility, Laundry, international TV channels and free Wi-Fi.  The Oakwood has a nice Bar/lounge area and dining room, however, where it all starts to fall apart is the standard of food choice and service, staff in the dinning room are not well trained and slow to respond to any",August 2018,Traveled on business,,wrote a review Sep 2018,"Ho Chi Minh City, Vietnam","['132 contributions', '115 helpful votes']",30,"['Rooms bubble_30', 'Location bubble_30', 'Service bubble_20']"
Week stay,"In total the place is fine, requires maintenance that is done well only for the reception area. The room is becoming old and you can see some rusty ceramics   The restaurant has a very nice look but overpriced.  Staff is responsive and nice.",August 2018,Traveled on business,,wrote a review Aug 2018,"Tel Aviv, Israel","['7 contributions', '1 helpful vote']",40,[]
It Used To Be Better,"This hotel used to be a Protea Hotel with all the attendant standards and ambiance. But since it became Oakwood, the standards seem to have dropped a bit. But still good for a business trip to Lagos. The location is great and very accessible.",August 2018,Traveled on business,Be early for breakfast,wrote a review Aug 2018,"Abuja, Nigeria","['27 contributions', '4 helpful votes']",30,"['Value bubble_30', 'Cleanliness bubble_30', 'Service bubble_30']"
Damp damp damp,This hotel is damp all my things including suite case & shoes were damp. Just could sleep cos of the stench as a result of dampness. I discussed this with the reception and they offered another room with a promise to look into my complaint. I will give it a second try to be able to make up my mind if I will ever stay in this hotel. It was horrible when it was protea,July 2018,Traveled with family,,wrote a review Jul 2018,"Port Harcourt, Nigeria","['18 contributions', '6 helpful votes']",20,[]
Good hotel on Victoria island,I stayed here for a few days and was impressed by the accommodation available and provided. The hotel has a lot of paved parking. This allows access to a good lobby area. The hotel is clean and staff are helpful. The room I had was good and very comfortable. Only slight concern was the mattress I had sank in the middle but was ok. If I had stayed longer I would have asked for a replacement which I am sure I would have got without any problems.  Conference facilities were good and to international standards.  Food was very good and catered for local and international tastes.  I would go back to this hotel if I had the choice.,March 2018,Traveled on business,,wrote a review Apr 2018,"Welwyn, United Kingdom","['35 contributions', '4 helpful votes']",30,[]
A decent spot!,"Oakwood Park is a Protea hotel well-located along Lekki expressway;the environment is calm and well maintained.  The jewel of this facility is its library-themed restaurant which gives an old English feel; as for the food, well, it is decent.   The rooms are well ventilated and cleaned daily while the pool side can serve as an evening dining spot.   Oakwood Park  provides decent  accommodation, good food and consistent service; don't ask for more.",February 2018,Traveled on business,,wrote a review Mar 2018,"Berlin, Germany","['357 contributions', '28 helpful votes']",30,"['Value bubble_30', 'Location bubble_40', 'Service bubble_30']"
Okay but needs renovation.,"Stayed at the hotel for 4 nights with the family.    Generally, our time there was cool.   Cons  The furniture (doors and sofa) needs renovation. They need to provide more TV channels. more variety for meals.",September 2017,Traveled with family,,wrote a review Sep 2017,"Lagos, Nigeria","['4 contributions', '2 helpful votes']",30,[]
Faded star,"I have dined at this hotel for many years, and I simply love the decor, at least that was when it was part of the Protea chain. So when our annual retreat was scheduled to hold here, it was a delight, or so I thought.  The hotel still retains its boutique look, but it was evident it has fallen on hard times. The carpeting has become squalid; the staff looked scraggy, and the atmosphere was somber.   The have tried to keep things going, but the efforts weren't enough.  Coming to the rooms, the walls have water stains, the AC didn't control the temperature accurately, so things were always humidly cold; like a bad winter morning in Europe. The ceilings were dirty, water from the faucets slightly colored.  However, the friendliness of the staff was still world-class, and the",January 2017,Traveled on business,,wrote a review Jan 2017,Bonanjo,"['55 contributions', '44 helpful votes']",30,"['Value bubble_30', 'Cleanliness bubble_20', 'Service bubble_40']"
Good accomodation,"This hotel is located on the Lekki expressway and is easily accessible by Car. It has all the necessary amenities and the rooms are large and spacious. mixed experience with staff as most of them are very helpful however upon checkout the staff were very unaccommodating to my request to print my boarding pass. I understand if they could not print it, however they weren't very friendly in their responses.",August 2016,Traveled on business,,wrote a review Aug 2016,"Durban, South Africa","['76 contributions', '26 helpful votes']",40,"['Value bubble_40', 'Cleanliness bubble_30', 'Service bubble_30']"
Home from home,"This, former Protea, is a peaceful hotel on the Lekki Epe (pronounced 'Ekpeh') expressway. The lounge and diner/ restaurant has an old library feel to it as they've used real encyclopaedias to enhance the aesthetics. Rooms are clean with proper air conditioning, good fast Wifi, beds comfy. There is a mini gym, outdoor swimming pool(not very well maintained though!), and ample space for parking. I bumped into quite a few 'expatriates' who looked relaxed and welcomed. Breakfast avails you an array of choices. Members of staff are very courteous and ever willing to help. The front door is manned 24 hrs with a concierge service, so is the front gate. You feel safe I paid a rate that included breakfast for one that approximated £85. Breakfast for an additional guest is N5000 (~£10).",July 2016,Traveled as a couple,,wrote a review Jul 2016,"Wilmslow, United Kingdom","['88 contributions', '39 helpful votes']",40,[]
