Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Excellent breakfast with multiple choice everyday.,"My stay at the hotel was excellent.I took the executive room. Very spacious, clean, and Quiet An easy access to anywhere and all staff are ready to assist you.All though the bath tub was broken so water was running every. I hope they fix it. The location is perfect for the price. I will sure recommend friends and family for a stay.",October 2023,,,wrote a review Oct 2023,"Oulu, Finland","['1 contribution', '1 helpful vote']",40,"['Value bubble_50', 'Rooms bubble_40', 'Location bubble_50', 'Cleanliness bubble_50', 'Service bubble_50', 'Sleep Quality bubble_50']"
Enjoyable stay,"I recommend for short and extended stays. The staff were very friendly and attentive, especially the restaurant staff. The location is good and the hotel feels very secure. The food quality is good and not too expensive. Rita, the manager is very helpful.",May 2023,Traveled on business,,wrote a review Sep 2023,"Budleigh Salterton, United Kingdom","['72 contributions', '19 helpful votes']",40,"['Value bubble_40', 'Rooms bubble_40', 'Location bubble_40', 'Cleanliness bubble_30', 'Service bubble_50', 'Sleep Quality bubble_40']"
Memorable experience,"The comfort is unmatched. The food was amazing and I had a great experience. Would love to be back but this time, it will be with family. Keep up the great work. Many thanks to the staffs, they were really supportive and ensured I was comfortable",August 2023,Traveled on business,,wrote a review Aug 2023,"Lagos, Nigeria",['1 contribution'],50,"['Value bubble_50', 'Rooms bubble_50', 'Location bubble_40', 'Cleanliness bubble_50', 'Service bubble_50', 'Sleep Quality bubble_40']"
Review,Excellent location with good service and great reception from the staff. Breakfast and room service was good. Food prices are a bit high and portions are not as they used to. TV option is excellent with all the major sports channels on the list. Overall an excellent choice.,August 2023,Traveled on business,,wrote a review Aug 2023,"Abuja, Nigeria",['1 contribution'],50,"['Value bubble_40', 'Rooms bubble_50', 'Location bubble_50', 'Cleanliness bubble_50', 'Service bubble_50', 'Sleep Quality bubble_50']"
Great experience,Great experience  Great food Nice location Accessibility  Nice flooring Security on point Liked my view from my room it served the purpose i needed it for  The location is hood amd easily accessible to the places that mattered toe,May 2023,Traveled on business,,wrote a review Jun 2023,,['1 contribution'],50,"['Value bubble_50', 'Rooms bubble_40', 'Location bubble_50', 'Cleanliness bubble_50', 'Service bubble_50', 'Sleep Quality bubble_50']"
Value for money,"Great location ! Quite central yet has that “nicely tucked away” feel. Staff are pleasant, alert, and helpful. The breakfast is excellent with lots of varieties. My favourite breakfast item is the homemade granola cereal. Will definitely stay here again.",May 2023,,,wrote a review May 2023,"Lagos, Nigeria","['26 contributions', '38 helpful votes']",50,"['Value bubble_50', 'Rooms bubble_50', 'Location bubble_50', 'Cleanliness bubble_50', 'Service bubble_50', 'Sleep Quality bubble_50']"
solid stay every time,"This is my go-to hotel for business trips to Lagos.  Solid internet, an extensive breakfast spread, and a small gym with enough equipment to get a workout in.  The location is great if you have many meetings in Victoria Island and Ikoyi.  Overall great value for money.",May 2023,Traveled on business,,wrote a review May 2023,,['1 contribution'],50,"['Value bubble_50', 'Location bubble_50', 'Service bubble_50']"
My stay at Park Inn by Radisson.,My experience was exception and will love to be back again. I really did enjoy my stay and will recommend a visit to the Radisson to my family and friends from my base. Thank you for the hospitality and welcome.,April 2023,Traveled on business,,wrote a review Apr 2023,,['1 contribution'],40,"['Value bubble_40', 'Rooms bubble_50', 'Cleanliness bubble_40', 'Sleep Quality bubble_40']"
Outstanding,"The hotel is at a good location, with a clean environment and good atmosphere. The room is big and clean. Well equip and the staffs are kind and friendly. The restaurant is 😲, the breakfast was wonderful. Thank you",April 2023,Traveled on business,,wrote a review Apr 2023,"Abuja, Nigeria",['1 contribution'],40,"['Value bubble_50', 'Rooms bubble_50', 'Location bubble_40', 'Cleanliness bubble_50', 'Service bubble_40', 'Sleep Quality bubble_50']"
Review by Cyril,"I was pleased with the location, it was very serene and calming. The reception was top notch, every guest was given an equal treatment. The rooms were top-notch and clean. I appreciated their focus on environmental friendliness. Finally, the meals were real classics.",April 2023,Traveled on business,,wrote a review Apr 2023,,['1 contribution'],40,"['Value bubble_50', 'Rooms bubble_50', 'Location bubble_50', 'Cleanliness bubble_40', 'Service bubble_40', 'Sleep Quality bubble_30']"
Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
"Excellent Service, Food and beautiful rooms","I enjoyed every moment of my stay Here. The  hotel is well situated with staff that are attentive professional, friendly and ready to help at all times..I really liked my room, the decor was tasteful, simple and the bed was super comfy....,, Ahhhhh, not forgetting the breakfast - it was always a sumptuous spread with loads of options👍🏾👍🏾👍🏾👍🏾",December 2022,,,wrote a review Feb 2023,,"['9 contributions', '6 helpful votes']",50,[]
Accommodation Experience,"General experience was very good. I has a good sleep, enjoyed that ambiance and environment and I liked the food too. The attendants were great, always there to assist and generally approachable. Well done!",January 2023,,,wrote a review Feb 2023,"Accra, Ghana",['1 contribution'],40,[]
GREAT CALM HOTEL ON THE BUSINESS VI,It's a very calm and decent hotel accommodation great to stay for business. Bar and Restaurant is great sweet delicacies from that kitchen of theirs. I like the facility alot and would recommend it to you. The only down side is the tap water is not clear hence i couldn't make hot coffee with it,January 2023,,,wrote a review Jan 2023,,['1 contribution'],40,[]
