Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Closing Down?,This review was written throughout my two night stay in the hotel on 3-5 February.  Possibly the strangest hotel experience of 20 years in Africa.  I checked in yesterday to find the air conditioner in my room wasn't working. The engineer came and said he had fixed it. 30 minutes later it clearly wasn't working so I went to reception. They said they would arrange a new room. Four rooms and about 2 hours later we had finally found a room where most things function (air conditioner/shower/tv. Nothing fancy!). So I settle in and just rest.  Today I went to meetings in the area. I get a call at 3pm asking me to come back to the hotel for an emergency. Apparently they had decided to immediately close for emergency refurbishment and we're moving me out! I called the booking agent to,February 2016,Traveled on business,,wrote a review Feb 2016,"Ikoyi, Nigeria","['21 contributions', '20 helpful votes']",10,[]
WOW!,"What a place to be. I and my husband had the beautiful bar to ourselves. It's a top top for romance.  There's a champagne room where friends and couples could have a quiet great time, watch musical videos and eat good food. What an exotic design. The whole decor is elegant and exotic. We were there twice and we will not miss it, next time we are in Lagos.  AWESOME ATMOSPHERE! Great service!",January 2016,Traveled as a couple,,wrote a review Jan 2016,"Lagos, Nigeria",['3 contributions'],50,[]
Quiet place and cozy rooms,"I have stayed here four times. The rooms are quite colorful...some of the rooms are equipped with Jacuzzi. I recommend the hotel restaurant when you need quality food, you can be rest assured your weekend won't be a dull one with some activities lined up at the Planet One.",December 2014,Traveled on business,,wrote a review Sep 2015,Abuja,"['13 contributions', '11 helpful votes']",40,"['Rooms bubble_40', 'Service bubble_40', 'Sleep Quality bubble_40']"
Very close to the airport,"I have stayed in here twice. The first time I was there, I was given a room I didnt like so well. the floor was pretty sandy and the bathroom also was not just ok. I didnt like the towel too... Didnt look all that neat to me.  The second time I was there, I got a good room with even a mini-Jacuzzi. I didnt know they had that stuff in that hotel.  I enjoyed the their meals. The food was good.  I enjoyed the gym and the instructor there was really friendly. They got very friendly staff also. I like the location of the hotel because it is pretty close to the airport. I usually use the hotel if I'll have to catch an early flight.",July 2014,Traveled on business,,wrote a review Feb 2015,"Bayelsa State, Nigeria","['12 contributions', '7 helpful votes']",30,"['Rooms bubble_30', 'Service bubble_40', 'Sleep Quality bubble_40']"
"Fantastic venue, amazing staff",I had an event in Jiko hall and the staff went to unbelievable lengths to maje sure everything turned out right. Mr Moses was particularly impressive!  Never met staff so wonderful in all my years of planning events for my clients.   Please keep up the good work and don't let Mr Moses and the team go!,November 2014,Traveled on business,,wrote a review Dec 2014,,"['29 contributions', '11 helpful votes']",50,[]
Cool place;nice staff!!,"I've stayed at Planet One three times in the last couple of months and always found the service pretty good and the staff cool and helpful  The hotel is in a great location for Ikeja and well timed runs to the island........it is nicely decorated and reflects the style of the owners who have put their individual stamp on the rooms and common areas ( the charcoal prints are amazing)  A few niggles on the always closed safe,flaky wifi in certain rooms and the idiosyncratic shower..........I thought the staff were very nice and always did their best......it's not easy running a hotel and venue in Nigeria......folk who are used to western standards should not harshly judge.....it's clean and neat and comfortable and sure beats those overpriced places like its neighbour the Sheraton",October 2014,Traveled on business,Front facing can get some late night music from time to time!,wrote a review Nov 2014,"Nottingham, United Kingdom","['9 contributions', '5 helpful votes']",40,"['Rooms bubble_30', 'Service bubble_40', 'Sleep Quality bubble_30']"
It was fun here.....,"I and my team were privileged to do a home coming and get-together in planet one Maryland Lagos it was like every other get-together.. you know, some sort of mixed feelings and unsure expectation....My experience, i mean our experience at the end of the day was like wow....we were blown out of expectation by the warm and wonderful service we got....the well grilled Mongolian-menus took my breath away... the staff were excellent and cautious...... I think i,ll be there pretty soon at least, for some pampered experience..",September 2014,Traveled with friends,rooms facing the main entrance...kind of nice..,wrote a review Oct 2014,"Lagos, Lagos, Nigeria",['2 contributions'],50,"['Value bubble_50', 'Location bubble_50', 'Service bubble_50']"
Hospitality Horror,"If you ever have the opportunity to stay over- or have a Conference in Lagos Maryland I would sincerely advise you not to make use of this Hotel for anything.  As a General Manager for a Tourism Company we've booked with them after their Sales team begged me to bring my business to them, but it all ended up in a horror situation where we had to arrange the venues ourselves and the Management were so rude with derogatory remarks and foul language that I have decided never to return again... I am so sorry that my innocent Nigerian colleagues had to see this as some of the Ladies were very upset with what happened. My advise is to stick to a Brand that works in Africa - Protea Hotels, great people who still understand the meaning of Hospitality!",September 2014,Traveled on business,,wrote a review Oct 2014,"Accra, Ghana","['1 contribution', '6 helpful votes']",10,['Service bubble_10']
Nightmare from Hell,"I would like to firstly say My company will never return again. We were asked to make use of there facilities, so we did,  however when we asked for things to get sorted out without being unreasonable.  The GM used foul language and refused to assist after we paid for services.  We then had to set up the hall on our own. I would advise not to use them at all as there is no client service where you feel bad to ask for anything even though you have paid.  I will continue using the services of the protea goup in the area.",September 2014,Traveled on business,,wrote a review Sep 2014,,"['6 contributions', '2 helpful votes']",10,[]
Interesting,"well, where do i start. rooms are nice. there were a few issues though, jacuzzi not working, pool closed etc, but overall, it was a good stay. Girls at the desk was pleasant. When my partner and i returned from the trip Bisola who works at the front desk sent my husband a whatsapp message to ask how he was doing. she told him how much she would love to see him again and was asking when he would return to Lagos. Now, im not sure if all the girls at the desk are like this, but ladies watch out. She even started to send pictures of her self. i will attach it to so that everyone can see.  the housemen(cleaners) are really pleasant and well mannered and the bellmen are welcoming. overall (except for the surprise messages from Bisola trying to get too acquainted with my man)",May 2014,Traveled as a couple,choose an executive room,wrote a review Jun 2014,,"['5 contributions', '12 helpful votes']",30,"['Value bubble_40', 'Rooms bubble_40', 'Location bubble_40', 'Cleanliness bubble_40', 'Service bubble_40', 'Sleep Quality bubble_40']"
