Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Fantastic Studio Apartment,"I stayed here for 4 nights when I first arrived in Warsaw.  Communication from the property management was FANTASTIC with extensive directions with photos.  The security for the apartment complex (2 buildings) is great.  The apartment had everything I needed with a hot kettle (coffee & tea), refrigerator, cooktop and even a washing machine.  The shower was spacious and clean.  Bed was comfortable.  Nice balcony with pretty views of two nearby skyscrapers (Warsaw Spire).  Access via the trams was easy.  Situated in the Wola District, it's not too far from the Old Town area.   A Lidl grocery store, Rossman's, & Pharmacy are close by. Not a lot of restaurants though, being the only drawback.",October 2022,Traveled solo,,wrote a review Oct 2022,"Boynton Beach, Florida","['874 contributions', '164 helpful votes']",50,[]
Amazing,"Amazing reception. Had a lovely stay, can't wait to get back and it better with y'all. Thanks for having us. Members of staff are so welcoming and patient. Building and facilities makes a whole lot of sense.",December 2020,,,wrote a review Dec 2020,,"['1 contribution', '7 helpful votes']",50,[]
Excellent Service,"Excellent Service, had a comfortable stay. Breakfast was on time. Would recommend this hotel to my friends and family, located in a serene and secured environment. Customer service was on point. Their staffs also have the right attitude",March 2020,,cool and comfortable,wrote a review Mar 2020,,['1 contribution'],50,[]
Average,"Staff are okay, room needs pest control. Especially cockroaches. Breakfast should be served when guest are ready to eat. Serving. Breakfast before guests are ready makes it cold before eating. The hotel always take more money than agreed prize on booking.com",February 2020,,,wrote a review Feb 2020,"London, United Kingdom","['1 contribution', '1 helpful vote']",30,[]
My experience at posh apartment omole,"I love posh hotels and the way their staffs attends to people. They are caring,respectful,kind and excellent in all and I will always recommend posh hotels to other of my friends, sisters ,brothers and well wishers .i have been using posh apartments in other of their branches but this last one I used at omole is really full of well trained staffs from the security guys to every member of their staffs. I truly enjoyed my stay.",February 2020,Traveled on business,,wrote a review Feb 2020,,"['1 contribution', '1 helpful vote']",50,[]
It’s was great and all ok,"I love the place everything was ok, great and good to go I did say a big thumbs up to the management of the apartment.  All the best and I recommend it to more users out there as a great place of leisure and comfort",February 2020,Traveled on business,Superb and great ,wrote a review Feb 2020,"Calabar, Nigeria","['1 contribution', '2 helpful votes']",40,[]
Personal Assessment,"The room I was given for N12,000 should normally go for not more than N6,000. I was forced to pay because I arrived late and could not get a cab because the hotel is situated deep inside an estate. They kitchen was not functioning and the building overall had very poor finishing contrary to the pictures displayed online. I like the concept of guests able to cook indoors with the provision of utensils suitable for a family or company retreat.",December 2019,Traveled with friends,,wrote a review Jan 2020,,['1 contribution'],20,[]
Poor Service,"The quality of service received was poor. The room was lower compared to the price. TV connectivity was always poor. Food isn’t always available to purchase, the bedsheets are always moist and a bit smelly. Staff tend to be trying their best but not all.",August 2019,Traveled on business,,wrote a review Sep 2019,,['1 contribution'],10,[]
The place is a useless place. Most facilities are not working,"The place is not as advertised. The facilities are not working. Ac not cooling, we had to use fan to cool the room, no WiFi. We had to check out the next day because we could not cope with the situation",April 2019,Traveled as a couple,,wrote a review May 2019,"Lagos State, Nigeria",['1 contribution'],10,[]
Cute and comfortable,"Posh is a cute hotel with very friendly staff. They have a large selection of drinks in the bar. Our room was nice and clean with a very comfortable bed and good air conditioning. Although the room was a bit small for the price, We enjoyed our stay.",December 2018,Traveled as a couple,,wrote a review Jan 2019,,['1 contribution'],40,[]
Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Great place,I enjoyed my stay and would stay here again.  The bed was ok a little boist and the water could have been hotter but I had a great time and it is a great place for my first trip to Nigeria and Africa.  I would stay here next time also.,December 2018,,,wrote a review Jan 2019,,['1 contribution'],40,[]
Not recommended,I would not recommend this property. The service was nice due to the front desk attendant. The other employees were very friendly. The breakfast was not as advertised. The generator was not working properly so we did not have air conditioning most times so it was very hot.,November 2018,,,wrote a review Nov 2018,"South Boston, Virginia",['1 contribution'],10,[]
Hotel Review,"Was not satisfied with the services received. Room intercom did not work, water was flowing from bathroom into the room. I ordered breakfast around 8:45am and it did nit come till I checked out around 11:30am and there nobody bothered to tell me why this happened.",September 2018,,,wrote a review Sep 2018,"Lagos State, Nigeria",['1 contribution'],20,[]
Unexpected,"The building is cool and beautiful,the staffers are highly welcoming,educated,polite and forth coming to every request,but the furnishing aren't worth the price paid,it  was terrible on my first night,the wall fitted A.C, made noise all through the night,the bed broke my back,no hot water in the evening,the fridge didn't work.",February 2018,,,wrote a review Feb 2018,,['1 contribution'],10,[]
Hotel was slightly above expectation!,"The continental  breakfast was too basic.... bread and jam and Tea. Parking space not adequate. However, Wi-fi worked well. Staff helpful and friendly.  It would be good if a route direction from the airport can be put online to make it better for travelers to locate the hotel.  I would visit again but would like better breakfast.",December 2017,,,wrote a review Jan 2018,,['1 contribution'],40,[]
