Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Good value for the money,The hotel is perfectly located in relation to the airport and access to the major roads to various destinations. Located in an area with little city noise. Close by a shopping mall. The staff is very friendly and helpful.  The hotel is not new and that can be seen from the rooms. But rooms are clean and room service efficient.,June 2023,Traveled on business,,wrote a review Jun 2023,"Svenstrup, Denmark","['92 contributions', '33 helpful votes']",40,[]
Worst Experience,"Check In: We walked in to the hotel without prior reservation and we want to check the room category before the process all i heard from the Associate is we cannot show the rooms in such rude tone. you can check the rooms in the TV screen. What a warm welcome would rate Zero as check in experience.   Same Associate mentioned a wrong figure for the room charges and we transferred the payment through third party as they advised their exchange rate is too low.   Room are not too spacious but cleaning wise is good.  Breakfast spread is small but chefs are good.  Check out Experience: pathetic, Because of the miscommunication we ended up paying more and they were supposed to do the refund as they mentioned it will be refunded back to the account received and as per my request we met",April 2023,Traveled on business,,wrote a review May 2023,,"['8 contributions', '5 helpful votes']",10,"['Value bubble_10', 'Location bubble_50', 'Service bubble_10']"
Clean 3 stars Hotel,"The location is 15-20 minutes from the Murtala International airport.  Check in in less than 5 minutes  The room is clean, and the space is about 18  m ,cattle and 2 bottles of water for free . It has a bar,restaurant serving the 3 meals and a small pool area.breakfast included in my booking and offering egg station,bacon,sausage ,rice,beef, or chicken with vegetables. American coffee and juices.employyes are very polite and helpful, especially Victor. One of the money value hotels in Lagos, I do recommend it if your business around Ikeja area. Note:Don't book a car from the hotel as it's very, very expensive, you can use Uber as it's safe and 75%cheaper.",February 2023,Traveled on business,Choose a room opposite from the pool side,wrote a review Feb 2023,"Cairo, Egypt","['313 contributions', '388 helpful votes']",40,[]
"Great Hotel, Great Staff, Great Location","For a stay in Lagos Nigeria, this is a great hotel (I travel a lot and have been to the best resorts in Europe). I didn't expect the level of attention and service we received but we were wowed by the staff. Clean and modern hotel, perfect location for getting around lagos. The mall across the road was an added bonus with lots of places to eat and shop. When we had a misunderstanding with one of the staff, the manager  Margaret ensured it was resolved in a timely manner and even made it up to us.  Hotel food was great and room service was efficient. I recommend this hotel.",September 2022,Traveled as a couple,,wrote a review Oct 2022,"London, United Kingdom","['9 contributions', '10 helpful votes']",50,[]
The Staff At This Hotel Are Assets,"I spent 7 nights at Protea Hotel Ikeja Select. It was a trip I had made with my wife - who made made the pick of this hotel & done the booking.  Anie (the Hotel Manager) attended to us at the reception. She went above & beyond to receive is and make us feel welcome. This lady maintained superb consistency in terms of customer service through out our stay. She deserves to work in the best hotels in the world - She is ""a natural"" with guests.  The room was okay - Room 138. There was an issue with the hotel floor and water leaked on the floor when we flushed. Beyond that the hotel staff were there to attend to our every need.  I liked the proximity to Shoprite.  I will definitely be returning and would love to stay in this hotel again. It gave me value for my money.  Kudos to Anie,",March 2022,Traveled with family,,wrote a review Mar 2022,"Accra, Ghana","['20 contributions', '11 helpful votes']",40,[]
Birthday,"Birthday surprise. After attending my friends mothers burial the next day was my birthday so we decided to change location to enjoy the day. The staff at the front desk where nice and friendly. The didn’t waste time checking us in.  Got to the room to my surprise birthday cake, champagne, chocolate, and gifts. It was a pleasant surprise cause I was so tired from Lagos horrible frustrating traffic. It lighten my mood. I had planed to take a bath and hit the sack. The hotel is clean and cute. The rooms aren’t that big, but still comfy for two. I had a lovely stay.",February 2022,Traveled as a couple,,wrote a review Mar 2022,"Abuja, Nigeria","['137 contributions', '42 helpful votes']",40,[]
Fantastic and caring service - always ready to help,"Right away from arranging pick up from airport, through check-in and the stay, the service was fantastic. What has really hit me is the friendliness of the people working at Protea. All the time you feel looked after and welcome. I also hosted a seminar and here too everything worked like clockwork. I can only say - try and stay at Protea Hotel Ikeja Select.",February 2022,Traveled on business,,wrote a review Feb 2022,"Svenstrup, Denmark","['92 contributions', '33 helpful votes']",40,"['Location bubble_50', 'Cleanliness bubble_50', 'Service bubble_50']"
Disappointed Customer,I was swayed towards this Hotel by some good reviews on Trip Advisor but was soon to find out i had made a huge mis judgement. I stayed for 2 nights Saturday 2/10/21 and Sunday 3/10/21. Checking in was slow as i was stuck behind a complete air crew checking in and there are only 2 check in desks at the hotel. The reception area doubles as  a meeting area with a small bar. Te dining room is tiny likewise the breakfast room. There is an outside space with a pool but very tight for sitting out. i was entertaining a client on Saturday evening so we gleefully had a drink at the bar whilst reviewing the menu which is al a carte no buffet which is unusual for a hotel i Lagos. We made 3 choices on the menu one after the other only to be told not available i suggested it would be,October 2021,Traveled on business,Go elsewhere!!,wrote a review Oct 2021,"Derby, United Kingdom","['43 contributions', '34 helpful votes']",20,"['Value bubble_20', 'Location bubble_30', 'Service bubble_20']"
Damp Room with Oduor and smelly sheets,"Damp room, smelly sheets. I made multiple requests to change room, none was granted as the staff were not cooperative and claimed there was no room. The room had an odour, I keep complaining until I checked out 6 days later. A waste of resources. I had to move back to Radisson Blu in GRA",June 2021,Traveled on business,,wrote a review Jul 2021,,"['12 contributions', '6 helpful votes']",10,[]
Amazing hotel Staff,"It was amazing Experience in Protea hotel, Mr. Paul is amazing personality, very professional, fun loving and Enthusiastic, took care of Us very well at Pool side, ready to assist and can say really hardworking guy. All the very best to him, and hope to see him soon too. Thanks.",May 2021,Traveled on business,,wrote a review May 2021,"Al Wakrah, Qatar","['14 contributions', '2 helpful votes']",50,[]
Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Bathrooms needs updating,"Very welcoming and friendly staff, breakfast was good but a very busy hotel even though security adequate.   There is a need for a wide variety of meal options for lunch and dinner to accommodate guest with different dietary needs.   Please!!!! update your bathrooms in the rooms.",January 2020,,,wrote a review Aug 2020,"London, United Kingdom","['12 contributions', '28 helpful votes']",30,[]
Grubby and dirty.,"During my recent stay the passageway ceilings were under construction, the dust and dirt filtered into the rooms together with the noise. The breakfast was inedible. No coffee cups available and the only yoghurts available were off.",December 2019,,,wrote a review Jan 2020,"Mossel Bay, South Africa","['10 contributions', '3 helpful votes']",20,[]
Business Trip,"My first visit to Nigeria stayed at the hotel in Junior Suite for 4 days. Rooms are decently clean, beds are comfortable, bathroom has free toiletries and it gets replenished every day. Check-in was very prompt, however, the property looks very dated, furniture shows signs of wear and tear.  The staff are simple and polite in nature, The morning staff for breakfast was good and attentive, the breakfast spread is decent but can get boring if u stay for 3 or more days. There is free wifi available to do your work. The evening Bbq we tried the lamb was very dry and rubbery overcooked, their Pepper soup is really good. Enjoyed eating plaintains in all forms all the days.",October 2019,,,wrote a review Nov 2019,"Dubai, United Arab Emirates","['128 contributions', '70 helpful votes']",30,[]
Great hotel,"This was my first stay at any of Protea's hotel.  The room was way better than expected, comfortable bed, good pillows and clean.  WiFi was fast and I had no issues with it. TV channel selection was limited but okay considering I was in Nigeria.  Staff was really helpful and check in and out was pretty swift.  The only thing is that they could improve on the breakfast buffet and room service.  I would stay again for the cleanliness and comfort.",November 2019,,,wrote a review Nov 2019,"Toronto, Canada","['385 contributions', '95 helpful votes']",40,[]
Ms,"Friendly staff...super warm welcome.. best chicken wings in town!!!! New chef, Eamonn,  has made a great impression with some superb adjustments to the breakfast layout.. Nothing is too much trouble for him.",October 2019,,,wrote a review Oct 2019,,['1 contribution'],50,[]
Enjoyable Stay,"Checked into the hotel for 2 nights. Got an upgrade to a junior suite which was a pleasant surprise. It got even better.! The rooms were clean and inviting. A welcome gift of juices and chocolates. a coffee station and ironing facilities. 2 toilettes, a barrier-free shower equipped with the basic toiletries.Comfy king size bed. Both the lounge and the bedroom were spacious. Location is good. Ikeja Shopping Mall within walking distance and government offices not too far away. The staff were extremely polite and efficient. The breakfast buffet offered a variety of food. The bbq meals outside by the pool were good - all you can eat and the à la carte had quite an selection.",September 2019,,,wrote a review Oct 2019,Austria,"['75 contributions', '49 helpful votes']",40,[]
