Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Not Marriott standard,"For sure not Marriott standard. Will never go there again. The staff is very friendly and at least tries their best to help. Breakfast is sometimes a la cart and sometimes not. Anyway they will bring something you have not ordered. Price per night, food, drinks much to high and not worth it!",March 2023,Traveled on business,,wrote a review Apr 2023,,"['2 contributions', '2 helpful votes']",10,"['Value bubble_10', 'Location bubble_10', 'Service bubble_30']"
Not up to former Protea standards,"Visiting a protea in Nigeria used to be a pleasure but since its relationship with Marriot quality of certain aspects has declined although not yet to the level of the former Sheraton in Abuja. Rooms are OK and the beds up to usual Sheraton standard. Pool is nice and the location facing the ocean pleasant if you have a room with a view. Access to the hotel is via a road in pretty poor shape.. Gym is small with a couple of treadmills, a gym machine, couple of bikes and a manual elliptical trainer. For me the pleasure of a Protea was its fantastic breakfast buffet. Sad to report this is no longer available with a very poor selection, instant coffee only, no decent meats or cheese, no pastries . Overall very disappointing for N14,00 ($30).. Internet connectivity just about OK..",January 2023,Traveled on business,,wrote a review Jan 2023,"Edinburgh, United Kingdom","['63 contributions', '18 helpful votes']",30,"['Value bubble_30', 'Location bubble_40', 'Service bubble_30']"
CAUTION CORRUPT HOTEL!,"By far the worst hotel I have ever stayed at.  I booked my hotel at the official Marriott website using my points.  Just three days before I arrived I received an email from Marriott welcoming me to the hotel.  However, when I arrived, at check-in, I was informed by the front desk agent (Grace) that Marriott points were not accepted at the hotel, but that they would be willing to offer me a special rate for each night.  I had no prior notice, they didn’t notify me by email or any other means, but they refused to accept my reservation that was guaranteed by Marriott.  After discussing it with the manager on duty (Ms. Tokunbo), we agreed on a rate, and they agreed to return my points back to my Marriott account.  However, they did not accept international credit cards (their",September 2022,,,wrote a review Sep 2022,"Madrid, Spain","['149 contributions', '15 helpful votes']",10,"['Location bubble_10', 'Service bubble_10', 'Sleep Quality bubble_20']"
Bad experience and poor communication,"Our stay at Protea Hotel was not nice. The staff are rude. We made payments for 2 nights with breakfast inclusive. And I was told that I will be given a refund for not eating breakfast the morning I was checking out by the front desk officer. She even requested for my account details which I provided immediately only for them to turn around to say I don't have a refund. If Protea was not giving me a refund, they should have advice me to take my breakfast or forfeit the refund, which they did not say. Before I checked out. I have evidence of the WhatsApp number giving to me to send in the account details, and it was acknowledged. They have integrity issues, no transparent communication.  This is not a good experience for a first visit.",June 2022,Traveled as a couple,,wrote a review Jun 2022,,['1 contribution'],10,[]
Horrible service!,"I would advice anyone going here to be very careful. The service is incredibly horrible. I'm not sure how it can still be under the Marriott brand which is very good. I had the worst experience  and secondly, I have tried to reach them on several occasions  to get some information  about my stay and they have given me the run around. It's like I'm dealing with a ghetto hotel not a marriott brand. I only stay at Mareiotts and this is a big shame.",March 2022,Traveled solo,,wrote a review Apr 2022,baltimore,"['5 contributions', '5 helpful votes']",10,[]
"TERRIBLE EXPERINCE , MOLD EVERYWHERE IN THE BATH ROOM & NO ELECTRICAL OUTLET IN THE BATHROOM","I arrived at this Hotel on the 6th of November @ 7:00pm I couldn't   check in until 11:30, after I checked in I fund out  the bath room was horrible tight like mobile restroom, & mold everywhere, also no electrical outlet in the bathroom , The manager said it is structural malfunction which is very sad. I was supposed to spend 12 night and I check out the next Day.",November 2019,,,wrote a review Jan 2020,,['1 contribution'],10,[]
Suriprise Gem,"Protea Hotel Kuramo Waters was a refreshing experience for me. From the front desk to the restuarant staff to hosekeeping, i will like to say thank you for being so wonderful. from check in, i felt like i was home. this review is more about the integrity and honesty of one of the house keeping staff, Taiwo and the front desk staff. i forgot my wristwatch in my room. 2 hoiurs after checkout, i received an email from the hotel staff notifying me that they had the watch. the watch is a family heirloom and has very significant and emotional value. i was able to pick the watch a couple of hours later. Thank you so much for being wonderful human beings. This is now my new home away from home when i am in Lagos. the hotel is very quiet and arranged like villas",October 2019,Traveled on business,Ask for the water view or close to the pool,wrote a review Nov 2019,,['1 contribution'],50,"['Cleanliness bubble_50', 'Service bubble_50', 'Sleep Quality bubble_50']"
Awesome service,"Protea kuramo is simply an awesome out of home experience. The food. ambience, decor all work together to make your stay pleasant and memorable. I had the seafood platter which was a feast for a king. The pool is just excellent and I would be surely coming back soon.",June 2019,Traveled on business,,wrote a review Oct 2019,,"['17 contributions', '1 helpful vote']",50,[]
Before you book ...,"The view of the lake is great! But .. the hotel is not up to per, the facilities are old, bathrooms terribly small and uncomfortable, the rooms don't have natural lighting and windows have some green/blue film barrier that just keeps you in, rooms are dark ish because of this and the rooms feel stuffy and musky. The view's good and pool nice, staff hospitable but I would not recommend staying there :( I've never been happier to check out. I constantly considered checking out, and I actually tried to.",July 2019,Traveled on business,,wrote a review Aug 2019,,['13 contributions'],30,"['Rooms bubble_10', 'Cleanliness bubble_30', 'Service bubble_50']"
A nice hotel,"Large rooms, nice and small pool, the gym is small with no TV. However, if you manage to come to Lagos, you probably do not look for luxuries but for basic place. Breakfast has a nice variety of food, with CNN on the background.",May 2019,Traveled on business,,wrote a review May 2019,"Tel Aviv, Israel","['183 contributions', '66 helpful votes']",40,"['Value bubble_40', 'Cleanliness bubble_50', 'Service bubble_50']"
