Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
My go to place,"I absolutely love the hotel. Any shortcomings are compensated by the extremely friendly and helpful staff. Who do care about their guests. Fir me, it's the little personal touches that gets me. Alhaji Abiola, Oluchi, sansom, David Evelyn, Nkoyo ,Mr Ben . Just to mention, a few of the staff members who have always made my stay lovely.  Thank you so much 💓",November 2022,Traveled with friends,,wrote a review Dec 2022,"Northampton, United Kingdom",['2 contributions'],50,[]
Value for Money,"I stayed in this hotel in 2020, 2021, and 2022. I stumbled upon the facility following an over-priced experience at an international five-star hotel in Ikeja. Each visit was as expected, and the breakfast was consistently sumptuous and on time, ready sufficiently early to catch an early domestic flight.  The rooms are impeccably neat, and the bathroom is world-class.   The hotel is easily the best value for money in Lagos, and I have reviewed many for Trip Advisor and have been in an out of Lagos since the 90s.  The best part of the facility is its people. On this occasion, I want to showcase Mr. Denis Adegbe for the Manager of the Month ex-post for his exceptional customer service and courtesy to me in December 2021. The service far exceeded my expectations and had me",December 2021,,,wrote a review Apr 2022,"Decatur, Georgia","['57 contributions', '14 helpful votes']",50,"['Location bubble_30', 'Service bubble_50', 'Sleep Quality bubble_50']"
Breakfast eggs bad,"I went down for the breakfast buffet this moring and noticed that the scramble egss were bad, i complained and asked them to change the eggs, they did not, a lady guest also came down and took the eggs and was disgusted once she smelled them.  I asked one of the waiters why it was not changed when i asked it to be changed as  this could have been prevented, they had no answer.  They now offered me and the lady new fresh eggs to be made, I refused, however the lady said she wanted fried eggs instead.   When they brought the so called new eggs out is was scrambled eggas  again and the lady was very upset. saying"" i asked you made the new eggs fried"". she now gave up and just ate her bread and coffee and left.  I then later met a Manager( Dennis) and told him what occured and he",April 2022,Traveled on business,,wrote a review Apr 2022,,"['2 contributions', '4 helpful votes']",20,"['Cleanliness bubble_40', 'Service bubble_20', 'Sleep Quality bubble_40']"
Mr. AY,"I actually enjoyed my stay. I enjoy the services of the front desk staff most especially Tope, Tayo, Samson and Nkoyo. They were wonderful people that made me want to come back again and again. They were so nice",June 2021,Traveled on business,,wrote a review Jun 2021,,"['1 contribution', '1 helpful vote']",50,[]
A lovely place,A lovely place to be when in Lagos Location is option one for me and my family. The staff there are very friendly. Breakfast is the best for me in all the five star Hotels I haven't visited. I hope they will continue to maintain this class.,May 2021,Traveled as a couple,,wrote a review May 2021,"Warri, Nigeria",['2 contributions'],50,[]
Clean and serene environment,"I took the penthouse apartment and terrace for my wife birthday celebration and it was fantastic. Good views, good food and drinks. The staff were very friendly and helpful. especially with our private event on the roof top.",April 2021,,A top floor room with a view is always a good choice,wrote a review May 2021,,['1 contribution'],50,"['Rooms bubble_50', 'Cleanliness bubble_50', 'Service bubble_40']"
Barr.,Here a modern day hotel with absolute commitment to offer the best services. It is indeed a home away from home for all classes of people. The Management is top notch and the staff strength is unbeatable including a heavily pregnant woman. I indeed enjoyed my stay and will return soon.,April 2021,Traveled on business,,wrote a review Apr 2021,,['1 contribution'],50,[]
Pleasant stay,"I get impressed with each subsequent stay at The Providence by Mantis. Welcoming and courteous staff with exquisite facilities. The menu array can be worked on a bit though just to create a wider array. All in all I’ll still give them my thumbs up and hope this standard can be maintained and if possible, improved upon.  Always a pleasure",April 2021,Traveled solo,,wrote a review Apr 2021,Abuja,"['21 contributions', '7 helpful votes']",50,[]
AVM S Makinde,Nice environment. Very effective and efficient room cleaning service. Very friendly and helpful  front office staff. A major setback is the meals that I would rate just average. The breakfast lacks variety while the other meals and particularly some chicken meals are tasteless. Nevertheless I noticed a marked improvement after complaining to the F&B manager or so. Overall I had a nice time.,April 2021,Traveled as a couple,,wrote a review Apr 2021,,"['2 contributions', '5 helpful votes']",40,[]
Very pleasant stay!,"I booked this hotel for a relaxing weekend staycation for my birthday and it was totally worth it. I'm very particular about bathrooms and I had no complaints here, the bathroom was very clean and there was constant hot water without having to turn on any heater. The staff were also very helpful and courteous. One thing I feel can be improved is the breakfast buffet options, it was a bit limited and remained the same everyday. Other than that, everything was superb and the food was delicious",March 2021,,,wrote a review Mar 2021,"Lagos, Nigeria","['14 contributions', '3 helpful votes']",50,"['Value bubble_50', 'Service bubble_50', 'Sleep Quality bubble_50']"
Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Very good service right from reception and throughout my stay.,"Great hotel  to stay in if you want understated luxury, quietness and excellent customer service. Great amenities, free WiFi and good conference facilities. Perfect for business travellers and its nearness to the local and international airports an extra bonus. Have recommended this place to many of my friends!",March 2021,,,wrote a review Mar 2021,,['1 contribution'],50,[]
Stay,We had a great time.  Outstanding service.  The hosts always made us feel at home.  Cleaning services were top notch. We are looking forward to returning for another stay at the hotel this year.  Keep up the great work,March 2021,,,wrote a review Mar 2021,,['1 contribution'],50,[]
Anniversary stay review,"Being a return customer I felt it time to leave a review. I was last here a a year ago before the lockdown on a honeymoon package for 2 nights with all meals inclusive. We LOVED our room. The junior suite room 212 is excellent! The bath and shower combo is absolutely lovely. The bed and 2 separate 50"" televisions makes it easy to multitask. Hotel service and staff and very polite, professional and eager to help right from the front desk to cleaners and room service. It's an easy choice to keep coming back bar one issue. The food is just not great. It wasn't great a year ago and it's even worse today.The breakfast buffet is pretty standard fare but the lunch and dinner options are frankly uninspired. Taking a lesson from our last visit we decided to order our meals directly from",February 2021,,,wrote a review Feb 2021,,['5 contributions'],40,[]
Dirty,"I have asked the staff to used and handle food with gloves but it’s impossible.   This is the second napkin I was given which wrapped my utensils and looked dirty.   Brown showers, filthy walls and dusty mirrors.",February 2021,,,wrote a review Feb 2021,"Gaithersburg, Maryland",['4 contributions'],10,[]
Stay @ The Providence by Mantis,"I could not fault a single thing done by the staff. I could not fault anything in terms of the food and beverages  I could not fault the ambiance, the cleanliness, the proximity to everywhere I went. My wife was exceptionally please with the comfort and General outlook of the place. Keep it up",December 2020,,,wrote a review Jan 2021,Abuja,"['21 contributions', '7 helpful votes']",50,[]
Celebrating New Year @The Providence by Mantis,"When we decided not to travel out of the country for the New year holidays owing to the new wave of COVID 19 ravaging most cities of the world, My Wife and I settled to “try” the Providence by Mantis. This was one of My Best decisions of 2019, as we enjoyed our stay. The Room was comfortable and the Staff were warm, pleasant and professional. The Front Office Manager Mr Dennis was good and helped ensure we stayed. Overall, it was a wonderful short stay, and we shall come back again, God willing.",January 2021,,,wrote a review Jan 2021,,['2 contributions'],40,[]
Home away from Home,"Very friendly staff, the receptionist, porters, waiters, room service, everyone was charming. They sanitized the tables  in the restaurant after every use even if the table was occupied by one person. The bathrooms were extremely neat and the meals were great. They however need to work on the WIFI, it was epileptic. It would be nice to also have the menu available in the room.",January 2021,,,wrote a review Jan 2021,,['1 contribution'],50,[]
Definitely World Class,"This hotel is stunning. Not only is the decor luxurious and gorgeous but the service, staff and food were also excellent. I arrived after midnight and staff were still smiling. They had a 24 hour kitchen so I could order something to eat. The bathroom was sparkling and nicely designed. There was a bathtub and a shower. The mattress was great. I was able to sleep very well. There were two complimentary bottles of water to quench my parched thirst. I would highly recommend this hotel. I hope they can keep up the standard. Definitely world class!!",December 2020,,,wrote a review Dec 2020,"Raleigh, North Carolina","['155 contributions', '37 helpful votes']",50,[]
Business...not as usual!,Came here on a business trip and it turned out to be a good weekend spent! The room and bathroom was sparkling clean and provided the serenity needed after a long day of interacting with colleagues on business strategy.,November 2020,,,wrote a review Nov 2020,"Lagos, Nigeria","['97 contributions', '39 helpful votes']",50,[]
Relaxing and serene,"Covid-compliant, courteous staff, beautiful rooms and bathrooms, good food, overall beautiful experience, will be back. However, a few observations, no menu in rooms which makes room service ordering clumsy and inconvenient, also hotel staff should be seen and not heard.",October 2020,,,wrote a review Oct 2020,,['1 contribution'],40,[]
Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Business stay for a night...,"I found the employees to be very friendly and helpful. The processes for entry in this COVID period were excellent and efficient.   My room was very comfortable, however, depending on the location of your room, it could be noisy from people outside. I found the food options and quality great.",October 2020,,,wrote a review Oct 2020,"Lagos, Nigeria",['7 contributions'],40,[]
