Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
With no doubt number 1 hotel in Lagos.,I have to say that it’s with no doubt the best hotel in Lagos and VI. I really enjoyed my stay . The view from my room was something else. Thanks for the staff and their GM is just a professional gentleman who make the difference.,September 2023,Traveled with family,,wrote a review Yesterday,,['1 contribution'],50,"['Location bubble_50', 'Service bubble_50']"
Comfortable stay in Victoria Island,I enjoyed my stay at this hotel. I liked the swimming pool and its large enough to exercise and located facing the waterfront with great views in the evening.  The hotel looks like it's aging a bit so may not resonate if you like spit polished. The breakfast area also gets a bit crowded.   The location is great if you are on business in Victoria Island. Its close to some very good restaurants in Lagos.,February 2022,Traveled on business,,wrote a review Apr 2022,Maldives,"['68 contributions', '48 helpful votes']",40,[]
Best Hotel in Lagos.,Wow Excellent hotel.Surely it’s the number one hotel in Lagos .Location amazing.The view is stunning and beautiful.Clean rooms.The GM is a humble  man and he will do anything to assist.Staff well trained. I really enjoyed my stay to the maximum.,November 2023,Traveled on business,,wrote a review Nov 16,,['13 contributions'],50,[]
Birthday stay,"The staff at Radisson Blu VI are exceptional. From the security to the front desk officers, the Manager, room service staff…. I was given a room upgrade - Lagoon view, birthday cake, fruits and petals on my bed. This made me feel extra special.",October 2023,,,wrote a review Nov 16,"Lagos, Nigeria",['1 contribution'],50,"['Value bubble_50', 'Rooms bubble_50', 'Location bubble_50', 'Cleanliness bubble_50', 'Service bubble_50', 'Sleep Quality bubble_50']"
Radisson Blu VI,"My overall staying experience was pleasant, and I look forward to my next stay.  While I understand that you will usually call guests at about 11.00 to remind them about checking out, I sometimes feel it is unnecessary, and it feels like some form of disturbance.   May be a guest track record of checking out time should be the determinant of the call.",November 2023,Traveled on business,,wrote a review Nov 5,"Abuja, Nigeria",['1 contribution'],40,"['Value bubble_50', 'Rooms bubble_40', 'Location bubble_40', 'Cleanliness bubble_50', 'Service bubble_40', 'Sleep Quality bubble_40']"
Truly rewarding & relaxing,Excellent staff & services A Business trip has given me a reason to return with my family for a short break after my experience  A definite recommendation to all my contacts. Was extremely satisfied with the entire dining experience and truly amazed at the variety available for breakfast.,November 2023,Traveled on business,,wrote a review Nov 4,"Abuja, Nigeria",['1 contribution'],50,"['Value bubble_50', 'Rooms bubble_50', 'Location bubble_50', 'Cleanliness bubble_50', 'Service bubble_50', 'Sleep Quality bubble_50']"
Simply EXCEPTIONAL SERVICE AND CREW.Pastries for the GODS.,This Hotel re defines excellence! rooms are spacepus and very generous bathrooms. super comfy dream beds and consistent housekeeping! spotless. The meals are a dream! breakfast for the KINGS. chef JOHN at the breakfast egg station doing a great JPOB and the pastry is easily worlds best. executive chef- please send him a bottle of the finest Dom Perignon. reaturant and the security in blue at lobby are very helpful/ the seafront facing rooms and public areas are out of this world. GM Raza - please let the beat of this excellent service  GO ON. well done .despite the many guests evidently in restaurants and conference areas- the quality of service delivery is still world best. Barman Mark and Victo and Lucy on 3rd floor business lounge are stars in the full Galaxy of excellent,October 2023,Traveled on business,Ask for rooms facing Anchorage sea front. 3rd floor executive wing woth the rate.,wrote a review Oct 2023,"Karen, Kenya",['21 contributions'],50,"['Value bubble_40', 'Location bubble_50', 'Service bubble_50']"
8 Nights in a safe enviroment,"Do - Security, safe environment, good location. Sea view, Excellent and friendly staff, quick Response from staff Don't - Beaten by bed buds, my room was change immediately.             Limited breakfast options, more local breakfast",October 2023,,,wrote a review Oct 2023,,['2 contributions'],50,"['Value bubble_50', 'Rooms bubble_40', 'Location bubble_50', 'Cleanliness bubble_40', 'Service bubble_50', 'Sleep Quality bubble_50']"
Timely service recovery,"Stayed 3 nights at this hotel .I appreciated the customer service I received on every day of my stay . The suite I was in did need a major upgrade and revamping  . Some experiences were inexcusable and avoidable . However , I had the opportunity to discuss this with the management . I was assured my Assessments and complaints will be addressed which was reassuring . I do appreciate the  timely service recovery and will give it another chance on my next visit to Nigeria",September 2023,Traveled solo,See room first before booking long stays ,wrote a review Oct 2023,"Laurel, Maryland","['14 contributions', '12 helpful votes']",40,"['Value bubble_30', 'Location bubble_50', 'Service bubble_50']"
5 Star 🌟,"I had a wonderful four-day stay at Radisson Blu with my team and influencers. The rooms were clean and beautiful, the service was excellent, and the staff incredibly friendly. I highly recommend it!  The food was fantastic, and the highlight was their picturesque pool overlooking the lake. With boats and jet skis passing by every minute, it was a truly unique and memorable experience.",October 2023,Traveled on business,My bath didn't have a water stopper ,wrote a review Oct 2023,"Accra, Ghana",['1 contribution'],40,"['Value bubble_40', 'Location bubble_50', 'Service bubble_50']"
Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Good service,Thanks for the good service rendered at the hotel. We enjoyed our stay and all the staffs were so respectful and accommodating. Thanks to Mrs Moji and Mr Johnson for making our stay a memorable one. I’m sure to visit again,October 2023,,,wrote a review Oct 2023,"Lagos, Nigeria",['1 contribution'],40,[]
My Radisson experience,"Great and awesome experience. I will love to return over and over.   Just that I don't know why I purged for several days. Perhaps because of the food. Many of colleagues had similar experiences.  All the same, I love the hotel. Quality is assured.",September 2023,,,wrote a review Sep 2023,"Port Harcourt, Nigeria",['1 contribution'],40,[]
great service,i feel more could be done in terms of room service such as when the rooms get cleaned things should be refilled and replaced. The staff were super kind and considerate. I enjoyed the meals served. However i feel the rooms should be aired out considering the damp nature of lagos state fresh air will do a lot of good,September 2023,,,wrote a review Sep 2023,"Bauchi, Nigeria",['1 contribution'],40,[]
Good location and friendly staff,Good location and friendly staff. Tip for any travellers. I was giving a room on the ground floor this time facing the road and security entrance. It was very noisy (ie car horns etc) and if offered would recommend that you ask to change. It was the last room in the corridor and also took 5 mins for the shower to get past luke warm! Overall however the staff are very friendly and its a good location for business,September 2023,,,wrote a review Sep 2023,"Omagh, United Kingdom","['103 contributions', '74 helpful votes']",30,[]
Beautiful stay at Raddison Blu Victoria Island,"I enjoyed my stay, the staff were so friendly and welcoming. Good food as well.  I travel a lot and I can say the hotel meets their own standards internationally as well as that of other good hotels. Overall a good environment and experience. Highly recommended.",August 2023,,,wrote a review Sep 2023,,"['10 contributions', '1 helpful vote']",50,[]
Nice Place to be,"My 3-day stay in this facility was great and comfortable. The room, meeting hall and the gym that I used were adequate for their purposes. The breakfasts were rich in contents and variety. The lagoon view and the scenery were very soothing. Recommend for someone? I will say YES!",August 2023,,,wrote a review Aug 2023,"Warri, Nigeria","['3 contributions', '2 helpful votes']",40,[]
Rating,I enjoyed the stay and would definitely be back. I liked the location and calm atmosphere with little noise. I liked the fact that the gym was close to my room and I like the equipment Techno gym though more equipment would be good.,August 2023,,,wrote a review Aug 2023,"Enugu, Nigeria",['1 contribution'],50,[]
Home away from home,Experience was superb. I termed it home awy from home because the experience was exiciting and is a place i would love to stay anytime am in lagos. The professionalism of the staff was top notch and the atmosphere was serene.,August 2023,,,wrote a review Aug 2023,,['1 contribution'],40,[]
personal,"perfect place to stay. Enjoyed the view, had some cash payment issues that was not resolved. I think it's good for management to track the manpower shift details to attend to bottleneck issues with customers",July 2023,,,wrote a review Aug 2023,,['1 contribution'],40,[]
Consistent Behaviour,"A one-off great service is satisfactory but when that great service is repetitive and consistent, it is a  COMMENDABLE behavior. After about a month away , i returned and Oluwaseun on the hotels one-touch center has remained consistent in his service oriented responses to my enquires,questions or concerns. Here is a salute to this person and other well trained staff  like the  housekeeping manager Adedayo and his teammate Israel.  ...   Thank you for making my stay stress less!",July 2023,,,wrote a review Jul 2023,,['3 contributions'],50,[]
Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Excepectional Service,"Radisson Blu Anchorage Hotel is like a home to me, the professionalism of the staff, always on point. the location is perfect and the gym is one of the place i always visit any time i come to the hotel. the staff are always smile and ready to help.",July 2023,,,wrote a review Jul 2023,,"['11 contributions', '1 helpful vote']",50,[]
Overall experience was good,"I will recommend this hotel for the view and services. But they could do much more better.  And set themself apart from others. Infuse more of our Nigerian culture in the food and environment. The welcome party should do more in making you feel more ….!offer you water, drinks etc. the hotel environment. Restaurant and rooms also need to be more child friendly",July 2023,,,wrote a review Jul 2023,"Makurdi, Nigeria",['1 contribution'],30,[]
Beautiful,It's a really beautiful place. The room exceeded my expectation. I got value for my money. I got one of the rooms with a view of the water side and it was really beautiful. Keep it up. It's a place I'll like to come to again,July 2023,,,wrote a review Jul 2023,"Lagos, Nigeria",['1 contribution'],50,[]
Probably the best hotel in Lagos.,"My family and I stayed in Radisson Blu Anchorage for a weekend in July, it was the middle of the Nigerian rainy season so it rained non stop, however, we were so comfortable and well looked after by the hotel staff that we took no notice of the rain. My daughter took a liking to the lovely window seat in the equally lovely Lagoon view Premium Room.",July 2023,,,wrote a review Jul 2023,"Lagos, Nigeria",['1 contribution'],50,[]
Birthday party,"OUr private function was really a blast and staff were open to all our requests. Great ambience and environment was clean and quiet, and the event hall was well equipped, AC was even to cold and the fed was so good I definitely got value",July 2023,,,wrote a review Jul 2023,,['1 contribution'],50,[]
Adventure,"I am quite keen about service and I dont usually expect much but at the Blu my thoughts are changing cuz the staff not just one but most that I met were all pleasant and willing to help, that was huge and I totally recommend",July 2023,,,wrote a review Jul 2023,,['1 contribution'],50,[]
Business meeting,"Fantastic! Service was great, staff were really nice and my team members really enjoyed ghe service recei. Did I mention the rooms and environment was vlean and comfortable? Well, it was and we will return",July 2023,,,wrote a review Jul 2023,,['1 contribution'],50,[]
Travels,"Ambience is great, environment is clean and serene, staff are helpful and professional, rokms are comfortable, meals are tasty, it is a complete package for me. Also, I checked out the meeting rooms and I must they are quite well equipped",July 2023,,,wrote a review Jul 2023,,['1 contribution'],50,[]
Couple trip,"Mywife cant stop cant stop singing your praises, we enjoyed our time here, ultimate attention were paid to us, the security,  reception amd restaurants team were all really nice. We were not disappointed one bit",July 2023,,,wrote a review Jul 2023,,['2 contributions'],50,[]
Friends trip,"My friends and I had a blast here, there was daily check up calls, I was a bit down and couldn't go o down for my breakfast and a lady actually made an exception for me that was really thoughtful. Thank you Radisson!",July 2023,,,wrote a review Jul 2023,,['1 contribution'],40,[]
Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Exploring,"I enjoyed my time at the Radisson blu, the dinner buffet was really good, the room I stayed in was comfortable and the view from up there was so beautiful, I felt refreshed at checkout. And the location was central, made it easy to move around",July 2023,,,wrote a review Jul 2023,,['1 contribution'],50,[]
Leisure,"Service was really great, ambience was welcoming and the environment was clean too. The staff were nice and enjoyed the breakfast although attention could be paid more at the outdoors bar cuz you’ll have to call out otherwise it was an Amazing stay!",July 2023,,,wrote a review Jul 2023,"Lagos, Nigeria",['1 contribution'],50,[]
