Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Calm and Chill,The environment is very conducive and charming. I loved their variety of quality dishes. I had an issue with my reservation and I thought it would cause problems but it was sorted quickly. I would highly recommend especially for those that have trouble meeting up with flight times.,October 2022,Traveled solo,"I’ll advise early bookings, quality means more people want to enjoy it too",wrote a review Oct 2022,Worldwide,[],50,"['Value bubble_40', 'Location bubble_50', 'Service bubble_50']"
Had a meeting at the hotel once and my gosh the buffet was amazinggg!!,"Pretty good place to be at😍. Good food, the pool is just soothing. It's a fun place to be at with your family and also enjoy a stay-cation, had a tour of the casino and  God my money goes to that place!! Giving Vegas in Nigeria.💚",September 2022,Traveled solo,,wrote a review Oct 2022,,[],50,"['Value bubble_50', 'Location bubble_50', 'Service bubble_50']"
Lovely meal,"The food tastes so good and it's got a serene environment ,I really enjoyed my stay ,also got a nice swimming pool and gym facilities, it's more like an heaven on earth experience, looking forward to spend more time there.",August 2022,,,wrote a review Oct 2022,,[],40,"['Value bubble_50', 'Location bubble_30', 'Service bubble_40']"
Rollace hotel review,It's a nice and neat environment with hospitable staffs. The facilities are top notch. You get to enjoy a free wifi during your stay. I really enjoy the air and breeze of that environment. I had a nice stay.,October 2022,Traveled solo,,wrote a review Oct 2022,,['1 contribution'],50,[]
Rollace Hotel,Rollace hotel has such a classy and beautiful environment. The room interiors are so beautiful. The workers are so polite too. Tasty and delicious meals were also served definitely going back there. They have a very beautiful swimming pool setting with very good landscape.,September 2022,Traveled on business,,wrote a review Oct 2022,,"['2 contributions', '1 helpful vote']",50,[]
Rollace Hotel,"The hotel is superb, they offer excellent services, and the environment is very beautiful, clean and serene, I will recommend this hotel to anyone seeking that Excellent home away from home experience.",May 2022,Traveled with friends,,wrote a review Oct 2022,,['1 contribution'],50,[]
Just visiting,"Excellent service. Meals awesome,gym service wonderful. Close to the airport also... Neat. Large packing space. Well ventilated too The reception is brilliant too. Would definitely be recommending to friends",September 2022,Traveled solo,,wrote a review Sep 2022,,['2 contributions'],50,[]
"Amazing location, food and service",I went there for dinner and i really enjoyed how peaceful it was. The food was fresh and delicious and the best part was the ROLLACE PLATTER that i ordered. It was one of a kind and ive never forgotten how good it tasted. I and my friends were delighted.”,September 2022,Traveled with friends,,wrote a review Sep 2022,,['1 contribution'],50,[]
Review,"Rollace hotel is a very good hotel within it environ, it is a 3mins drive to the airport, their service is top notch, and their workers are very accommodating and friendly, enough parking space. Would love to visit again",August 2022,Traveled with family,,wrote a review Sep 2022,,['1 contribution'],50,[]
Visitor at the hotel,The hotel officials are very efficient. The guy at the entrance was quick to collect my belongings and the cleaning service did their jobs well. They put on nose masks at all times while cleaning my room. Their hospitality during my stay was to notch. Would definitely visit again.,August 2022,Traveled on business,,wrote a review Sep 2022,,['1 contribution'],50,[]
Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Recommendation,"Not my first stay. I have visited more than 5 times. It's super cool. The rooms are spacious, neat and service is impressive.  They can never disappoint you in bookings. They are hospitable. It is a place to visit because it is accessible.",November 2019,,,wrote a review Feb 2020,,['4 contributions'],50,[]
Underwhelming for such a facility,"The hotel was neat and a great ambience. The room service staff were okay. Unfortunately I can't say the same for front office and restaurant staff who were less friendly and seemed either tired or bored with their work. One even accosted me to tell me that I will have to pay for an extra guest for breakfast, when my colleague was a guest in a different room. He didn't care to ask, instead he started issuing threats. Breakfast was underwhelming and could only manage a slice of break and tea.   The concierge service was very good. I only didn't like the room being checked that all hotel stuff was there in my presence on both check in and check out. I know hotels do this but they don't do it in the presence of the guest. It is humiliating.  They may improve on that and decide to",May 2019,,,wrote a review Jun 2019,,['6 contributions'],30,[]
excellent service,"what an excellent service i got @ Rollace Hotel from their room service to porters, kitchen to barmen to waiters to their management staffs to their receptionist, they are all  professionals in their field of play.",June 2019,,,wrote a review Jun 2019,,"['1 contribution', '1 helpful vote']",50,[]
