Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Excellent  service,"Amos is one of the nicest housekeeping supervisor, very polite, professional and even communicated in my local language and very smart and quick in service as well. I wish you all the very best for your career. Thank you.",September 2023,Traveled on business,,wrote a review Sep 2023,,['1 contribution'],50,[]
Worth staying,Sheraton Lagos has been the go to option for our company. The hotel is extremely old but is huge and gives you a sense of calm in the chaos of Lagos. The restaurant staff are quite accommodating and there is security on each floor. The tennis court is the best in entire Nigeria and the gym is well equipped.,August 2022,Traveled on business,,wrote a review Jul 2023,"Pune, India","['11 contributions', '3 helpful votes']",50,[]
Pay before you leave.,"Had to stay in this hotel for 4 hours as I had a long transit in Lagos. So the interest is to be able to rest. Checked in and had to pay for the room at check in. Ordered room service and then decided to have a quick sleep. I was awaken by a phone call from reception requesting me to pay for room service now as I was checking out in 2 hours. Then 30 minutes later, room service arrives with a credit card machine. All in all, I couldn’t rest which is the first purpose of taking a hotel room during transit. First time in my life I see such a behavior. If you want to rest or be shown respect, avoid this place.",June 2023,Traveled on business,,wrote a review Jun 2023,"Cairo, Egypt","['60 contributions', '45 helpful votes']",10,[]
Suggest you prefer another hotel in Lagos,"The worst service ever not only in Africa, in the entire Sheraton or Marriot network. A simple food takes 1hrs to be delivered, sometimes even 90 minutes. And guess what, no one gives a damn about it, funniest part is they charge 40$ for a burger which arrives after 90 mnts",May 2023,Traveled on business,,wrote a review May 2023,,['1 contribution'],10,[]
Excellence.,Had read a few negative reviews of this hotel. You are all wrong! I am coming towards the end of a 5 day business trip here and I cannot recommend this place highly enough. Every member of staff has been so very kind and helpful to me - EVERY one. Had lunchtime meeting poolside yesterday and was looked after by Victoria and Sonia - two marvellous women who couldn’t do enough for myself and my guests. I’m in Lagos quite a lot and this is my new home.,May 2023,Traveled on business,,wrote a review May 2023,"London, United Kingdom","['21 contributions', '7 helpful votes']",50,[]
Lack of care.,"Back again to the Lagos Sheraton after trying the Radisson Blu for a couple of stays. Same old problems have returned - with no adjoining rooms despite requesting them during the booking process. Reception say that they can't guarantee adjoining rooms - which doesn't make sense when you are staying with two children under the age of 12. The suggestion that 'they will be alright' isn't reassuring after a long and tiring flight. We don't want an upgrade, we don't want a fruit basket (?!), we don't want two rooms vaguely close to one another - we just want an adjoining room when it's been requested in the booking. As one of the recent comments below states, the hotel does appear to have taken a slide. There is a damp odour along the 4th floor corridor. The rooms are old, crumbling",March 2023,,Arriving at the hotel after 6pm seems to result in them giving the adjoining rooms away to other...,wrote a review Apr 2023,"Port Harcourt, Nigeria","['79 contributions', '32 helpful votes']",20,"['Value bubble_40', 'Location bubble_40', 'Service bubble_20']"
Poor value for money,"Pity, standards have drastically dropped at this hotel and the rates charged per night is not justified. Is it the stale stench eminating from the carpets, or the crumbling ceiling tiles in the room held up only by glue & paint, or is it the distain the reception supervisor showed for a points paying guest. Things are not right anymore at this hotel.",February 2023,Traveled solo,,wrote a review Feb 2023,"Northampton, United Kingdom",['1 contribution'],20,[]
"OK and Close to the Airport, but could be More","The stay was generally ok. Nothing exciting to note, except that we came to have a restful stopover weekend but it was far from it. The noise from the music filtered into the rooms very freely even though we were on the 4th floor. The room we were given was next to the staff exit door and every time the door was opened and trolleys wheeled in it would seem as though someone was trying to open our door. The main plus will be the proximity of the hotel to the airport which made it easy to avoid much of the traffic and have a quick check in.",February 2023,,"if you are looking to rest avoid Friday Nights, they have an event where there is noisy music...",wrote a review Feb 2023,"Lagos, Nigeria","['29 contributions', '34 helpful votes']",30,"['Value bubble_40', 'Location bubble_50', 'Service bubble_40']"
Excellent,"Excellent is all I can say about sheraton Lagos. I enjoyed my stay.  When I checked in, it was a night and I felt like changing my room because of the water drops from the AC. On my way back to the lobby I met one of the supervisor ""Amos"" I explained to him and  he followed up to ensure it was fixed. Very well spoken, super friendly and very helpful, I disturb him with many request which they delivered very fast 😃.   Sheraton has excellent staffs front desk, restaurant staffs and housekeepers.",February 2023,Traveled on business,,wrote a review Feb 2023,,['1 contribution'],50,[]
A Pleasant Stay,"Considering the number of reviews here that are less than enthusiastic,  I was pleasantly surprised by what an enjoyable stay I had, due in large part to the warmth and sincerity of my interactions with most of the staff. It was nice to see they treated one another with the same level of respect.  The shower water was lukewarm the first day, but this was corrected the next day without my needing to complain. The club level room was comfortable and had everything I needed.   There was a decent variety of options at the breakfast buffet.",February 2023,Traveled solo,,wrote a review Feb 2023,Los Angeles,"['647 contributions', '175 helpful votes']",50,"['Value bubble_50', 'Location bubble_50', 'Service bubble_50']"
Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Friendly Staff,"The hotel is OK. Not that great compared to other Sheraton Hotels I have been to in the world. This one is Very Very Safe in Nigeria. I noticed the staff are superb. Nigerian staffs at the hotel are very well spoken, super friendly and very helpful. This makes up for everything else. I could come back here over and over again just because of them.",February 2023,,,wrote a review Feb 2023,"Viti Levu, Fiji","['7 contributions', '1 helpful vote']",50,[]
