Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
My stay at Starfire hotel,The staff are exceptional in their care for guests however the facility itself is not new and could use an upgrade. The facility has another location across the hotel which is a bit more modern. I stayed there and enjoyed my stay for 7 days.,January 2022,Traveled solo,,wrote a review Nov 2022,,[],30,[]
Honest review,"I stayed at these Hotel for a couple of nights. I was pleasantly surprised at the level of service I received. The staff was very friendly and helpful. The rooms were quiet and the beds were comfortable. I would recommend this hotel to anyone. Nice quiet hotel with good service from the front desk. Free parking, free wifi which works well. Honestly I highly recommend it, professional welcome, tidy and clean, nice breakfast. I highly recommend him",August 2022,Traveled as a couple,,wrote a review Nov 2022,,['1 contribution'],50,[]
Relaxing place,"The surroundings and the atmosphere is so good I really l liked it. Beautiful  well managed  rooms plus the beautiful decorations.Their food is prepared by professionals,very good! The customer service is of high quality. I really liked my stay in that relaxing place.I recommend everyone to stay in this hotel.",August 2022,Traveled solo,,wrote a review Nov 2022,,['3 contributions'],50,[]
Stay like home ❤️❤️,For sign off purpose from my ship I visited there few month ago. In this hotel I found everything perfet as a 5 star hotel. There room service was also awesome. Most important things also that it is only five minutes way far from nearest airport.,March 2022,Traveled on business,,wrote a review Jun 2022,"Dhaka Division, Bangladesh",['5 contributions'],50,[]
Amazing hotel,"An amazing hotel. Good cuisine and the service is heartwarming.It was a great stay and the service was fantastic from the front desk to the waiter at the bar, it was a relaxing place and it helped me continued doing my work but in a relaxed way. It was a great and relaxing place to hold a conference.",May 2022,Traveled on business,"""Rooms on the south side are quieter""
""Higher floors have less A/C unit noise""",wrote a review May 2022,,['1 contribution'],50,"['Location bubble_50', 'Cleanliness bubble_50', 'Service bubble_50']"
Horrible Experience,"This is definitely a horrible hotel with one of the worst customer service. We made booking and paid for it, arrived late due to flight delays. And our reservation was not made. The staff were so non challant and left us stranded by 11pm at night. I will not recommend this place.",December 2021,Traveled as a couple,,wrote a review Dec 2021,,"['6 contributions', '2 helpful votes']",10,[]
"Average hotel, clean and basic","Positives: Air con in the room, which is much needed! Our air con was broken so they moved us into another room for the night while they fixed it.   Fridge in room which was handy to keep drinks cold.  Staff were generally very helpful and friendly.  Close to the airport   Local shops and restaurants nearby  Negatives: 1 towel per room, even when 2 people are occupying! I had to ask to speak to the manager to complain and we were eventually given another towel. When I asked why this was their policy I was told it was because people steal the towels! Either way I was not impressed.  When the towels are changed, they are not replaced straight away; on numerous times I was unable to dry my hands or shower and had to wait a while until they brought clean towels.  Breakfast was the",February 2020,,,wrote a review Mar 2020,"London, United Kingdom","['119 contributions', '17 helpful votes']",30,[]
Average at best,"My stay at BWS was mixed and I'd say the hotel is average at best. The room was clean and decent enough, I enjoyed the buffet breakfast as the food tasted good (except the milk which was obviously heavily diluted with water), the reception staff were attentive and pleasant and overall the hotel was clean. The room had a small fridge which worked fine as well as a mini safe. There's also a small indoor pool and gym.   Unfortunately however the wifi was non functional thus I couldn't use it at all; the air conditioning unit was poor, I complained about this twice and though the technician did show up, that didn't solve the problem and the room temperature therefore fluctuated between warm and semi cold throughout my stay. The staff at the restaurant perhaps could be a bit more",March 2020,Traveled as a couple,,wrote a review Mar 2020,"Lagos, Nigeria","['747 contributions', '117 helpful votes']",30,[]
BEST WESTERN HOTEL IN ITS TRUE SENSE,"I stayed at the new annex in Victoria Island close to the Bar Beach (as it then was). The beach that used to be across the other side of Ahmadu Bello has been sand-filled and moved many nautical miles in to the Atlantic Ocean. Its so amazing to see new skyscrapers erected in the reclaimed part of Victoria Island. It adds to the glamour of the Hotel as one sees the beautiful scenery from the transparent elevators and also from the room. I also like the in-built swimming pool on the second floor. The restaurant offers very sumptuous but very affordable meals including continental, African and special dishes. There is always car services to and from the airport and other parts of Lagos that has been transformed into a beautiful clean city.  I find it irresistibly attractive in",September 2018,Traveled on business,It is located in secured business parts of Lagos but quite.and lovely styled.,wrote a review Sep 2018,"Abuja, Nigeria","['57 contributions', '7 helpful votes']",40,"['Rooms bubble_50', 'Service bubble_50', 'Sleep Quality bubble_50']"
AVOID AT ALL COSTS!!,"This has to be the worst Best Western in the world!!!  Rooms are disgusting, bathrooms are falling to pieces. Furniture is old. no care or attention taken. Restaurant is ok , however 2 hours to make a 10"" pizza - Dissapointing.  Nothing more to say about the hotel.",July 2018,Traveled on business,Don't stay at this hotel if you want a good room!!,wrote a review Jul 2018,"Lancaster, United Kingdom","['7 contributions', '8 helpful votes']",10,"['Value bubble_10', 'Rooms bubble_10', 'Service bubble_10']"
Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
COMFORTABLE HOTEL,Best Western Starfire  is a nice comfortable hotel located in a very quiet part of Ikeja and close proximity to the airport. The hotel standard is as you would expect from an international chain. it met all my expectations. My only disappointment  was my inability to use the swimming pool as it was undergoing maintenance during the period of my stay. The staff are very friendly .,May 2018,,,wrote a review Jun 2018,,['1 contribution'],40,[]
Quick drink and chat,Came to grab a drink and catch up with a friend who was in Lagos for a seminar holding in the same hotel.  Service was slow but drinks were cold and glasses were clean. Didn't enter any of the rooms nor did I have a proper meal so cannot speak about those.,January 2018,,,wrote a review Mar 2018,,"['111 contributions', '53 helpful votes']",30,[]
Transit,Good and clean hotel. Standard rooms  are small. Friendly staff. Nice complimentary breakfast with many option to choose from. Transportation access is good. Taxify arrived within one minute of call. Low fare to international airport using taxify or uber.,March 2018,,,wrote a review Mar 2018,,"['11 contributions', '2 helpful votes']",40,[]
Dump broom cupboard for a room,"I stayed at this hotel because it’s close to the airport. One of the worst hotels I have ever stayed in comparable only to SPEKE hotel in Uganda.  The staff seemed more concern with taking a payment from me before even showing me the room. The room was small and smelled of dump. The bed sheets had clearly not been changed and I had to get the receptionist to send in clean sheets.  For $70, this was a total rip off. I would be unhappy paying $20 for that room.  The hotel is poorly ventilated. Could hardly sleep either from humming noised that I assume came from the Air cons.",November 2017,,,wrote a review Dec 2017,"London, United Kingdom","['15 contributions', '9 helpful votes']",10,[]
"Near the airport, but........","We spent a night here because we were catching an early flight the next morning. The room was a bit cramped. The bed was a king size but was very uncomfortable. The mattress was very hard and high. Bathroom cleanliness clearly should be looked into. Not much for toiletries. It seemed the room we had was right over the restaurant, as for a long time after we went to bed there was the constant din of cutlery being moved around. We were woken up by the strong smell of cooking early in the morning. Even though, I specifically asked for a quiet room, this was what we got. I made several long distance phone calls before we arrived regarding the room and transportation to and from the airport. But this did not seem to have helped. They offer airport shuttle which you are charged for. I",November 2017,,,wrote a review Dec 2017,"Richmond Hill, Canada","['61 contributions', '35 helpful votes']",30,[]
Good stay,"The place is in a safe area you could walk around at night , the rooms are okay and the hotel is near the airport. The staff are really helpful, polite and kind. The pool is open for use 24/7 it helps because of the heat, you can use the gym too if you wish to. Their food is okay and there are a great deal of restaurants nearby (Dominos, Yellow Chilli , The place and a couple of others)  There is a good relaxing area near the pool or outside the main entrance .  My only pain was the WiFi, it was on and off at times especially when i really needed it. Apart from the dips in net my room didn't have a strong signal so i had to move to the pool area to make calls.",November 2017,,,wrote a review Dec 2017,,"['73 contributions', '10 helpful votes']",40,[]
"Excellent value for money in Lagos, Nigeria","On business and private trips to Lagos, this Best Western Hotel is excellent value for money in the Lagos Mainland area. The staff and especially the Manager on duty were very helpful during my stay, providing all needed assistance to make my stay worthwhile. I liked my room size and the amenities.",August 2017,,,wrote a review Aug 2017,"Calgary, Canada","['5 contributions', '4 helpful votes']",50,[]
