Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
In a class by itself,"I have read many reviews about this hotel on other sites and one of the reviews described it as one of the best-kept secrets in Lagos and I totally agree.   The first deciding factor for me whenever I go into any city is the nearness to the airport, security, and closeness to facilities, especially in a city like Lagos with unpredictable traffic.  Swiss Cottage is situated on a quiet residential street in the Alausa area of Ikeja which means it is a stone's throw to the seat of government in Lagos and also close to restaurants, banks, and the famous Ikeja City Mall. This makes for easy opportunities for relaxation as the mall has countless restaurants,  a cinema,  and numerous cafes.   Another deciding factor was the availability of comfort tools such as air-condition and",March 2022,,,wrote a review Apr 2022,"Accra, Ghana","['54 contributions', '20 helpful votes']",40,[]
"Privacy, Class, Functional Rooms, Courtesy!","If you're seeking quietude in seclusion in an environment that's homely and cosy with courteous staffs to run around fulfilling your preferences, here's your place to be. The environment enables good reflection and very enjoyable meals. I always make a return visit when I need that quiet getaway.",February 2021,Traveled solo,,wrote a review Apr 2021,,"['15 contributions', '16 helpful votes']",50,[]
"Serene environment, secured location, welcoming staffs, comfortable room, delicious meals","Serene environment, secured location, welcoming staff, comfortable room, delicious meals. I was satisfied by their services, most importantly, I got and enjoyed the privacy  I wanted. Swiss Cottage Suites gave me all I wanted in an hotel.  I will definitely check-in over and over again.",November 2020,Traveled on business,All rooms are good because of the location of the hotel and the way the facility is structured.,wrote a review Dec 2020,,['4 contributions'],50,"['Rooms bubble_50', 'Cleanliness bubble_50', 'Service bubble_50']"
Perfect Ambience and Excellent Service Delivery,I had a good time swiss cottage. There staff are well cultured and they deliver their services excellently. They have a good Ambience for business travelers and family. Keep it up. I will surely visit again.,December 2020,Traveled as a couple,,wrote a review Dec 2020,,['1 contribution'],50,[]
Safe Secluded and Clean,"It’s a nice little nest, walking distant to shopright free internet and very clean stayed there now 3 times and nice hideaway from the busy city  Those looking for peace will enjoy this place secure area",May 2018,Traveled on business,,wrote a review Aug 2018,"Dagenham, United Kingdom","['33 contributions', '7 helpful votes']",50,[]
immaculate service and cozy rooms,visiting from Canada myself and my wife were very impressed with the courteous caring staff here and most importantly how private and cozy and clean the rooms were . I wish there were a  lot more places all over  nigeria . I will recomend and stay here anytime we are back .,July 2018,Traveled as a couple,,wrote a review Aug 2018,"Toronto, Canada",['1 contribution'],50,[]
Overpriced! Don't spend a night in this place,"So I booked 2 nights here based on reviews but this was the worst hotel I've ever slept at.   Starting with the location:   It's in a very tight street that barely accommodated 2 opposite lanes. It was hidden and it took the driver 5 minutes to locate it even though the GPS already said we've arrived. We drove into a small creepy compound.  The interior:  I doubt the place was built to be a hotel. It looked like a duplex was converted for commercial service. The lobby looked like a home mini bar. I was ushered to my room and I immediately demanded a change. Reasons being that the rooms were tiny, the bathroom door wouldn't even open completely without bumping into the hand washing basin. The shower leaked, it was small and the window doesn't open. The light was located at the",March 2016,Traveled as a couple,,wrote a review Oct 2016,"Boston, Massachusetts","['84 contributions', '39 helpful votes']",10,"['Cleanliness bubble_20', 'Service bubble_20', 'Sleep Quality bubble_30']"
Quiet and cozy,The facility is really nice and clean. The people are helpful.I love this place. Very cozy.  And the staff are just amazing. Thank you for making my stay amazing. I recommend her for travellers. Security is also very good,October 2015,Traveled solo,,wrote a review Oct 2015,Port Harcourt,"['3 contributions', '1 helpful vote']",40,"['Value bubble_40', 'Rooms bubble_30', 'Service bubble_40']"
"Quite clean, well arranged and courteous staff",First of all the room was extremely clean much more than we exepcted from a BB hotel. It offered a quiet and tranquil ambience/environmnet  Facility is in a central place close to  the famous Ikeja mall. It has limited indoor parking. Breakfast  was average although served on time. Staff extrmely courteous and very helpful,March 2014,Traveled as a couple,Higher floors have less Generator noise,wrote a review Dec 2014,,"['84 contributions', '31 helpful votes']",40,"['Rooms bubble_40', 'Cleanliness bubble_40', 'Service bubble_40']"
Great hideout,"Swiss Cottage Suites Ikeja Lagos, we found very cosy with Friendly staff and hidden away from the hustle of Lagos city. The rooms were well appointed on both occasions we have stayed and the food and drinks requested were severed on time and as expected nevertheless the famous Ikeja mall is just 2 mins away where you can get all required including theSilverbird cinemas which we got as an offer on the first visit.  -Abdul From Dubai",December 2013,Traveled on business,Rooms upstairs are quieter.,wrote a review Feb 2014,"Dubai, United Arab Emirates",['1 contribution'],40,"['Value bubble_40', 'Rooms bubble_40', 'Location bubble_50', 'Cleanliness bubble_40', 'Service bubble_40', 'Sleep Quality bubble_50']"
