Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
DUMP...DO NOT STAY HERE many issues,"First thing to know, The photo images  are all form when they first built this hotel. A fact in Nigeria is that they do not maintain anything very well. Everything is old and falling apart.  The first thing is they have all the bed boxsprings directly on the tile floor and they put a dust ruffle over top of it, then the mattress is on top of that on the floor.   When housekeeping mops they slop a old dirty wet mob against the fabric at the bottom with the box Spring and it's soaking wet and smells.i it is very gross.  Next NEVER any hot water. If you let it run for a 10 to 25 minutes (which to me is a complete total waste of water), You might get a Luke warm temperature. Even if I turn off the air condition in the room it is still very cold to shower.  The pool looks nice but",May 2023,Traveled solo,I have traveled the world in many different type of hotels. I chose this hotel because it was...,wrote a review May 2023,"Belmopan, Belize",['2 contributions'],10,"['Value bubble_20', 'Location bubble_30', 'Service bubble_10']"
Don't Stay Here--Poor Hotel and Worse Customer Service,"I was charged 3 TIMES for the same room, with staff claiming their machine was not working.  I ultimately was charged 3x, and am now having to deal with my credit card to get a refund.  The hotel knows their mistake and they won't resolve it!!  Really terrible overall--WiFi dropped consistently making it impossible to work.  Water went out during my stay and couldn't shower; I don't even want to think how they were serving food in the restaurant.  Breakfast not included, which is another low point.  Much nicer options on VI available.",February 2023,Traveled on business,,wrote a review Feb 2023,,"['3 contributions', '3 helpful votes']",10,"['Value bubble_20', 'Location bubble_40', 'Service bubble_10']"
Value for money,"The hotel is in a good location and there is free wifi. Some of the rooms need updating. There is ALWAYS a delay when the facility switches over to the generator after a power cut which can be a tad irritating.  A good tip is to ask for a room on the 6th floor facing the Eko Atlantic development. The breakfast is not bad and the eggs quite good! The main saving grace of this hotel is its staff. They are the jewel in its crown. Courteous, helpful and very responsive, I may actually go back for another stay as they made our time their very comfortable.",January 2020,,,wrote a review Feb 2020,"London, England, United Kingdom","['6 contributions', '3 helpful votes']",40,[]
Nice and Comfortable in Lagos..,"Whilst on a business trip to Nigeria, the company had made reservations for me at the Avenue Suites Hotel on Victoria Island, the hotel is safe and secure and close to many venues in Lagos, Victoria Island itself is a nice pace to stay and with plenty bars and restaurants often frequented by expats mainly from the UK and other European countries. The hotel was comfortable, clean, the rooms however are looking a bit tired and if you ask for a non-smoking room, they don't exist ..I asked for a non-smoking room but the smell of smoking by previous clients is noticeable when you enter the room.. TV channels are limited, there is free Wi-Fi throughout the hotel. The restaurant on the 6th Floor offers a panorama view and a wide range of choice and the food is well presented, however,",October 2019,Traveled on business,,wrote a review Oct 2019,"Ho Chi Minh City, Vietnam","['132 contributions', '115 helpful votes']",40,"['Location bubble_40', 'Cleanliness bubble_40', 'Service bubble_30']"
"Food always on point, Internet is also reliable","I give 'The Avenue Suites' 4 stars because even though they have found a way to make certain that their food is on point and their Internet dependable, the Uptown shogun restaurant on the 6th floor managed to mix up my dinner request serving me chilli chicken and chips instead of chilli fish and chips. My key card also stopped working during my stay but they surpassed my expectations. The Manager and this other Lady were amazing as they offered me a drink on the house while I waited to get the door sorted. The Kamikaze cocktail was on the house and they fixed the door in little or no time. I would definitely recommend this hotel because of it's serenity as well. It is also situated just next to the Bar Beach (not sure this still functions though) and presents one with a",July 2019,Traveled on business,,wrote a review Jul 2019,"Port Harcourt, Nigeria","['724 contributions', '26 helpful votes']",40,[]
Wonderful hotel,"You'll really feel there at home, all are welcoming and helpful, clean and spacious rooms, wonderful food and much varieties in their menu, they have also a very nice restaurant with delicious food especially Suchi was wonderful .. location is super , very much recommended to stay whenever in Lagos ..",July 2018,Traveled on business,,wrote a review Aug 2018,"Beirut, Lebanon","['245 contributions', '60 helpful votes']",50,[]
One of the best place in Lagos,"this Hotel is a great surprise! Especially if you plan to stay on Victoria Island, I highly recommend the Avenue Suites.  Check-In was very fast and the room I had on the 6th floor has a wonderful view over Eko Atlantic City.  I also highly recommend the top floor restaurant. Fantastic food, great wine choices, especially for Lagos, maybe a little bit pricey but still ok. Sushi is very tasty, and also the giant prawns.  I know where to stay next time I come to Lagos!",June 2018,Traveled on business,,wrote a review Jun 2018,"Stuttgart, Germany","['43 contributions', '4 helpful votes']",50,[]
Nice Suite,Spent one night at the Avenue Suites on a last minute personal booking after Blowfish Hotel and Hotel.com let me down on my previous booking. The rooms are large and comfortable with all the amenities you would expect to see in a 5 star Hotel. From the my third floor room I had a great view across the Victoria Island shorefront. The restaurant on the top floor also has large panoramic views and the food is very good. Service was good and the staff welcoming. I will definitely stay there again on my next trip to Lagos.,March 2018,,,wrote a review Apr 2018,"London, United Kingdom","['45 contributions', '13 helpful votes']",40,[]
Good location.. could do alot better..,"The hotel reception was modern and beautiful but the scent coould have been  more inviting than stale. The receptionist who checked us in gave us a lower floor and insisted all their upper rooms we booked which wasnt true. She also said she gave us a free upgrade which wasnt true. Rooms were cleans and tastefully furnished. Toiletries were provided. Breakfast is free for one only... but the breakfast wasnt nice throughout my stay.. same dishes.. and nothing spectacular. Upon checking out, they insisted i had dinner which was charged to my room.. which of course i didnt have. Theres adequate parking space, good location and a quite pool area.",April 2018,Traveled solo,,wrote a review Apr 2018,,"['108 contributions', '51 helpful votes']",30,[]
Not Reommended,Don't let the location and the facade of the building fool you. Rooms are old and basic. WiFi is ok and the breakfast is fine. Service is not great. Staff lazy and full of excuses. Don't recommend as not cheap.,January 2018,Traveled on business,,wrote a review Jan 2018,"Columbia, Maryland","['41 contributions', '15 helpful votes']",20,[]
