Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Incredible Experience!,"We had such a wonderful time here at Blowfish!  Clean & Spacious Room, Wonderful Balcony view.  Excellent Room Service, great restaurant choices, food was great including the breakfast.  We Enjoyed our stay, and we will be back.  This was our 2nd time at this hotel, and they made wonderful improvements especially to the breakfast.    Has a really nice nighttime outdoor view and vibe with relaxing music.  The service was outstanding. Staff was so professional and super nice and helpful.",November 2022,,,wrote a review Dec 2022,,['1 contribution'],50,"['Value bubble_50', 'Service bubble_50', 'Sleep Quality bubble_50']"
Grubby grimy and grim,I cannot support any of the positive from other travellers. My colleague and I had terribly dirty and noisy rooms. Not at all what is advertised on the website. Stains on sheets. Towels stained and Ash grey.  Pool facing room overheard loud music till early hours of the morning. Check the pictures and decide for yourself. Despite poor standard compared to international prices this was expensive.  Good somewhere else.,August 2022,Traveled on business,Don't book here. Rooms away from pool area are quiter. ,wrote a review Aug 2022,"Johannesburg, South Africa","['765 contributions', '147 helpful votes']",10,[]
Unpleasant Outing,"It was a harrowing experience on the night of 21 May 2022. Had booked and organised a small get together for staff of Globacom. Was astonished to find upon reaching Woks (the restaurant), the disorganised, unconcerned and unprofessional seating arrangement for the guests. One small square table was attached with two larger circular tables on its sides, with wall fixed straight sitting on one side, and independant chairs on the other, which was an extremely inconvenient arrangement for the guests to sit, reach the table, and be able to  enjoy their meals, and the evening. After getting personally involved and demanding change, I was able to get the circular tableat one end replaced with two square tables, and bringing in some sense of alignment. No initiative was forthcoming or",May 2022,Traveled with friends,,wrote a review May 2022,"Lagos, Nigeria","['1 contribution', '1 helpful vote']",10,[]
Little Things Mean A Lot!!,"I stayed at the Blowfish hotel on 13th January 2022. It was advertised as a four star hotel. The signing in was uncomplicated and the reception staff were helpful and efficient. I booked a deluxe room and was taken there. The room was good - neat, tidy and spacious. The air conditioner worked. The bed was comfortable. It was nice to have a bath in the accommodation as well as a shower. So given all of that why does it only merit a rating of 3? Well, because when you book a four star hotel you don't just expect accommodation of good quality - you also expect a four star hotel to have an eye for and an attention to detail. This was sadly lacking.  Firstly, having stayed in hotels in different locations of different quality for the past 40 years, this is the first time I have",January 2022,,,wrote a review Jan 2022,"Milton Keynes, United Kingdom","['81 contributions', '37 helpful votes']",30,"['Rooms bubble_30', 'Service bubble_40', 'Sleep Quality bubble_40']"
Very nicely presented,"Overall I was very pleased with the hotel, what you need when travelling  A clean hotel and good staff and a fairly decent restaurant all these tick boxes were answered very competently  Only slight annoyance was that the bathroom shower leaked back into the main bathroom causing a wet mess but nothing that a towel could not clean up, just needs some attention room 302 But overall a good stay",November 2021,Traveled on business,,wrote a review Nov 2021,"West Sussex, United Kingdom","['169 contributions', '74 helpful votes']",40,[]
Very bad experience,I made payment at the hotel.before checking in like every normal protocol and just when I wanted to check out. They said they needed to make payment confirmation and became all dramatic that I have not paid for the room. It seemed so embarrassing and frustrating only to find out that I had made payments. The least of things their food was horrible. Never going there again for any reason.,April 2021,Traveled solo,,wrote a review Apr 2021,,['1 contribution'],10,[]
Blowfish Restaurant Great place to lunch,"I was in Nigeria for one week and I wanted to test new restaurants, was too borrd of going the same places for 20 years and a friend recommended the Blowfish honestly first impression was great you notice quality with the gardens swiming pool etc  They have a mixed cuidine Thai Italian and some touches lebanese but I strongly recommend the cheesecake one of the best i ever ate.  Totally recommend it for your business meetings and i forget wifi works fantastic.  Definitely will come back",March 2021,,,wrote a review Mar 2021,"Madrid, Spain","['53 contributions', '31 helpful votes']",40,[]
Great stay! Highly recommend,Me and my husband had a great stay at The Blowfish Hotel!  Style of the hotel is unique and quirky exactly how it looked on pictures we had seen!  We stayed there for two nights great location lots of accessible places.  We would definitely visit again!,December 2020,Traveled as a couple,,wrote a review Dec 2020,"Northolt, United Kingdom","['17 contributions', '18 helpful votes']",50,[]
Great value,"Even if the hotel is getting old, it remains a great value with nice staff and management. Breakfast is amazing, but the restaurant attached is highly expensive and with very small portions. Avoid the weekend for your stay, as parties are running near the pool, and this is very very noisy",November 2020,Traveled on business,,wrote a review Dec 2020,"Paris, France","['306 contributions', '114 helpful votes']",40,"['Location bubble_40', 'Cleanliness bubble_40', 'Service bubble_40']"
Excellent Services,"My experience at the Blowfish was excellent, good customer relations, their food was also palatable, in fact I had to order a takeaway when checking out. The room was well put together, nice and world class furniture, their toiletries concept was wow! You can always have a meeting in any of their restaurant with friends and you can see them still adding new concepts to accommodate the toddlers and every age group. The swimming pool area is a beautiful sight to beheld.  In a nutshell, I had a swell time there.",September 2020,,,wrote a review Oct 2020,,['2 contributions'],50,"['Rooms bubble_50', 'Location bubble_50', 'Service bubble_50']"
