Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Room booking,"Terrible room reservation service, booking a room takes hours. And their front office call center staff are very unprofessional.   No response from only booking option which is Email   No open media or quick response support, while most  lagos hotels offering friendly and convenience services   Not booking rooms again with all those  difficult procedures",November 2023,Traveled on business,,wrote a review Nov 13,,['2 contributions'],20,[]
Very Good Event Center,Had a wedding reception at the Bimoral Hall Located at the Federal Palace Hotel and Casino. The staff were very professional and ensured all our needs were met. The halls were kept cool thought out the function and the power didn’t fail at any point in time. The management team were always an email way for any questions. Highly recommended!,September 2023,Traveled with family,"For hotel reservations, make sure you have your NIN available prior to check in. For...",wrote a review Oct 2023,,['5 contributions'],50,[]
Zero value for money!,"Totally outdated, room stinks, stained towels & carpets, food not great and premium charges for ironing, as they wouldn’t supply iron & the board for free.",June 2023,Traveled as a couple,,wrote a review Jun 2023,,"['3 contributions', '1 helpful vote']",10,[]
I travelled there for a business and needed a cool place to stay for a while and someone referred me to the hotel truth,"A very serene hotel with well trained staffs that renders quality services to thier customers. A very clean environment, quite and peaceful. It's very cool for different purposes. If you're looking for a good place to stay if you find yourself around this location, this hotel is the best .",April 2023,Traveled on business,,wrote a review May 2023,,['2 contributions'],50,"['Value bubble_40', 'Location bubble_40', 'Service bubble_40']"
Outdoor Running Facility - Do able but could be better.,Lovely Hotel - But needs and proper outdoor running track around the surrounds of the hotel.  Hotel could use the most of the lovely scenic views for hotel guests who want to walk or run or even both around the perimeter of the hotel. Loops!!  Staff are nice and professional. Hotel is clean and lots of pool area over looking the Atlantic.,February 2023,Traveled with friends,,wrote a review Feb 2023,"Surrey, United Kingdom","['2 contributions', '3 helpful votes']",40,[]
Federal Palace Lagos The People make the visit.,"Monday January 30, 2023  The General Manager Federal Palace Hotel 6-8 Ahmadu Bello Way Victoria Island, Lagos  Dear Sir,  I write to you today to express my gratitude for a very relaxing weekend spent at Federal Palace.  My husband and I checked in on Friday January 27, 2023 and left Sunday January 29th, 2023. We were attending the Small World function hosted by Federal Palace on Saturday January, 2023. We were in room 419.  I wanted to bring to your attention the outstanding attitude, friendliness and professionalism of all the staff we encountered from security, to cleaning staff, waiters and waitresses, front desk individuals and those we had the opportunity to interact with,  Your staff are truly your best feature. They",January 2023,Traveled as a couple,"Things take a bt of time but the staff is brilliant, friendly, hardworking and personable.",wrote a review Jan 2023,,[],50,"['Value bubble_50', 'Location bubble_50', 'Service bubble_50']"
Would never stay here again,"Very poor service on everything. Staff appear sad and unmotivated. Only the concierge staff were professional and friendly. Even with a handful of people in bar area, one always had to go up and ask for a menu otherwise ignored. A colleague also staying at the hotel was physicaly assaulted by a police officer working on security as she re-entered hotel when her driver had a puncture at the gate. Duty Manager didn't seem particularly concerned, offered no apology and it took some doing for a report to be filed and culprit produced by hotel. Couldn't wait to get out. Stick to being a casino.",November 2022,Traveled on business,,wrote a review Dec 2022,"London, United Kingdom","['5 contributions', '1 helpful vote']",10,[]
In need of a total retrofit,"This hotel was recommended by several people who had previously stayed at the hotel. Sadly, the lobby was the best feature. Rooms were very out of date and in need or repair and updating. The beds were clean and comfortable but electrical outlets (there were only 2) did not work - just one. Showers need to be refilled, floors need to be replaced, etc. strangely the hotel is used by many conventions and meetings - and the crowd is nice",November 2022,Traveled on business,Avoid this hotel until they update the property.,wrote a review Nov 2022,"British Columbia, Canada","['1577 contributions', '195 helpful votes']",30,[]
Bad service,I am a regular guest at the federal palace but my last visit wasn't impressive. I got bad service from the big waitress at the breakfast restaurant. Thanks to Micheal the waiter is more professional..,November 2022,Traveled on business,,wrote a review Nov 2022,,['2 contributions'],20,[]
Would not stay here again.,"Stayed a week during a business trip and it was really not enjoyable. No separate showers, shower head in the bath and water was only lukewarm despite asking them to turn it up. Waited 2 hours for room service after I was told that it will be 30-35 minutes when I ordered. Luckily the food was good but after 2 hours of waiting it was not worth it. Experience in the restaurant during the evenings was similar.  Food orders took forever. Gym well equipped and clean - a pity the air conditioners did not work which made it almost unbearable as there are no opening windows. Most of the staff was friendly and helpful but there is definitely something wrong with housekeeping and the kitchen.  I am sure you can find better service and quality at a similar rate on Victoria Island",June 2022,Traveled on business,City Facing rooms were relatively quiet but it could be because it was during the week with very...,wrote a review Jun 2022,,['1 contribution'],10,"['Cleanliness bubble_30', 'Service bubble_10', 'Sleep Quality bubble_40']"
