Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
The best Oasis of Calm in a Chaotic Lagos.,"Well The George, you certainly lived up to the great reviews that others have been giving you.   It was a very pleasant experience for me staying with you, with all the staff extreme courteous and very helpful.  The facilities were top notch and the food and drinks were very good.  What I loved most was the fact it was a quiet boutique hotel which was an oasis from the hustle and bustle of my short and busy trip.   Well done.  Please keep up the good service and congratulations to the management team who help run such a great hotel.",November 2023,Traveled solo,Just enjoy,wrote a review Nov 7,"Trowbridge, United Kingdom","['1 contribution', '3 helpful votes']",50,"['Value bubble_50', 'Location bubble_50', 'Service bubble_50']"
The Hidden Gem of Ikoyi.,The Hidden Gem of Ikoyi.🇳🇬  I stayed at The George for 8 nights and from checking-in the service was seamless and professional.  The front desk staff immediately responds and resolves all issues and concerns.  The rooms are spacious and well designed and the bedding will give you the perfect Night Sleep and Nap.  A beautiful hotel boutique hotel with an exceptional restaurant which is underrated.  You must try the Fish Stew and the Okra Seafood.  The breakfast as well with a variety of options.  Sunday Brunch is a must with live music. The pool is esthetically pleasing but unused. I used the gym often which is well equipped.  I gave a 4 because there were quickly resolved noise issues with some of the guests.,August 2023,Traveled solo,There will be some sporadic power surges but no total blackouts. The surrounding area is very...,wrote a review Aug 2023,"New York City, New York","['292 contributions', '956 helpful votes']",40,[]
Darlington,"Awesome experience with quality and friendly customer services accros all departments.   I was delighted with the meals, great chefs.   I must say if you want to experience class away from home, The George Hotel is your best bet, I can assure you.",July 2022,Traveled on business,,wrote a review Jul 2022,,"['1 contribution', '2 helpful votes']",50,[]
Luxury in Lagos,Beautiful hotel. Excellent service during my short stay. Room was of adequate size and bathroom was very nice with waterfall shower/tub combo. Mini bar with nonalcoholic drinks was complementary. My family enjoyed the pool and poolside service. This hotel will not disappoint.,July 2022,Traveled as a couple,,wrote a review Jul 2022,"Houston, Texas","['19 contributions', '27 helpful votes']",50,[]
Great stay in spacious accommodation,Had a great stay at The George. Thank you to the wonderful staff who were always friendly and ready to help. The room was very large and comfortable. It was definitely very well serviced and had all the amenities I needed for an enjoyable stay. Would definitely stay here again.,June 2022,Traveled on business,,wrote a review Jun 2022,South Africa,"['15 contributions', '1 helpful vote']",50,[]
GOOD...,"Visited with family and stayed a few nights. The location is good in highbrow Ikoyi area, though the opposite property is currently undergoing construction. This is a luxury hotel but comes quite expensive compared to others in the neighbourhood. The rooms are spacious and quite comfortable, richly furnished ditto the bathrooms with high speed showers.  However, the meals were not fantastic despite their huge cost. Buffet breakfast could do with more offerings. The George is a good place to splurge though.",May 2022,,2nd floor and above  are quieter,wrote a review May 2022,"Lagos, Nigeria","['1348 contributions', '56 helpful votes']",40,"['Location bubble_40', 'Service bubble_30', 'Sleep Quality bubble_40']"
SAMs review,"I had a good time at the George, excellent service,excellent breakfast, good staffs, cozy rooms. I would love to come in every once in a while to have a good time I’ll also share my experience with my friends so they can come enjoy this awesome place with me.😊",April 2022,Traveled with friends,,wrote a review Apr 2022,,"['1 contribution', '2 helpful votes']",50,[]
Serenity in Lagos,"I had a very enjoyable stay at The George. I loved the environment, location, it was quiet and transported me away from the noisy Lagos city. I had an overall enjoyable stay. They could improve the experience by making it easier for guests to access feminine hygiene products.",March 2022,Traveled on business,,wrote a review Apr 2022,,"['7 contributions', '1 helpful vote']",50,"['Value bubble_30', 'Rooms bubble_50', 'Service bubble_40']"
"Quality hotel, good service","Quality facility, comfortable and spacious rooms. Good service in the room, the restaurant, and the lounge area out by the pool.  Good breakfast - you can choose to eat western style or typical Nigerian food. Similar for the regular restaurant menu. Workout room is air conditioned; maybe a little small but has some pretty standard equipment.  The pool looks a little green at times.",March 2022,Traveled on business,,wrote a review Mar 2022,,['2 contributions'],50,[]
Great Hotel,Worth every penny. Friendly staff great food. Very clean accommodation with top notch services   Highly recommended if you r coming to Lagos and need an excellent place t stay whether it’s for business or pleasure,March 2022,Traveled with friends,,wrote a review Mar 2022,,['1 contribution'],50,[]
The Goerge,"Pleasant staff, comfortable bed and really clean. I particularly enjoyed the service from the front office staff, they made sure we were happy with the room and remained at our disposal for any changes. Great introduction to Nigeria. I will stay the George again.",March 2022,,,wrote a review Mar 2022,,"['4 contributions', '1 helpful vote']",50,[]
Worth it,"The place is of good Quality relaxing cool ambient worth it. I would visit over and over again  because I lived and enjoyed d dry single moment I spent here . If I had the opportunity, I’d stay here over and again whenever I pay a visit to Lagos state",March 2022,,,wrote a review Mar 2022,Türkiye,"['16 contributions', '9 helpful votes']",50,[]
Outstanding small hotel,"Really enjoyed my stay in this clean, modern, stylish hotel with good food, friendly and helpful staff, well appointed gym and safe, secure environment. Lovely peaceful walled garden with pool and terrace is a real plus and a haven in bustling Lagos.",March 2022,,,wrote a review Mar 2022,,['1 contribution'],50,[]
Visit Lagos for Meetings,"I can not think of anything wrong or to complain about this hotel, the standards are equal to or superior than many international 5 star hotels, the service is very warm and friendly, the food is good, even the car hire drivers who service the hotel are courteous clean and safe,",March 2022,,,wrote a review Mar 2022,,['1 contribution'],50,[]
Best hotel in Lagos.,"My go to hotel in Lagos, do not hesitate to stay there! Great environment, friendly staff amazing location. Owners are amazing as well and always available to greet their customers. You won't regret staying there.",March 2022,,,wrote a review Mar 2022,,['2 contributions'],50,[]
A wonderful weekend experience!,It was my first time staying here and I must say I really enjoyed it. The staff was super nice and very helpful  - my flight was severely delayed and everyone was so accommodating. I had a suite and it was nicely laid out with all the amenities I could want plus good coffee (Nespresso) since I am not a big instant fan. They also had masks and alcohol sprays.  The food was also pretty good. I usually go out to restaurants but I found that restaurant at the George was really good so I ate there quite a bit. They also have a nice pool area with a gym.,March 2022,,,wrote a review Mar 2022,New York,"['10 contributions', '6 helpful votes']",50,[]
A beautiful stay at The George,Food was amazing. Loved the room and the staff were very friendly. I used the gym and the swimming pool. Very clean and organized hotel. Issues were resolved quickly. Will be coming back again. Can’t wait!!,March 2022,,,wrote a review Mar 2022,,"['1 contribution', '1 helpful vote']",50,[]
Safe and Secure.  Excellent service.,"The George was a fantastic place to stay for my recent business trip.  The location is great, the service excellent, and the atmosphere is perfect for conducting business meetings.  Highly recommend this location.",February 2022,,,wrote a review Mar 2022,California,"['2 contributions', '2 helpful votes']",50,[]
Good time,"This hotel provides luxury aesthetics, clean room, tasty breakfast, and warm service. I highly recommend the first time visitors to stay here. The concierge and other staffs are nice and friendly but professional at the same time. I enjoyed spending my holiday here. Thank you!",February 2022,,,wrote a review Feb 2022,"Nairobi, Kenya","['1 contribution', '1 helpful vote']",50,[]
First time Lagos,We flew in Lagos for the first time for a business trip from Dubai - we were originally supposed to stay only one night in George hotel -   The welcoming atmosphere and the practical  location made us increase the duration for 4 additional nights -  Friendly team - great set up and cosy atmosphère !   Would definitely recommend Georges to any new visitors.   We flew from Dubai where we have a lot of hotel and George is definitely up to international standards   Great poil set up as well,February 2022,,,wrote a review Feb 2022,,"['10 contributions', '7 helpful votes']",50,[]
"EXCELLENT MANAGEMENT ,,","One of the few hotels where you see the manager on the floor most of the time, instead of an office.  We stayed 9 nights and whatever problem we had, was attended immediately and rectified .  The staff is friendly and helpful.  Great front office desk.  The food is surprisingly good.",February 2022,,,wrote a review Feb 2022,"London, United Kingdom","['289 contributions', '320 helpful votes']",50,[]
A Fantastic St Valentines Stay!,In short OUTSTANDING - The George is one of Lagos' true high end hotels.  This visit was a St Valentines Day break for my wife and I. At every turn the hotel exceeded my expectations - from a call in the morning (before my arrival) to offer complementary room decorations; resulting in petals and chocolates - a true 'welcome' to the room. Poolside margaritas served by James in the afternoon was just the tonic we needed; before the St Valentines buffet dinner - complete with complimentary bubbly. A wonderful stay - great staff - great place.,February 2022,,,wrote a review Feb 2022,,"['1 contribution', '1 helpful vote']",50,[]
Funeral,"A nice and cosy hotel. Everyone was nice and happy. We felt very welcome. The food was excellent, especially the club sandwich and the pepper soup. We got dinner at all hours, I asked is it too late for dinner? They answered: I is never to late for dinner 😁",January 2022,,,wrote a review Feb 2022,,['1 contribution'],40,[]
My Experience at The George Lagos,I checked into The George Lagos for a business visit organized by our company and my stay was really amazing.  I like that the ambiance of the hotel was serene and the staff were professional yet friendly.   The cleaners did their job just on time and the food was tasteful.   I look forward to coming to spend time here again,January 2022,,,wrote a review Jan 2022,,['1 contribution'],50,[]
Review,"We stayed at The George Lagos during a get away weekend in Lagos. It’s a really nice hotel, clean, comfortable and well equipped. Flawless communication with the staff members and the food was amazing.",January 2022,,,wrote a review Jan 2022,"Lagos, Nigeria",['1 contribution'],50,[]
Very Impressive,"It offered the best , good distance to my place of business. And afterwards a restful and clean room to come back to. Great food too.  Finally very responsive and attentive staff... especially Uche , Saheed and Sonny. Think it's best i have stayed at in Lagos.",October 2021,,,wrote a review Nov 2021,,['1 contribution'],50,[]
"Great service, great facilities","The George makes other hotels in Lagos pale in comparison. Delightful and helpful staff, great ambiance, excellent service, comfy beds, wonderful meals...and a Well-equipped gym and pool. All you need is here!😗The breakfast is sumptuous with a great array of choice.",September 2021,,,wrote a review Sep 2021,"Nairobi, Kenya","['1290 contributions', '211 helpful votes']",50,[]
Mr. Joses,"The George is located in a serene environment, nice and friendly staff, the food was fantastic and the bar man? Wow!  I would stay here anytime I am in town and I recommend to a family for Christmas! It is a home away from home.",August 2021,,,wrote a review Aug 2021,,"['1 contribution', '1 helpful vote']",50,[]
Review,"Thanks THE GEORGE, I had an amazing time staying in your hotel. I received a warm reception as soon as I stepped in to the hotel.   I enjoyed my stay here and I know where to come to, anytime I come visiting Lagos. The food was amazing, and the restaurant is beautiful. Our meetings went smoothly.",April 2021,,,wrote a review Aug 2021,,"['1 contribution', '1 helpful vote']",50,[]
Engineer,Great hotel Clean  The chicken and beef soyas are great The towels are cleaned The staff is professional and quick to react No major damages observed  Well positioned within Lagos Island and around many businesses.  They are also nice restaurants around to eat out,March 2021,,,wrote a review Mar 2021,,['1 contribution'],50,[]
Girls trip,"It was really amazing. Top notch customer service, wonderful ambience, tasty food! My friends and I had so much fun. Definitely recommending to everyone I know and most definitely visiting again. Xoxo",March 2021,,,wrote a review Mar 2021,,['1 contribution'],50,[]
Excellent customer service.,"It is home away from home, the front desk personnel were so niceeeee! you should also try their lemonade drink, tastes exactly the way it is in the U.S. and also their chicken, I totally enjoyed every bite.",December 2020,,,wrote a review Feb 2021,"Lagos State, Nigeria",['1 contribution'],50,[]
Myself,"It is a beautiful and interesting place . Breakfast is amazing and interesting and also picture friendly  . It is good for meeting , family, friendly time  . The room it is for you to find out for your self 😝",February 2021,,,wrote a review Feb 2021,"Lagos, Nigeria","['73 contributions', '66 helpful votes']",50,[]
Amazing!,"Had the pleasure to stay at The George for 3 nights and everything’s been amazing: from the moment I stepped foot in the hotel until the day I checked out. The hotel is beautiful, quiet, and very clean. The reception team are very nice and caring, room service is extremely efficient and the food is delicious. Hope to come back very soon.  :)",January 2021,,,wrote a review Jan 2021,,"['3 contributions', '4 helpful votes']",50,[]
Amazing staff and world class hotel,"I must confess, the George is a total package with  the state of art furnishing, courteous and friendly  staff. It is the best hotel in Lagos. The environment was very serene and their food was top notch .The admin manager(Mrs Ifieme) and the front desk officer (chidimma ) were simply amazing.",January 2021,,,wrote a review Jan 2021,,['2 contributions'],50,[]
Beautifully presented & Serene,"The George stands out... Beautiful place Staff were very courteous & friendly Ambience was just spot on, breakfast good Very impressive indeed, lovely the wonderful paintings This hotel has be the best in Lagos & I've experienced just about all. None of the ""Brand Name"" hotels come close.",December 2020,,,wrote a review Dec 2020,"Port Harcourt, Nigeria",['1 contribution'],50,[]
"Amazing hotel, amazing staff!","Serene environment, courteous staff, and a very pleasant, responsive, and accommodating manager (Jessica). Regardless of whether I'm in Lagos for business or pleasure, The George is where I want to be. It's always a great experience here, looking forward to many more pleasant stays.",November 2020,,,wrote a review Dec 2020,,['1 contribution'],50,[]
Retreat,"Very friendly staff and the best service I’ve had in a hotel in Lagos. Superb bartender and chef. Absolutely loved the rooms, very spacious and all comforts are provided to the guest for their stay. Would rate my stay 10 out of 10.",November 2020,,,wrote a review Nov 2020,,['1 contribution'],50,[]
"Stunning Comfortable Exquisite Hotel Ikoyi, Lagos","I had the honor and joy of recently staying at The George Hotel in Ikoyi, Lagos as I was preaching several days at a local church. I can’t say enough about the professionalism, kindness, and stunning nature of this hotel. Beyond any hotel I’ve ever stayed in. As a missionary I rarely stay in any hotel near this quality. The restaurant and service are equally outstanding. I would assign this hotel as high as possible! Security in Nigeria can be a concern for western visitors (my 18th mission here) and I would give this facility the highest rating possible for a sense of security!",February 2020,,,wrote a review Feb 2020,"Atlanta, Georgia","['304 contributions', '127 helpful votes']",50,[]
Oh King George,"The George Hotel is definitely top of my favourite hotels in Lagos, the hotel feels very secure and the rooms are spacious. Though it is in a closed-off environment, the ambience around the hotel creates its own little community and a very good late evening vibe.  The room offered a nice selection of Nespresso capsule, which was delightful and happy to replenish (if asked nicely ;) ). Truly enjoyed the few days at the hotel and count on staying again when next in Lagos.",September 2019,,,wrote a review Feb 2020,"London, United Kingdom","['22 contributions', '36 helpful votes']",50,[]
"Impressed with the George Hotel employee, Tope - made the visit perfect",This is my third visit to The George this year. I would stay nowhere else in Lagos. The safe atmosphere takes you out of the Lagos hustle bustle. The hotel manager is always around getting involved to ensure everything is perfect. The people are friendly and you feel the privacy.  I had a server out by the pool each time I came. Her name is Tope. She made sure to keep an eye on me to see if I ever signaled like I needed a drink or had a question. She would appear magically out of thin air! People like this make The George a special place.   They are my Nigerian second family!,December 2019,,,wrote a review Dec 2019,,"['1 contribution', '1 helpful vote']",50,[]
Best hotel in Lagos,"For me this is the best hotel in Lagos, I’m usually here for at least 20-40 nights in a year, breakfast is good, Internet wasn’t for while but they improved it. It’s in a great location in ikoyi, close to the business district of Victoria island and also close the bridge that takes you the mainland.  It’s expensive but for the quality they give in Lagos it’s value for money, also they don’t have any loyalty program and that’s not so good for regulars like me.   Overall is a great place to be.",October 2019,,,wrote a review Dec 2019,,['11 contributions'],50,[]
World Class,"This is a great hotel in Lagos with really nice rooms, friendly staff, good food and great location. The only small design flaw is the cupboard not opening to access the clothes hanging area, maybe it’s only my room but it’s really not accessible. Food is good, breakfast spread is great too.",November 2019,,,wrote a review Nov 2019,"Bristol, United Kingdom","['194 contributions', '81 helpful votes']",40,[]
Wonderful experience and feed back,I recently lodged 2 Japanese visiting Nigeria for the First time in The George hotel. The inspection was heart warming with very polite and professional staff. I also got favorably feed back from my clients from the food to house keeping and facilities.,October 2019,,,wrote a review Oct 2019,"Lagos, Nigeria","['288 contributions', '51 helpful votes']",40,[]
"Beautiful, Luxury, Relaxing Hotel",We spent a few nights after our wedding day at the beautiful George Hotel. The attention to design detail and the great welcoming attitude of the staff are impeccable! Don't forget to make use of their amenities and enjoy the delicious food. We will definitely be staying there again and we recommend you check it out!,July 2019,,,wrote a review Aug 2019,,"['1 contribution', '1 helpful vote']",50,[]
Horrible pickup experience,"We waited nearly 2 hours for airport pickup. I was told that it was not arranged however I placed a request with my booking and received an email stating the special request was confirmed. The hotel sent a driver in an unmarked car. Not a hotel shuttle which was assumed. Upon arrival, the driver refused to speak to me. He spoke to my husband but refused to speak to me when I asked him a question directly. Apparently he does not respect women even when they are the person requesting the driver. It is the hotels responsibility to hire employees who respect all visitors. So far this experience has been unwelcoming. 5 star service begins with pickup and today was anything but.",June 2019,,,wrote a review Jun 2019,,['1 contribution'],20,[]
"Nice, clean and safe","The George is a very good hotel located on The safe area of Lagos. Rooms are large, clean and comfortable. Facilities are just a little basic but ok.  The staff is polite and responsive. It is a good place to stay while in Lagos.  The only issue is the price of rooms too expensive.  The place is safe.   Good to go.",May 2019,,,wrote a review Jun 2019,"Belluno, Italy","['119 contributions', '70 helpful votes']",40,[]
Beautiful hotel,"Stunning hotel - lovely pool and beautiful grounds. The room was great - large balcony overlooking the pool - it was incredibly comfortable, spacious and ambient. The restaurant was great too - I had a lovely meal one evening - the staff were incredibly hospitable and the food was great. Highly recommend.",April 2019,,,wrote a review May 2019,,"['56 contributions', '50 helpful votes']",50,[]
"Had overbooked, so 5 of us were told to go to another hotel; also dealt very poorly","There were a group of 5 of us who were booked to stay at the George. We arrived in the evening and were told that the hotel was overbooked, so we needed to move to another hotel.   The situation was also dealt with extremely poorly and they made no efforts to make amends (no apologies and no offer of say dinner etc). Moreover, they lied about the room availability.    One lady from our group insisted that there must be one room available. She was told that it was a ""bad room"" she would not like. She insisted to see it and turned out to be a penthouse suite which they clearly did not want to give out.    We asked for the General Manager, who was apparently in the hotel, but busy. When he arrived, 1.5 hours later (meanwhile we were dining at the restaurant) instead of apologizing",March 2019,,,wrote a review May 2019,,"['1 contribution', '2 helpful votes']",10,[]
5* star experience,"We had a lovely stay at The George (family of four)...check in and check out was good, friendly staff with a 5* service. The complimentary breakfast and Sunday brunch was good with varied options.. A big thank you to the staff for a great experience (Kenny at reception, Jessica, Hauwa, Mercy, the GM, the staff at the Da Vinci restaurant ). Our kids loved the swimming pool and they had a good time.  We ordered room service on some days, which did take over an hour. We understand it gets busy but hopefully a faster service can be worked on. Our room was cleaned daily with fresh towels. The hotel was clean throughout including the rooms. Will definitely visit again ☺",April 2019,,,wrote a review Apr 2019,"Essex, United Kingdom","['40 contributions', '7 helpful votes']",40,[]
"Great facilities, but service needs some work","We loved the outside facilities, the look at feel of the hotel is good. Coming into the hotel from the hustle and chaos of the roads just outside the hotel, you get the sense that you are in a beautiful holiday destination with the well maintained lawns and facilities. However, the waiting staff needs more training. the service tends to be slow and they often get the orders wrong.  Sunday buffet lunch is a treat!",April 2019,,,wrote a review Apr 2019,Durban,"['56 contributions', '10 helpful votes']",30,[]
Well maintained but service needs work,"We stayed at this hotel for business for a week and stayed at the Classic and Executive rooms. The rooms are well maintained, you have everything you need and it’s clean. However, the service needs to be improved. The food takes long, the service is slow and you sometimes get snappy answers. Given the cost of the hotel, the service really should be more consumer centric.",March 2019,,,wrote a review Apr 2019,"Lausanne, Switzerland","['21 contributions', '12 helpful votes']",30,[]
