Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Absolutely Fabulous,"I love this hotel.  We stayed here for 18nights, family of 4, two rooms connecting doors lets start with the positive: Staff very friendly and professional, Rooms were spacious and clean, Security fantastic, location perfect, Loved breakfast especially the fried stew and Yam. WiFi was fast and stable enough to watch YouTube. Food in the hotel was reasonable priced and tasty. The Swimming pool and Gym was kept clean  The Chairman was quite Friendly, My husband spoke to him couple of times in the hotel.  You can also play table tennis on hotel premises.  Now the negatives, being very picking here but would have loved a bit more variety for breakfast (local food).   I will definitely recommend this hotel, my kids loved the swimming pool and I will surely come here again",August 2021,Traveled with family,,wrote a review Sep 2021,,"['19 contributions', '2 helpful votes']",40,[]
Good hotel - Value for money,"Very nice hotel - close to airport.  Spacious rooms, caring friendly staff, excellent location are highlights to this hotel.  Very safe location.  Very happy with my stay and would love to stay every time I visit Lagos.",January 2020,Traveled on business,,wrote a review Mar 2020,"London, United Kingdom","['11 contributions', '1 helpful vote']",40,"['Rooms bubble_50', 'Location bubble_50', 'Service bubble_40']"
14 days at regent,"The hotel was neat and very quiet. The staffs are great, from Austin the Housekeeper to the front manager Akin everybody were great. The only suggestions from me, is that when there are two people in the room there should be at least enough pillows for them. It took me 4 days to have an extra pillow. The coffee cups should be  two instead of one for two people to share. Overall a great hotel. Would be glad to recommend to others.",November 2018,Traveled as a couple,Easy to move around. Close to everything in Lagos.,wrote a review Dec 2018,"Houston, Texas","['16 contributions', '4 helpful votes']",40,"['Value bubble_50', 'Cleanliness bubble_50', 'Service bubble_40']"
Customer Service at it's Best!!,"We had an amazing 7 night stay at the Regent. Offering spacious, clean and extremely comfortable suites within a conveniently located hotel, The Regent offers great value accommodation. It is also very safe and secure, with 24 hour security. Above all, the best thing about The Regent is it’s staff. They are simply excellent! Extremely professional, yet very friendly and personable, the staff were attentive to all our needs. They have the unique gift to make each guest feel special and valued. If I had any constructive criticism to make, it would be that the breakfast could be a little more extensive in choice and range and should include a Nigerian option. That said, when we asked for fried plantain and egg stew, they were more than happy to make it for us. We will definitely",October 2018,Traveled with family,,wrote a review Oct 2018,"London, United Kingdom",['1 contribution'],50,"['Cleanliness bubble_50', 'Service bubble_50', 'Sleep Quality bubble_50']"
Not Meeting Expectation,Spent time at The Regent recently as I needed a place close to the International Airport in Lagos. I had visited a guest at the facility before and had been taken by its ambience and spacious rooms. I was very disappointed with the very bare services and the staff attitude.,August 2018,Traveled with family,,wrote a review Aug 2018,"Lagos, Nigeria","['95 contributions', '39 helpful votes']",30,[]
The Regent was beautiful,The ambience was good. The only concern was the size of car park and the carrying capacity of the elevator.  Staff were very courteous and very professional. The food was good and poolside had a very nice view,March 2018,Traveled with family,,wrote a review Apr 2018,"Lagos, Nigeria",['6 contributions'],40,"['Value bubble_40', 'Rooms bubble_50', 'Service bubble_50']"
Uncommon Comfort,"If you have to judge the comfort of this hotel by its' ambience, you'll opt to stay elsewhere but staying in The Regent for just a night is an unbelievable experience given the uncommon comfort in the room. It's spacious, clean and inviting. The food, especially the local cuisine is excellent.",December 2017,Traveled with family,Go for the standard double room.,wrote a review Mar 2018,,"['5 contributions', '11 helpful votes']",50,"['Value bubble_50', 'Cleanliness bubble_50', 'Service bubble_50']"
"Great service, very welcoming and helpful staff.","Nice comfortable hotel. Central and convenient location. Spacious, clean, with a swimming pool area at the back. All the staff were very welcoming, helpful and friendly. The food at the hotel restaurant was very tasty. The only downside was the wi-fi kept cutting out, and because there is a school on one side and the generator on the other, it was a bit noisy at times.  On the whole I enjoyed my stay at the Regent and would like visit again!",January 2018,Traveled with friends,,wrote a review Feb 2018,"London, United Kingdom",['6 contributions'],40,"['Cleanliness bubble_50', 'Service bubble_50', 'Sleep Quality bubble_40']"
reasonable place near airport,"The services, for Nigeria, were pretty good. Clean, pretty quiet. Staff was pleasant, but inflexible. I arrived at 9am from Kaduna, and was to fly out at 10:30pm, so was there only a day. But when I asked if I could get my breakfast the first day rather than the second, they refused. Said management wouldn't allow them to. But they also wouldn't let me talk to management. Otherwise completely fine. and very near  and convenient to the airport",April 2017,Traveled on business,get a room on an upper floor (at least second floor) to avoid noise from their conference rooms.,wrote a review Apr 2017,"Boston, Massachusetts","['63 contributions', '29 helpful votes']",30,"['Value bubble_40', 'Cleanliness bubble_40', 'Service bubble_30']"
Comfortable and welcoming,"I'm always happy to stay at the Regent, located in Ikeja, as its a friendly small hotel with staff that are incredibly happy to help you with whatever need you may have.   Rooms are a decent size and have comfortable beds. Decor and furniture are modern. Big bar area for relaxation or discussing work with colleagues.   The lunch/dinner menu is excellent - especially the fish. Breakfast choices are the same every day and there's not a great amount of choice.  Used the on site gym a couple of times - could do with more efficient aircon - although I didn't give it all that much time to cool down.",February 2017,Traveled on business,,wrote a review Feb 2017,"Epsom, United Kingdom","['1121 contributions', '470 helpful votes']",40,"['Service bubble_50', 'Sleep Quality bubble_40']"
