Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
"Come for the okra, Stay for everything else","The okra soup here is the best I've ever had, customer service is top notch and room rates are sensible. love this hotel. Its proximity to the international airport doesn't hurt too. It's  quiet, clean and management is great",May 2023,Traveled solo,,wrote a review May 2023,,"['5 contributions', '1 helpful vote']",50,[]
Mr Schroeder,"I appreciate your service Tinuola Housekeeping Floor supervisor for the wonderful service you rendered to me doing my stay at sojourner hotel by Genesis hotel, Good location Nice pool, good view, I stay in room 104, This my second experience with the the hotel and it was Awesome and wonderful here.  Also thanks to Elija the room attendant who clean my room. Thanks to Egbi Sunday the Housekeeping Manager for the Wonderful team you got I will love to come again and again",September 2022,Traveled on business,,wrote a review Sep 2022,,['1 contribution'],50,[]
Mr barnarad,Thank to Tinu the houskeeping floor supervisor for rendering good service to me doing my stay good location i stayed in room 312 also thank to room steward joshua for cleaning my room very well pool was nice clean rooms you have got god bless you t Thanks very much god bless,August 2022,Traveled on business,,wrote a review Aug 2022,,['1 contribution'],50,[]
Mr obinna,"Thanks to fedinard the housekeeping floor supervisor for rendering Excellence service to me doing my stay at your hotel sojourner by Genesis, I love the way he communicated to me doing my stay, Also thanks to David the room steward for always cleaning my room very well and neat, I love to come to this hotel again and again, Good location, Good views, clean rooms, neat environment, I enjoyed my stay.....",August 2022,Traveled on business,,wrote a review Aug 2022,,['1 contribution'],50,[]
Best Hotel Experience in Lagos,"Close to the airport, so really convenient when flying in or out of Lagos; helpful staff, great food and amenities. I really loved staying here. It was easy to access other parts of lagos from hereand still keep away from the chaos that Lagos sometimes is",November 2019,,,wrote a review Feb 2020,,"['5 contributions', '1 helpful vote']",50,[]
Better in webpage than reality is.,"Hotel rooms smell strongly to mould, shares tabel in room badly wearing. Breahfast is quite poor compare to price. Its better to pay few dollars more and update to Sheraton Hotel which located very near. Im not recomended this Hotel if rooms are available soem anothet hotel. My self get headache from smell of room(moud). Location is ok,",January 2020,,,wrote a review Jan 2020,"Helsinki, Finland",['3 contributions'],20,[]
Musky damp smell.. Nasty,So I booked my room ahead . Got there to check in and the room offered has a damp smell with bits of mould on the walls. I refused the room and they looked for another room. This time just before I got to the new room they sprayed it with airfreshner hoping to mask the smell. Even the weddings felt damp and a note on the bed saying they had just fumigated the rooms. They kept me there till almost 11pm saying they were looking for a room while the lady in front was quite rude!!. Its a shame though. Had to head out and check into another hotel that night!!,October 2019,Traveled solo,,wrote a review Jan 2020,"Northampton, United Kingdom",['2 contributions'],10,[]
This is an OK guesthouse.. mediocre as a hotel,"I stayed here for a week on business. The check-in process took a while as the reception desk is small and if one or two people are checking in ahead of you be prepared for a 10 minute wait, my check-in when served was also slow.  The restaurant is small and serves a buffet of traditional nigerian food most days. The al la carte menu is reasonable and there are some wholesome dishes to be found. I checked in late and was hungry and the staff were helpful enough to allow to me eat in the restaurant late after the buffet had closed. The staff in the restaurant were all friendly and helpful.  The bedroom was of a hotel size and met many hotel standards one would expect. The bed was of a large size and there was a large wardrobe and desk. The room was cleaned nicely each day. When I",November 2019,Traveled on business,,wrote a review Dec 2019,"Burton upon Trent, United Kingdom","['149 contributions', '73 helpful votes']",30,"['Rooms bubble_30', 'Service bubble_30', 'Sleep Quality bubble_40']"
Très mauvais service,"I stayed in this hotel for almost two months. The first week, everything is fine, the service is okay. After that, it's another story, they forget your food order, or do not bring the correct plate, for my part, they took two days to repair my toilet, while I mentioned at the reception, same for air conditioning which took two days too, I had to request another room for that night. When I left for another hotel, they claimed me 7000 Naira, while I paid every days. I request for the ticket I'd sign and they bring me ticket from the past mouth which I already paid.  Because I did not want to paid, they closed the main door not letting me out, I was like in jail. After 30 minutes, they came back to me, asking for 2000 Naira. Because I was edgy, I give them the money and left. Never",October 2019,Traveled on business,,wrote a review Nov 2019,"Grand Bassam, Ivory Coast",['5 contributions'],10,"['Value bubble_30', 'Rooms bubble_30', 'Service bubble_10']"
Great value for Money! Excellent Hotel,"I stayed here for a few days recently and was delighted. The food was great, service was great, my room was excellent and the location was superb (not too far from the airport) and safe. I will DEFINITELY return",November 2019,,,wrote a review Nov 2019,"Atlanta, Georgia","['84 contributions', '32 helpful votes']",50,[]
