Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Back 9 years later and still impressed with The Wheatbaker,"Returned 9 yrs later with our son and my husband and I were pleasantly surprised that the hotel property is still as good as we remembered from our first visit. The staff was attentive, the buffet breakfast and lunches did not disappoint, and as always the art showcased throughout the hotel was divine. This time around we used the pool and spa which were both excellent.  If you want to have a hotel that provides a quiet, calm, respite from the Lagos swirl this place is it. You will leave feeling relaxed and refreshed.",June 2023,Traveled with family,,wrote a review Jul 2023,"Philadelphia, Pennsylvania","['390 contributions', '137 helpful votes']",50,"['Value bubble_50', 'Location bubble_50', 'Service bubble_50']"
Well located hôtel for a business trip!,"Boutique hôtel on Victoria Island! Very well located for a business trip to avoid Lagos hectic traffic!  The room are great and very functional! Appreciate the generous in-room tea/coffee/cookies service and attention by night! It makes a difference after a long day working! I just missed more lights in the room and the pool was under réfection and unfortunately was not mentioned during the booking!  Appreciate the team and the breakfast/dinner service, the gym is great too!",April 2023,Traveled on business,,wrote a review Apr 2023,"Dubai, United Arab Emirates","['35 contributions', '5 helpful votes']",30,[]
Great business hotel or good for a short stay,"The hotel is not conveniently situated but it is a fairly quiet hotel. WIFI was a bit slow, needed a technician to assist to get it working as well.  Breakfast is standard.  The food menu can be updated to include more vegetarian options. Expected more considering this was a 5 star.",May 2022,Traveled on business,,wrote a review Apr 2023,"Durban, South Africa","['51 contributions', '38 helpful votes']",30,"['Value bubble_50', 'Location bubble_20', 'Service bubble_30']"
Brilliant boutique hotel,"This hotel was booked by our local hosts.  It was simply wonderful.  Great staff, lovely big rooms, full amenities inc fab room service for that one evening when you’ve had a very long day and just need to crash out quietly!  Highly recommended.",October 2022,Traveled on business,,wrote a review Feb 2023,"London, United Kingdom","['1029 contributions', '279 helpful votes']",50,[]
Don’t stay here,THIS HOTEL IS NOT A FIVE STAR! DO NOT STAY HERE!  The noise levels are UNACCEPTABLE. The hotel is old and musty. The food is terrible and the staff are mostly rude. There walls between the rooms are so thin. You can hear your neighbours conversations and the moving of chairs and other furniture peices by those above. You also get charged for a cappuccino at breakfast as it’s not considered part of the breakfast. I was very disappointed with this hotel. It looks nothing like the photoshopped images they present. It’s really not worth anything near the price they charge. Dnt stay here,October 2022,Traveled on business,,wrote a review Nov 2022,"Johannesburg, South Africa","['3 contributions', '2 helpful votes']",10,[]
The best business hotel in Lagos,Very nice hotel. Well situated and in a quiet neighborhood. Staff were very courteous and the restaurant and bar served good food. Clearly the hotel favored by the Lagos business traveler in the know. Get a higher floor room facing the pool would be my only advice. And turn off your a/c. The room’s temperature will remain cool all night and you’ll sleep much more pleasantly.,September 2022,Traveled on business,High room overlooking pool. Turn off a/c at night.,wrote a review Sep 2022,"Falls Church, Virginia","['220 contributions', '168 helpful votes']",40,[]
Brilliant experience,"great airport pickup Gabriel was courteous and a calm driver, The food has been amazing and in great quantity, a touch of class in Lagos amazing service room is clean and very modern Thanks Sandip and Paul",September 2022,Traveled on business,,wrote a review Sep 2022,,['1 contribution'],50,"['Rooms bubble_50', 'Service bubble_50']"
Easily my home from home,"I love the art, it just makes the experience so much more tranquil and relaxed. My room was clean, well equipped, and the best thing about it, the bed. So ch a great sleep.  Breakfast is great, and the gym staff are just so supportive. Can’t wait to return in February",January 2022,Traveled on business,"Get to know Tunde, just sort’s everything for you",wrote a review Feb 2022,"Lagos, Nigeria","['1 contribution', '1 helpful vote']",50,[]
Unbeatable Service,"This is my first stay at the Wheatbaker, and I can now understand why my friends stay here when in town. Although the hotel is on the small side and is a little dated, the service was exceptional. Every single member of staff from the guards to management displayed warmth, care and courtesy, the likes of which I have not experienced in any hotel I have stayed in Nigeria. What makes it even more remarkable is that it seems really genuine and not forced and I could imagine a long term stay here. The food and cocktails were also great. Wish the pool was more private though, and parking more ample, but net net, it gets 5 stars from me!",January 2022,,,wrote a review Jan 2022,"Lagos, Nigeria","['22 contributions', '18 helpful votes']",50,[]
Great Hotel & wonderful staff,"The hotel is great- has a lovely and very safe atmosphere.   Covid practices in place but not overwhelming     The staff are amazing- helpful, courteous , nothing is too much trouble. I love their phrase ""very well"" when they have sorted things out.  Wifi access good and reliable, Pool and gym good We enjoyed the meals - liked the mix of Nigerian and other cuisines and the food was delicious Our rooms were spotlessly clean, quiet and very comfortable- room service and laundry excellent The hotel compares very favourably with some of the best 5 * hotels we have stayed in worldwide We would certainly to choose to stay  again",November 2021,,Ask for a room that overlooks the pool,wrote a review Dec 2021,,"['1 contribution', '3 helpful votes']",50,"['Cleanliness bubble_50', 'Service bubble_50', 'Sleep Quality bubble_50']"
Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Business,"Good Team, and ideal for working, even in 40aine.  Food OK. Pleasant place allying work and rest. Well located in Lagos Island. Two weeks spent here without any problem with a staff always ""aware"" of any questions, etc",October 2021,,,wrote a review Nov 2021,"Marseille, France","['3 contributions', '2 helpful votes']",50,[]
Always amazing to be there!,"Wheatbaker hotel is always a great place to spend sometime away from home. The food is amazing, the staff are so attentive to your needs it’s just incredible. Looking forward to my next visit. Good job!",September 2021,,,wrote a review Oct 2021,,"['1 contribution', '1 helpful vote']",50,[]
Great hotel but theft ruined our overall experience,"I stayed at the Wheatbaker for 3 weeks in August this year with my son, mainly for a business trip.  Positives   - polite and attentive staff - great, well-maintained decor and superb facilities overall - fantastic gym - good covid-compliant hygiene/other covid-related measures - delicious food - great onsite gym - wonderful poolside setting for business meetings - a well-managed business centre - very comfortable bedroom  Negatives - Problems with wifi on one crucial evening when I was due to dial onto a board meeting online. This caused untold stress as I wasn't sure if the wifi issue would be resolved in time for the meeting - during the 2nd week of our stay, I received a call from reception suggesting that I make a part payment on my room extras bill. I have never had this",August 2021,,,wrote a review Oct 2021,,"['10 contributions', '2 helpful votes']",10,[]
Still the best in Lagos,"Fantastic meal , great service , very friendly staff who went the extra to serve us near the pool . Thanks to the GM and his team . Nice to see it still the same commitment to excellence as it was during my first stay 10 years ago . Keep it up ! Will be back .",September 2021,,,wrote a review Oct 2021,,"['1 contribution', '1 helpful vote']",50,[]
Loved it!,"The experience of a life time. I enjoyed the comfort of the room, clean bedding and excellent bathroom facilities.  Breakfast was superb and so was lunch. The artist inclinations and designs just made me feel at home.  I'll definitely do this again and recommend to friends and family.",October 2021,,,wrote a review Oct 2021,,['1 contribution'],50,[]
