Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
The yatch lekki…highly recommended,"It was my first time and I Had a Lovely experience. Hotel decor is modern and beautiful. The staff were kind, warm and welcoming. They wanted to help with anything I needed. Excellent service. Loved my room, it was cleaned daily. Breakfast was included though I skipped breakfast. I highly recommend the Yatch Lekki.",November 2023,Traveled solo,,wrote a review Nov 9,,['1 contribution'],50,[]
Not a thing out of place!,"Who ever handles the management of this hotel needs a medal, from the front desk to the porter, to the ambience and tidiness to rooms and then the buffet! All the staff were polite and professional    It was all amazing well done team!!",March 2023,Traveled solo,,wrote a review Mar 2023,,['1 contribution'],50,"['Value bubble_50', 'Location bubble_50', 'Service bubble_40']"
A Couple's getaway,"Premium no doubt. The ocean view was everything. Romantic and relaxing. The Sailors lounge beside the facility was the icing on the cake. Really a very comfortable atmosphere with all the necessary trappings. Location was cool too. The environment was clean, quiet and compact.",September 2022,Traveled as a couple,Pricey. Expensive. Prepare your wallet for that. ,wrote a review Dec 2022,"Lagos, Nigeria","['37 contributions', '8 helpful votes']",40,[]
Excellent luxury hotel,"I was pleasantly surprised with my stay at this hotel. Right from the external entrance to the hotel, you get the sense that this is not your typical hotel in Lagos. The environment is exquisitely maintained and cleaned. Even more so for the interiors, corridors and rooms. You can tell that someone is paying close attention to details in all spheres.  The room rates definitely aren't cheap, but the location beside the lagoon adds to the allure of this hotel and meals by the water is an experience in itself. During my stay, they had to change our room to enable completion of emergency repairs and we go a free upgrade for our troubles. Though expected, it is still a nice touch to get this gesture from a hotel managed entirely by local staff.  Well done. I will surely be staying",December 2022,Traveled as a couple,,wrote a review Dec 2022,"Lagos, Nigeria","['4 contributions', '2 helpful votes']",50,"['Value bubble_40', 'Location bubble_50', 'Service bubble_50']"
"Comfort, Serenity and Style","It is everything they say it is and more, it's the class and quiet for me. The staff are ever ready to be of service, the meals are on point and you get treated like royalty, you will definitely be back",November 2022,Traveled on business,,wrote a review Nov 2022,"Abeokuta, Nigeria",['1 contribution'],50,"['Location bubble_50', 'Service bubble_50']"
"Great Hotel, Fantastic Stay","My Stay at the Yacht hotel was very good. It's a very pretty hotel that's been decorated and designed to a high standard. The hospitality service was excellent, my room was very clean and very cosy, their wifi is very fast with no downtime. It's very easy to disconnect from the outside world when you're in it, and I would recommend staying here to anyone.  There were a couple of drawbacks though: The restaurant menu lists a number of options that aren't available or that the restaurant staff don't know is on the menu. Also, if you like sleeping on a firmer mattress their beds will be perfect but I personally prefer a medium to soft mattress.",November 2022,,"City view rooms are noisy at night cause of a lounge that's beside the hotel, seaview rooms...",wrote a review Nov 2022,,['1 contribution'],40,"['Cleanliness bubble_50', 'Service bubble_50', 'Sleep Quality bubble_40']"
FUN AND RELAXING,I really enjoyed my stay at the Yacht Hotel. The reception was fun. It has an exquisite view and the service is epic. I believe my colleagues and I will make it our home in Lagos. An experience worth spending your money on,October 2022,Traveled solo,,wrote a review Nov 2022,,[],50,[]
Ms Jennifer,Very exclusive with a great view of the Lagos creek with continental meals and I got the value of money paid... Great customer service from the staff in general. I will definitely return......Hoping to have access to the exclusive rooftop on my next visit,November 2021,Traveled as a couple,,wrote a review Nov 2021,,['1 contribution'],50,[]
The most memorable experience,"My husband and I visited The Yatch Luxury to celebrate our anniversary. We had the most amazing experience. From the ambience, to the food ,the rooms everything had a touch of excellence and luxury.  The staff are the most polite and hospitable we have ever experienced.  We had a beautiful weekend.",October 2021,Traveled as a couple,,wrote a review Nov 2021,,['1 contribution'],50,[]
Visit to this Hotel was excellent. Staff were polite and helpful.,The room was big and spacious. The bathroom and toilet was well laid out and nice. Ambience was good. I will definitely revisit when in town. All drinks in the fridge were on the house. The restaurant was located at the back of the hotel with a view of the ocean.,August 2021,,Good view of the ocean but depends on your room,wrote a review Sep 2021,,['1 contribution'],50,"['Value bubble_50', 'Rooms bubble_50', 'Service bubble_50']"
Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Simply the best boutique hotel in lagos,The hotel is a true definition luxury and tranquility.  The  ambiance was so clean and neat. Staff exhibited the highest level of professionalism and the food was so good. I will suggest sea view room for your maximum  experience.,June 2021,,,wrote a review Jul 2021,"Lagos, Nigeria",['3 contributions'],50,[]
sea view room,breath taking sea view. Private and quite hotel. Serene. Cosy and neat. Friendly staff. Good location.  strict covid protocal in place. fine continental dinning. free wifi. the have the best cocktails and wines,January 2021,,,wrote a review Feb 2021,,"['7 contributions', '1 helpful vote']",50,[]
