Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Standard hotel nothing special,"We stayed here with my family for 10 days. The welcome was nice but the first disappointment was the rooms. We had booked 2 rooms exactly the same price and discription. We got 2 rooms next to each other, one of which was large good size clean room and the second was quite small and problems with the door. We asked about this from the reception and they basically said we got what we paid for. We also had 1 set of towels in each room but we got this sorted after the first hiccup.  Next disappointment was at breakfast. We booked the rooms to include breakfast but the staff claimed we had 1 breakfast booked per room, so we would need to pay if we would like breakfast for all. I checked our reservation again and of course it included breakfat for all 4 of us because it would be",October 2018,Traveled with family,,wrote a review Feb 2019,"Bedford, United Kingdom","['61 contributions', '35 helpful votes']",30,"['Value bubble_30', 'Rooms bubble_20', 'Service bubble_40']"
Bye Bye Three Arms,"Let me keep it short - This has been my choice hotel in Lagos for at least the last 3 years. It's rates are relatively ok, the location is convenient and surroundings nice. If am not staying at this hotel once am in Lagos it is because I have been able to secure a 5 star hotel at a great bargain. My stay in this hotel this month has made me finally realize that its time I commence a hunt for another mid-scale hotel. The hotel facilities are crumbling, staff service barely average, their cost for food outrageous. They had the audacity to call a selection of 3 meals a BUFFET and charge an exorbitant cost. This was the last straw. Bye Bye Three Arms.",December 2018,Traveled solo,,wrote a review Dec 2018,kaduna,"['65 contributions', '43 helpful votes']",20,"['Cleanliness bubble_30', 'Service bubble_30', 'Sleep Quality bubble_30']"
Nice facility that is very bad kept.,"The hotel has potential. Great location, friendly staff. But it needs renovation, a touch of planned decoration and redesign. The lobby might trick you as it's nice and clean. But not the rooms. And not the bathrooms. I don't want to ruin the business completely so I am not posting any pictures. One night was bearable, but that's it.",April 2018,Traveled solo,,wrote a review Apr 2018,"Berlin, Germany","['20 contributions', '11 helpful votes']",20,[]
Managing changed ☹,"I am a usual customer in this hotel, but this time something change, the workers are the same but managing has been changed, i was asking my usual room with king bed but they said 30k plos, nice swimming pool and gym room, but i found less manteinence this time, food orrible costly no way to eat here the quality is poor. For 20k a night next time i Will think very well if to lodge here again",February 2018,Traveled solo,,wrote a review Feb 2018,"Castelfidardo, Italy","['15 contributions', '18 helpful votes']",30,[]
I loved my stay! Definitely going back,"Wow, where do I begin? Three arms was amazing!  I stayed a total of 16 nights (09/12/2017 - 26/12/2017) - longest I've ever stayed at a hotel. The staff were very friendly, it was clean, the service was great. Honestly I have no complaints. Three Arms is located in a lovely serene estate in Ikoyi. Easy access to pretty much the Island and the mainland. I really enjoyed my stay and would recommend it 100%. Well done to all the staff! You all are doing an amazing job.  Zara",December 2017,Traveled with family,,wrote a review Jan 2018,"London, United Kingdom",['1 contribution'],50,"['Value bubble_50', 'Cleanliness bubble_50', 'Service bubble_50']"
Poor Service,"I booked this hotel via Expedia on the basis of the positive reviews.  I contacted the hotel by e-mail to find out about visa paperwork and to book an airport shuttle.  They didn't respond to four e-mails I sent them, though I was accidently copied into one e-mail from the manager (presumably) telling a member of reservation staff not to assist me with paperwork and to make airport shuttle info clearer to guests!  Given the lack of professionalism and poor service, I cancelled my booking.",November 2017,Traveled solo,,wrote a review Dec 2017,"Melbourne, Australia","['387 contributions', '225 helpful votes']",20,[]
affordable and friendly environment hotel,"I enjoyed my stay here and felt safe.complimentary breakfast is ok. Staffs are friendly,they make me feel at home.The room was clean and for the money I recommend staying here. I had no problems whatsoever.",June 2017,Traveled on business,rooms on pool view side,wrote a review Jul 2017,,"['1 contribution', '2 helpful votes']",50,"['Value bubble_50', 'Location bubble_40', 'Service bubble_50']"
Good hotel on Lagos,"I stay in this hotel one week, people are very comfortable to serving you. I enjoyed the gym and the swimming pool. In the second floor not wifi working only in the reception floor. Not so easy to reach Victoria isl.",November 2016,Traveled solo,,wrote a review Nov 2016,"Castelfidardo, Italy","['15 contributions', '18 helpful votes']",30,[]
Great experience,"A very clean hotel in a serene environment. Great customer service, especially Niyi. The Three Arms is now my favourite hotel in Ikoyi. I'll definitely recommend it for any and everyone going to the Island.",August 2016,Traveled with family,,wrote a review Aug 2016,,['1 contribution'],50,"['Rooms bubble_50', 'Location bubble_50', 'Service bubble_50']"
the place  is too quiet  which is  good,nice  and  clean . the three arms hotel  is  a unique place in lagos  which is the commercial captial  of  of nigeria.   the  place is classic  and  i will advice  families  coming  to  be hosted  by the  three  arms hotel  which is  served  b a better  road  network  and near to the sea for  sight seeing.,June 2016,Traveled on business,,wrote a review Jun 2016,,"['1 contribution', '1 helpful vote']",50,"['Value bubble_50', 'Service bubble_50', 'Sleep Quality bubble_50']"
Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
A real treasure in Lagos,I have had several dinners at the restaurant at the Three Arms Hotel and it was always a wonderful experience. So my wife and I decided to spend a weekend away from the hustle and bustle of Lagos at the hotel. I think the greatest secret to Three Arms success is its staff. They are ever so courteous and polite and will attend to all your needs. Mr Niyi was exceptional and made our stay fabulous. No complaints whatsoever and highly recommended.,April 2016,,,wrote a review May 2016,"Lagos, Nigeria","['4 contributions', '2 helpful votes']",50,[]
Three Arms: My Nigerian Family!,"As an veteran CNN correspondent and international communications consultant, I often travel to Nigeria to serve some of my corporate clients.  I have had the pleasure of staying at the Three Arms for more than four weeks at a stretch during 2014 and again for a week in 2015.   The hotel is small and cozy which makes for a very intimate, friendly experience.  You are not just one customer amidst a crowd, but one of the family.    During my stay, I availed myself of the pool, the gym, the laundry service and most of all of the professional and gracious hospitality of the staff.   I can honestly say that the care with which my tasty meals were prepared, my dresses were ironed, and my business document printing was handled, was on par with any five star hotel in which I have stayed.",July 2015,,,wrote a review Mar 2016,"Dublin, Ireland","['50 contributions', '18 helpful votes']",50,[]
"'Good Wifi and Neat Environment""","My stay at the Three arms Hotel was pleasant. Interestingly internet was perfect both day and night, staff are well behaved and the environs are always neat and tidy. I would highly recommend to friends and family within and outside Nigeria. Hopefully will still visit here again next time. Thanks",January 2016,,,wrote a review Mar 2016,"Lagos, Nigeria",['1 contribution'],50,[]
Pleasant Stay,"I traveled to Lagos for a short business trip and needed a moderately priced hotel in Ikoyi.I called a friend who referred me to Three Arms.True to What my friend told me,the price was surprisingly affordable given the class of property.Also their service was great ,rooms were clean and I liked the fact that it located in a quite environment.",January 2016,,,wrote a review Feb 2016,,"['1 contribution', '1 helpful vote']",50,[]
Excellent value,"Located inside a housing estate built on reclaimed land it's just the ideal place if you are looking for a quite stay, the pictures do not do justice to the property, as the place is small cozy and almost like your own bungalow. The rooms are just right in size the decor is sensible wood and add to the feeling of a cozy room. Staff is friendly and efficient the food is nothing to write about but also nothing to complain about. The one aspect that stands above all is the value for money.....for what one pays you get a lot back",March 2015,,,wrote a review Mar 2015,"Pune, India","['67 contributions', '34 helpful votes']",50,[]
