Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
It’s was a pretty decent stay,"I came in pretty early in the morning, about 6am and the service was amazing. I stayed in the Burj Khalifa room, I loved it! However, since I didn’t stay very long I don’t have a lot more to critique.",September 2023,Traveled with friends,,wrote a review Sep 2023,,['1 contribution'],50,[]
I just went there for relaxation and it was enjoyable,"The place is quite amazing 😍 The environment is very clean,the light is stable and the food is good 👍 The location is nice, and you can easily get anything you around the area,there a lot of places you can visit within a close range",May 2023,Traveled with friends,"They don't have pool and I don't think they have space for the pool
That is what is lacking in...",wrote a review May 2023,,['1 contribution'],50,"['Value bubble_50', 'Location bubble_50', 'Service bubble_50']"
magnificent,Always a pleasure staying over at this hotel. One of my best hotels in Lagos any time am staying out. Landed in Lagos and wanted to stay over for just a night to enable the cleaners to put my house in order.,April 2023,Traveled solo,Try and have a taste of their local meal. You will enjoy it ,wrote a review Apr 2023,"Lagos, Nigeria",['1 contribution'],50,"['Value bubble_50', 'Location bubble_50', 'Service bubble_50']"
Lovely Hotel,I had a lovely stay. The staff were very warm and friendly. The ambience was quiet and serene making for a cosy stay. Food was really good as well. There's a lounge next door where you can have mexican food.,February 2023,,,wrote a review Feb 2023,,['1 contribution'],50,"['Cleanliness bubble_50', 'Service bubble_50', 'Sleep Quality bubble_50']"
Tranquility,Very calm ambience and sweet smelling environment. Very clean room with well laid out furniture. Enjoyed the evening treat of small chops and sweet wine. Each room is exquisitely unique with a variety of items uniquely arranged to  make a difference!,January 2023,,Not in a position to speak to this,wrote a review Jan 2023,,['1 contribution'],50,"['Location bubble_50', 'Service bubble_50', 'Sleep Quality bubble_50']"
A pleasant experience but need to improve on the details,"The place was clean. looked stylish and attractive. Staff where friendly and accommodating.  Food was quite good and reasonably priced. I wish they had more in the way of fresh fruit. They did however provide free finger food and wine at the weekends, which was nice.  Villa monuments needs to do better in terms of details if they wish to be considered 4 star. My bedside lamps where not working. My TV was not properly tuned. The wash linen was not always replaced properly after room service.  They tried. But at that price point they should be doing better.",October 2022,Traveled solo,,wrote a review Nov 2022,,['1 helpful vote'],30,[]
Was Better Before,Very good but was better in the past. Noisy now even during the day (building next door). Was noisy usually only Friday night from the club next door. Suddenly cannot use the conference room without payment?? Service a bit slower than before (response time while making reservations) yet the hotel is still one of the hidden jewels of Lagos.,October 2022,Traveled on business,,wrote a review Oct 2022,,"['5 contributions', '1 helpful vote']",40,[]
"Lovely, comfortable and clean place","Look forward to visiting again. Very comfortable, excellent customer service, appealing serene and clean. Staff were very helpful, polite and friendly. Perfect  location, many fun activities to do around. Definitely worth it!",September 2022,Traveled with family,,wrote a review Sep 2022,,['1 contribution'],50,[]
Below Expectations,"The Hotel had a very beautiful ambience. I loved the interior designs and artifacts. However, it’s either most of the staffs aren’t well trained on hotel service &management or they just lack courtesy. Imagine someone coming into your room to bring your order and can’t  say good morning. Or the staffs just walk pass you and refuse to greet. Same thing with the janitor..I greeted one of the receptionist and she was too big to answer and when I stated that I just greeted you, she replied Hi, good morning non-challantly. This is the first hotel that I will experience such terrible attitude from the staff. The day we were checking out, the lady at the reception couldn’t  even greet or ask if we enjoyed our stay. I’m glad we checked out two days after cos we had to go out to even get",September 2022,Traveled as a couple,,wrote a review Sep 2022,,['1 contribution'],30,[]
Hidden Jewel,"Great experience. Outstanding as even the most famous hotels in Lagos are mediocre at best. Staff is amazing, rooms are wonderful and we'll kept, food and service is great. Location on VI is also ideal. Simply a 10+ on a scale from 1-10. Prices surprisingly reasonable for value obtained!",April 2022,Traveled on business,,wrote a review Apr 2022,"Columbia, Maryland","['41 contributions', '15 helpful votes']",50,[]
Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Great value for money,"The location was great, staff were friendly, good ambience and generally good finishing giving a very cozy vibe. Overall, it was a great experience for me and I will stay here again on my next trip to lagos",March 2022,,,wrote a review Mar 2022,"Abuja, Nigeria",[],50,[]
Nothing short of Amazing,"I had an amazing time. From the food, to the ambience,to the reception and to the cozy atmosphere . Top notch service too, accommodating staff and very receptive to the needs of their customers . I would definitely visit again",February 2022,,,wrote a review Feb 2022,,['2 contributions'],50,[]
Amazing hotel!!!,"One of the best hotels I've stayed in, calming ambience and proactive staff. I had a wonderful experience staying here,did I mention I had the best meal that evening,and i got the lounge area to host a few of my friends for a quiet afternoon?",December 2021,,,wrote a review Jan 2022,"Lagos, Nigeria",['2 contributions'],50,[]
Very Good Hotel ..Nice Gem in Victoria island,"Very nice , quiet and beautiful hotel …Rooms were nicely decorated and very clean bathroom as well .. I especially liked the Oriki shower gel and body lotion , you rarely see good lotions in hotels these days ….The staff were nice and very welcoming..The hotel security is 💯💯 .. The breakfast I had was also very good …I’ll definitely be coming back",November 2021,,,wrote a review Nov 2021,"Lagos, Nigeria",['2 contributions'],50,[]
Beautiful aesthetic and great service in the heart of Lagos.,"Gotta say, pretty mighty impressed by this place. The room was well done, beautifully decorated to suit the theme, the bathroom was super clean and very well done. Basic amenities and then some provided as well. The food was good albeit on the pricey side - some may say worth it - could be. Staff are very well mannered, very well spoken and happy to assist.   I just honestly hope they maintain this standard and all this goodness isn’t just because they are new. I’ll definitely be back tho! That’s for sure. 5 stars all the way. I’ll take pictures next time.",June 2020,,,wrote a review Jun 2020,"Lagos, Nigeria",['1 contribution'],50,[]
