Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Time at Welcome hotel Lagos,"The hotel lived up to its name. Very welcoming staff and peaceful atmosphere.  Clean environment, dutiful staff members (always having a smile to share) spacious and world class  standard rooms. I lodged in one of the business suites and enjoyed my stay without a doubt. They've got very good  facilities available lfor example clean standard swimming pool, volley ball ground, table tennis etc all in a spacious environment.   Welcome hotel Lagos is where I will love to stay again when I visit Lagos Nigeria. It's the closest hotel to the international airport which comes very handy considering the Lagos traffic!.   You can easily get to the airport from the hotel within 5 mins!   Their food is very tasty, effective security personnel. It's a place you feel safe and secure without",August 2022,Traveled on business,,wrote a review Sep 2022,,['1 contribution'],40,[]
Best Hotel in Ikeja,My family visit to the hotel was a great deal. We had fun and enjoyed the relaxed and quiet atmosphere. Its a must for every traveler to Lagos and everyone that wants to have a nice time with family within Lagos.,April 2022,,Rooms on the south side are quieter,wrote a review Apr 2022,,"['1 contribution', '1 helpful vote']",40,"['Rooms bubble_40', 'Cleanliness bubble_50', 'Service bubble_40']"
quite fine hotel if you need to stay close to the airport for few nights,"fair level of services for reasonable price. Cleaning service guys were not always wearing their face masks covering their nose and mouth - even when cleaning the room, which is not very alright. This could be improved on the side of the hotel. Guests in the restaurant were mostly ignoring face masks, which is the sign of their tolerance and respect towards other guests, on the other hand the hotel staff in restaurant could have reminded guests anytime (as staff were present in the restaurant all the time) but they did not - which is the issue of the hotel (staff doing their job well and keeping guests within limits of appropriate behaviour in interior of the hotel).",January 2022,Traveled solo,,wrote a review Mar 2022,"Bratislava, Slovakia",[],40,[]
Recent stay at welcome hotel,"The hotel is beautiful  and secured. It is very clean,tidy and generally calm.  It only became noisy when an event was hosted by the hotel.  Food is quite expensive , no dry cleaning services  Staff are professional",November 2021,,,wrote a review Dec 2021,,['2 contributions'],40,[]
Great Hotel in Lagos,"This hotel is welcoming. The rooms and beds are great. Close to the airport too. The restaurant is good and always willing to accommodate your wishes.  The staff is always helpful. Of many Lagos hotels, I recommend this if you're about to travel again. Highly recommended",December 2019,,,wrote a review Mar 2020,,"['27 contributions', '4 helpful votes']",40,[]
airport hotel at Lagos,This hotel is in a good location for Lagos airport.The staff are attentive and professional.  My earlier comment should be taken seriously by management:  all rooms should be presentable! I think the restaurant prices are very much on the high side for what is offered.,January 2020,Traveled on business,check rooms and ensure that rooms are properly cleaned and presentable.,wrote a review Feb 2020,"Salt Spring Island, Canada","['4 contributions', '1 helpful vote']",40,[]
A pleasure stay,"It has always been a enjoyable and pleasurable stay at Hotel Welcome Centre. Each time that we stayed at the hotel, the staff welcomed us with upmost politeness and ensured that we are secure are well attended to. The advantage is that ,with all these, the airport is within a stone's throw away, it takes us only a few minutes to reach the airport",October 2019,Traveled on business,,wrote a review Nov 2019,"Vadodara, India",['1 contribution'],40,[]
medi,"Customer service is still very lacking. The night I got there, the front desk guy was not professional at all. He could not greet, I greeted, and it was difficult for him to answer. I scolded him though. Hope he will change.",August 2019,Traveled solo,,wrote a review Sep 2019,,['1 contribution'],30,[]
"Good, clean, reliable hotel near the airport and with good facilities.","The Welcome Centre manages to provide a good level of comfort and service, without being pretentious or over-priced. Room, restaurant, big and clean pool, and gym are all there. Staff are unfailingly friendly and courteous. Pool bar is a nice place for Sunday lunch. Cars always immediately available if needed. Security is good.",April 2019,Traveled on business,"Find your favourite room through experience, and ask them to book it every time!",wrote a review Jul 2019,,['1 contribution'],40,[]
Welcome Centre Hotel In Lagos,"Having arrived from Paris at Murtala Muhammed International Airport, Lagos  I stayed in the Welcome Centre hotel overnight prior to connecting with an onward domestic flight. The staff were all extremely helpful and my room was clean and well ordered. The hotel is ideal or anyone looking for a reasonably priced hotel convenient for both the international and domestic airports.",July 2019,Traveled on business,"Clean, comfortable and quiet - all one would expect for a cost-effective stay in Lagos",wrote a review Jul 2019,"Nottingham, United Kingdom",['3 contributions'],40,[]
Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
HOME IN THE NEIGHBOURHOOD,I find this hotel a real home within a stone-throw  neighbourhood of the busiest Airport on the African continent; the Murtala Mohammed International Airport Lagos. Its proximity to the Airport makes it next to impossible for missing flights. The rooms are luxurious and spacious. It's only 2 minutes drive to either the International or Domestic Wing and to MMA 2. The staff are well behaved and smartly dressed.  I also enjoyed dinner and breakfast in the Restaurant. The food and drinks all test so delicious.  It's a lovely place to be.,June 2019,,,wrote a review Jul 2019,"Abuja, Nigeria","['57 contributions', '7 helpful votes']",40,[]
Rude staff and poor condition of room,The staff were very unhelpful. The people at the reception looked like they didn't want to be there at all.  The air condition barely worked and the room looked very dingy. The walls of the room could do with some painting. What an unpleasant stay!!,April 2019,,,wrote a review Jul 2019,,['2 contributions'],10,[]
Everything I need - and more,"I always stay at the Welcome Centre on my regular trips to Lagos. It is about a mile from the airport and close to the main Oshodi-Apapa expressway. The comfortable room I stay in is fairly spacious, with a bath, and with a view of the airport. The staff are always friendly, caring, and above all trustworthy. Cleaning is always done very thoroughly. The bar and restaurant are just fine. There is a well-equipped gym, a really good, large and clean swimming pool (with pool bar), tennis court, volleyball court and a garden. Generator is switched on promptly when NEPA goes off. WiFi is free and pretty good. There is a small shop selling useful odds and ends. Cars and drivers are always on hand if needed. The roof-top terrace is a nice place to watch planes and the traffic, and the",November 2018,,,wrote a review Jan 2019,"Dorking, United Kingdom",['5 contributions'],40,[]
DON’T LET  4 STARs FOOL YOU,"Rude receptionist, hard and uncomfortable beds, isolated, no side walks, no streets( dirt roads), no where to go, rolling black outs and nothing to do. Only good for 1 night stop over and there are plenty of hotels like that in the area. Not sure how this hotel got a 4 star rating.   DO NOT STAY HERE!",August 2018,,,wrote a review Sep 2018,,"['31 contributions', '6 helpful votes']",10,[]
Great Hotel,Have stayed at the Welcome Centre several times.  The rooms are good and clean. The food is good and the room includes breakfast. My go to place when traveling through Lagos. The desk personnel are extremely accommodating.,May 2018,,,wrote a review Jun 2018,,"['1 contribution', '1 helpful vote']",50,[]
Unsanitary bedsheets/blanket,"When I pulled the blanket, I noticed very sanitary bedsheet. It has stains of previous copulation activities on the bedsheet and blanket. The bell man changed the sheet promptly. Need better supervision. Need prompt switch over of generator during blackouts",March 2018,,,wrote a review May 2018,"Atlanta, Georgia","['2 contributions', '3 helpful votes']",20,[]
Pleasant Experience,The two Receptionist and Porters I dealt with were very responsive and helpful. Very expensive menu at the restaurant. Very clean environment and closeness to MMA makes the hotel and ideal place to spend the night prior to departure.,March 2018,,,wrote a review May 2018,"Atlanta, Georgia","['1 contribution', '1 helpful vote']",40,[]
Convenient to the Airport,Pleasant stay and very convenient to the airport.  The restaurant serves decent foods and the service within the hotel is fine.  Front desk and bellboy are helpful.  While we were there construction of the road outside hindered the traffic and slowed our arrival as we had to drive well past the hotel to u-turn and come back.  Good security outside and two shops off the lobby.,April 2018,,,wrote a review May 2018,"New Brunswick, New Jersey","['27 contributions', '25 helpful votes']",40,[]
I expectected better,"This hotel is rated as a fairly decent place — and it is up to a point — but there were glaring examples of a lack of quality. The room was okay, the service was not. I had to wait 1-1/2 hours for a simple meal when there were only a few other customers there. The elevator gets stuck every once in a while - enough times to have a sign posted in the elevator to not panic when it does. The other elevator is broken and has been for a while. What does that tell you about their attention to detail and quality?",April 2018,,,wrote a review Apr 2018,"Waxahachie, Texas, United States","['48 contributions', '10 helpful votes']",30,[]
Terrible,"After every checks on various hotel along the airport I manage to give this hotel a go but it all came out to be a very terrible decision. I paid N31000 for a superior room which is just too much after the terrible experience. the room number is 203 and it all started with the Wifi going off in the room, I reported thrice before they could change the room for me. and after changing the room another issue with the bath tub so I was finally giving a 4th floor with a sad view and very stuffy, rusty bins, unsafe shower, dust flying everywhere. On the next morning I went for breakfast to be surprised I saw nothing but 3 types of hotdogs, breads, 4 plates of fruits & vegs, fried egg, rice,? and I asked where is yam but they say is not on there rosta for that day and they call it",February 2018,,,wrote a review Feb 2018,"Greater London, United Kingdom","['1 contribution', '1 helpful vote']",10,[]
Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
My stay at Welcome centre.,"My stay at Welcome centre was indeed awesome. Accommodation perfect, though the food is a NO-NO for me, I was able to drive out to get food for myself. All amenities are in good condition and the cable channels are as clear as expected.",January 2018,,,wrote a review Jan 2018,,['1 contribution'],40,[]
Good value for money,"the hotel is located less than 10 mins from the Lagos international airport. Its clean, staff is friendly, check in / check out process is ok, WiFi works on all floors, it feels safe and there are several buffet meals. The hotel has a pool, bar, gym, valleyball field, multipurpose hall and computers room. Rooms are big enough, bathrooms are good. Some rooms get the noise from the power generator, but its not too loud.",December 2017,,,wrote a review Jan 2018,"Pazin, Croatia","['111 contributions', '36 helpful votes']",40,[]
"Comfortable,clean, good service.","I had  good time during my stay in this hotel, really don't have any complain. Security wise very good. Customer service very good both check in and check out. I will stay in this hotel next time I visit Lagos. My wife and I had really good time all through our stay in this hotel.",October 2017,,,wrote a review Nov 2017,"Toronto, Canada",['1 contribution'],40,[]
room for improvement,"this would have been much better if the promise of airport transport were fulfilled.  spent a lot of time and money calling both the hotel and their booking agents who also called several times to organise transport from the domestic airport to the hotel, the only reason to stay there was to handle the layover between connecting flights safely and comfortably.  i would have been in serious trouble if I didn't find kind fellow travellers at the airport to get me to the hotel in their own taxi.  i was assured several times the driver would be waiting for me, identified. no such thing happened, the airport officials had no idea what hotel i was referring to nor where they waited for passengers in other words the promise of a transport was a joke. worse yet the phone number on the",October 2017,,,wrote a review Oct 2017,"Dar es Salaam, Tanzania","['122 contributions', '59 helpful votes']",40,[]
Near the Airpor,"Friendly staff... Restaurant choices very limited... large rooms and beds,  good conditions for Nigeria, The Welcome Centre Hotel offers good service. Hotel is very close to Lagos airport - which makes this a must-stay considering the traffic situation in Lagos. Taxi service always available",January 2017,,,wrote a review Aug 2017,"Charneca da Caparica, Portugal","['16 contributions', '36 helpful votes']",30,[]
Very comfortable and clean room,"As a regular visitor I appreciate the efficient checking-in process and friendly staff. The rooms are comfortable, roomy and clean with good shower facilities.  Good wi-fi and the provision of a kettle and coffee in the room  is not something you routinely find in Nigeria and is much appreciated.  Being close to the airport is an added bonus.",July 2017,,,wrote a review Aug 2017,"Durban, South Africa",['2 contributions'],40,[]
Very Good Hotel,"It was our first time at the hotel and our experience was very positive. The hotel is neat, very close to the airport and the staff members are very courteous and prompt to their responsibilities. The rooms are spacious and neat and comparable to what is obtainable in Europe and else where. We will certainly use the hotel when next we are Nigeria.",June 2017,,,wrote a review Jul 2017,"Doha, Qatar",['1 contribution'],40,[]
Close to airports,"The Welcome Centre Hotel offers great service, good food and  breakfast which is incorporated into the room price. Hotel is very close to Lagos' International and Domestic airports - which makes this a must-stay considering the traffic situation in Lagos. Taxi service readily available outside.",June 2017,,,wrote a review Jul 2017,"Cape Town, South Africa","['2 contributions', '1 helpful vote']",40,[]
Small room,Was disappointed cos I expected better value for my money. The space in the room was small and the bathroom was even smaller. Staff attitude was appalling (front desk and restaurant).  Only plus was the place seemed safe. I certainly would not visit again,May 2017,,,wrote a review Jun 2017,"Alberta, Canada","['18 contributions', '22 helpful votes']",30,[]
Classy hotel near Airports,"The hotel is of international standard with all amenities. It is under 10 minutes drive to the airport and you can get cheap taxis at the hotel. Courteous and helpful staff. Clean spacious rooms. Elevator to all floors and easy parking. Good amenities and delicious food. 5 minutes walk to banks, shops and restaurants.",April 2017,,,wrote a review May 2017,"London, United Kingdom","['67 contributions', '39 helpful votes']",50,[]
Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Beware!!!Pay in hotel ONLY..don't pay online,"Booked my reservation online and payment was confirmed. Also I called the hotel to confirm payment was received 1 week prior. However, when I got there I was told they did not have the payment. I was furious, after traveling for a whole day I did not have time for this mess. After I demanded he call the online reservation, then he said he found the payment.",April 2017,,,wrote a review May 2017,,"['3 contributions', '2 helpful votes']",10,[]
Nice place,"Very nice place with close proximity to the airport (within 10 mins). I have stayed here several times. I keep coming back because the services are good, staff are courteous and meals are well prepared...I love the complementary breakfast. I like the DVD players in the rooms too. Would love the internet service to be improved on,though; keeps tripping off. Looking forward to my next visit!",February 2017,,,wrote a review Mar 2017,"Awka, Nigeria",['3 contributions'],40,[]
Henrie,"It's a wonderful hotel,has enough space for cars,got a nice pool,gym and sports facilities. Lovely getaway for couples.would recommend to anyone who's coming into Nigeria and doesn't have a place to stay at the moment.",February 2017,,,wrote a review Mar 2017,,['3 contributions'],40,[]
