Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
Picture says it all,"What can I say ? We only spend 1 night here . The rooms need a refresh, the bathroom is beyond dirty including shower door that didn't closed so the bathroom was blank. You only get 1 towel even if you stay with 2 on the room . Breakfast is not bad 3* for all the fresh fruit . The garden is lovely for a small stroll . Didn't tried the pool.  Staff is friendly 3* for the staff..",October 2023,Traveled with family,Bring your own towel and don't forget bathslipper caus the showers are dirty af ,wrote a review Oct 2023,,['9 contributions'],20,"['Value bubble_10', 'Location bubble_40', 'Service bubble_50']"
Quality,"I loved my stay,  the hospitality and serenity are what I loved. We made use of the conference room everything looked so pristine. The pool side is eco-friendly with ample relaxation space. I hope to try the buffet one day.",October 2023,Traveled with friends,,wrote a review Oct 2023,,['1 contribution'],40,"['Value bubble_40', 'Location bubble_40', 'Service bubble_40']"
Hotel in need of help.,"I have previously stayed in this hotel with mixed experiences. During my last three visits over a four month period I have found the front house staff overwhelmed with guests queuing up to complain, offering feeble sorties rather than to tend to the complaints and remedying the situation.  The carpets need a serious cleaning in nearly all the alleyways. Some carpets are utterly disgusting with obvious signs of food stains.  My previous go to hotel in Lagos due to its proximity to the airports has sadly become a place best avoided and in desperate need of help.",September 2023,Traveled solo,,wrote a review Sep 2023,"Lagos, Nigeria",['2 contributions'],10,[]
Becoming the worst hotel in Lagos in this price range,"Once again third visit in a row the hotel is not ready to receive guests. The hotel is incredibly dirty. Even hotel cards are frayed and obviously re used repeatedly. Carpets are dirty, towels are missing and front house staff are not serious about their guests.",September 2023,Traveled on business,,wrote a review Sep 2023,,['2 contributions'],10,"['Value bubble_30', 'Location bubble_30', 'Service bubble_10']"
Ibis lagos airport to flee,"rather a filthy flea market than an Accor group hotel.  no hygiene, sleeping here exposes you to pathologies  everything is broken or doesn't work, cold water in the shower, internet no speed, condition of the room (bedding, furniture) scandalous",September 2023,Traveled on business,,wrote a review Sep 2023,"Phnom Penh, Cambodia","['14 contributions', '22 helpful votes']",10,[]
Terrible stay at Ibis Airport Hotel,The hotel has caught the lack of maintenance bug. I first stayed here about 5 years ago and couldn't recognise the hotel. Making the reservation on the ALL app was the only pleasant bit of my stay (says volumes). I was welcomed by a clothes hanger in the middle of my bed and a half drunk bottle of water in the toilet. The intercom only worked when I got a call reminding me to check out. The towels were faded and the room looked worn and tired. I have stayed at other Accor hotels and this was certainly the worst.  The only reason I booked airport hotel was because I couldn't book the Ikeja hotel.  Never coming back to the airport hotel!!!,September 2023,Traveled on business,,wrote a review Sep 2023,"Abuja, Nigeria",['14 contributions'],10,[]
"My stay at Ibis airport road Ajao estate, Lagos",The rugs are very dirty  The bathroom floor is also not properly cleaned  The TV is not clear  Renovations are required. The food was okay  The Wi-Fi connection also okay  I would not like to come back,July 2023,Traveled solo,,wrote a review Jul 2023,,['1 contribution'],20,"['Value bubble_20', 'Location bubble_30', 'Service bubble_30']"
SLIPPING....NEEDS UPGRADE,"Despite increased rates and charges, this rapidly ageing facility needs imminent upgrade. I was last here pre-covid era. The wifi was quite poor and not connecting while the usual bottle of water in the room was absent alongside other basics. Some corridor carpets are stained and worn. Oh, sleep quality was okay but a definite refurbishment is overdue.",July 2023,Traveled with friends,,wrote a review Jul 2023,"Lagos, Nigeria","['1348 contributions', '56 helpful votes']",20,"['Value bubble_30', 'Location bubble_40', 'Service bubble_30']"
Very poor service,"This is the worst hotel I have ever slept in. No intercom, I had to go down stairs to request anything I needed. TV stations not visible. Room poorly lite. Towel unclean. Service is generally very poor.",July 2023,Traveled solo,"Very poor service, poor lite room, no intercom, poor TV viewing",wrote a review Jul 2023,,['1 contribution'],10,"['Value bubble_10', 'Location bubble_30', 'Service bubble_10']"
No bueno,"Never again.. the Hotel looks nice on the outside but inside it smells and the room was small. Not the cleanest  place. I was double charged for this booking.com, Priceline & United owe me my $ back.",June 2023,Traveled solo,"If you like motels this is the place for you but if you want an upscale, nice place go somewhere...",wrote a review Jun 2023,,['1 contribution'],20,"['Value bubble_10', 'Location bubble_50', 'Service bubble_30']"
Review Title,Review Text,Stay Date,Trip Type,Room Tips,Review Date,Author Location,Author Info,Overall Rating,Specific Ratings
DO NOT STAY HERE.,Horrible experience. Had to wait 20 minutes to get a room because apparently the system was not able to assign a room despite having a confirmed booking. The room had damp carpet which they did not do anything about despite informing them multiple times. It took 1 hour plus to get a chicken burger at the restaurant.,June 2023,,,wrote a review Jun 2023,,"['2 contributions', '2 helpful votes']",10,[]
A very horrible experience,The worst hotel ever. Good location but badly and poorly maintained infrastructure. The rugs in the passage and room were dirty and smelly. TV was tiny for the standard of hotel and not working.  Kitchen staff with terrible attitude.  Really a terrible experience,June 2023,,,wrote a review Jun 2023,,['1 contribution'],10,[]
Ordered dinner that was never delivered! 😡,"Never had this experience in a hotel before today! I ordered dinner as a room service. The lady that took my order asked for some little time to verify if what I wanted was available. She later called back to confirm the availability and I went ahead and placed the order with her. After about 1.5 hours, when I didn't see my meal I started calling the number for room service repeatedly and nobody answered me. I called reception and the gentleman that answered told me that he was terribly busy to look into my issue and I must continue to call the room service number. I ended up going to bed without food! 😡",June 2023,,,wrote a review Jun 2023,Abuja,"['7 contributions', '1 helpful vote']",10,[]
Very bad !,The worst hotel i have been in my whole life. Really DIRTY and in a very bad state of maintenance.  We stayed in two rooms and I can't say which is worse. I attach photos. And it's not cheap… One star would already be too much  I didn't dare to take a shower,May 2023,,,wrote a review May 2023,Italy,"['148 contributions', '102 helpful votes']",10,[]
"If I were to give an honest review, it will be 10/10. You outdid yourselves. Such excellent services should be applauded","It was a very warm reception from the moment I entered the premises. The calm and soothing air enveloped me.  I had a really restful and pleasant stay, with all services provided till the latter.  Thank you so much.",October 2022,,,wrote a review Apr 2023,,['1 contribution'],50,[]
Overall experience was Awesome.,"A very pleasant experience staying there. Location is good, the staff is courteous, and the facilities were awesome. It's a great place to relax and enjoy. I can only advice you guys to continue giving the best service.",April 2023,,,wrote a review Apr 2023,,['1 contribution'],50,[]
Was worth it. You should give it a shot too.,Quite a cool experience.  Was not the usual/usual I felt it was going to be. I surely would recommend anyone within the vicinity or anyone  coming into town should give it a trial. I look forward to going back there when next I am in the neighbourhood.,April 2023,,,wrote a review Apr 2023,,['1 contribution'],50,[]
My time with TripAdvisor,"Close to the airport, breakfast and dinner as buffet, very chilled AC, free Wifi and a ride to the airport if needed. It's basically one of the best hotels I have been to. Will surely visit again on my next travel and ofcos will recommend to friends",May 2022,,,wrote a review Apr 2023,,['1 contribution'],50,[]
Ever smiling hostesses and attendants. Great organisation.,"My time at IBIS lagos Airport was wonderful, from the mouthwatering buffet to the endeering customer service. It was pure bliss.  Its close proximity to the airport also makes it a great option . I greatly recommend.",March 2023,,,wrote a review Apr 2023,,['1 contribution'],50,[]
